country,url,title,timestamp,date,date_str,content
bangladesh,https://blitzindiamedia.com/a-sign-of-enduring-friendship/,A sign of enduring friendship,"January 15, 2024, 05:28 AM",2024-01-15,15-1-2024,"IN a significant development underscoring the deep-rooted ties between India and Bangladesh, Prime Minister Narendra Modi extended hearty congratulations to Sheikh Hasina on securing her fifth term as the Prime Minister of Bangladesh. The gesture reflects not only the personal rapport between the two leaders but also the enduring friendship and cooperative spirit that has long characterised the bilateral relations between the two South Asian neighbours. Prime Minister Modi’s congratulatory message to Sheikh Hasina resonates with the historical bond that India and Bangladesh share. It is a bond forged in the crucible of Bangladesh’s struggle for independence, during which India played a pivotal role. Emphasising the importance of this relationship, Sheikh Hasina, in her victory speech, lauded India as a “great friend of Bangladesh,” acknowledging the support rendered by India during critical moments in Bangladesh’s history, including the Liberation War of 1971.  The recent victory of Sheikh Hasina marks a continuation of a stable and progressive regime in Bangladesh. Under her leadership, the country has seen significant strides in various sectors, contributing to its socioeconomic development. Prime Minister Modi’s acknowledgment of this victory underscores India’s commitment to strengthening its partnership with Bangladesh, a relationship that is both people-centric and enduring. The mutual recognition of friendship and cooperation extends beyond mere diplomatic niceties. It translates into tangible collaborations across various domains. Recently, India and Bangladesh signed seven Memorandum of Understanding (MoUs) aimed at enhancing cooperation in areas including water resources, capacity building, science and technology, and broadcasting. These agreements are a testament to the multifaceted nature of the IndoBangladesh partnership, underpinned by shared cultural ties, economic interests, and strategic cooperation.  In addition to these agreements, the inauguration of significant projects like the Maitree power plant and the Rupsha rail bridge, which are integral to enhancing connectivity and energy cooperation, mark a new chapter in the bilateral relations. These initiatives not only bolster economic ties but also pave the way for greater people-to-people contact, reinforcing the strong bond between the two nations. In conclusion, the re-election of Sheikh Hasina and the congratulatory message from Prime Minister Modi symbolise a reaffirmation of the strong and historic ties between India and Bangladesh. The continued collaboration and mutual support between the two nations are poised to usher in a new era of prosperity and partnership, reinforcing their status as not just neighbours but as great friends on the global stage."
bangladesh,https://blitzindiamedia.com/bangladesh-minister-applauds-excellent-relations-with-india/,Bangladesh minister applauds ‘excellent’ relations with India,"January 11, 2024, 02:37 PM",2024-01-11,11-1-2024,"BANGLADESH’S Minister of Foreign Affairs, AK Abdul Momen, has emphasised the robust bond between New Delhi and Dhaka, highlighting the mutual understanding between the two nations. In an interview to ANI, Momen said, “Over the last few years, under Indian leadership and our PM Sheikh Hasina, we have developed a solid relationship. We understand each other better.” Momen underscored the importance of maintaining strong ties with all neighbours for mutual prosperity, “So, we want to continue to do this because we believe unless you have good relations with all neighbours, you cannot prosper. You cannot make a neighbour an enemy,” he said. Describing the relationship as “excellent,” the minister expressed gratitude for India’s consistent support, especially during historical challenges. He recalled, “The relationship between India and Bangladesh is excellent. We suffered under Pakistani subjugation, they tortured us, and then we went to India. India supported us, helped us. Even the common people provided their support. So that’s the historical context.” Following the recent General Elections where PM Sheikh Hasina secured her fourth term, she outlined her plans for international relations, emphasising the strong bond between Bangladesh and India. Acknowledging India’s pivotal role in supporting Bangladesh during critical moments in history, she expressed gratitude towards India’s unwavering assistance. Touching upon the controversy surrounding the Maldives MP’s disparaging remarks about Prime Minister Narendra Modi’s visit to Lakshadweep, Momen unequivocally condemned the comments, and termed them unacceptable."
bangladesh,https://blitzindiamedia.com/india-stands-firm-against-paks-bid-to-enter-brics/,India stands firm against Pak’s bid to enter BRICS,"January 11, 2024, 04:09 PM",2024-01-11,11-1-2024,": India is positioned to oppose Pakistan’s bid for full membership in the BRICS (Brazil, Russia, India, China, South Africa) group, underscoring its commitment to preserve BRICS as a platform for emerging market economies. Pakistan is seeking to elevate its status within the group during Russia’s presidency, which commenced with a focus on ‘Strengthening Multilateralism for Equitable Global Development and Security’. India’s resistance to Pakistan’s full membership stems from the conviction that the inclusion of too broad a membership could dilute BRICS’s foundational character. Indian officials assert that Pakistan’s membership would not add value to the BRICS coalition. Concurrently, Saudi Arabia officially announced its accession to the BRICS bloc, a development reflecting the kingdom’s strategic pivot towards diverse economic partnerships amid shifting geopolitical dynamics and China’s expanding influence. The induction of Egypt, Ethiopia, Iran, Saudi Arabia, and the UAE into BRICS this year reflects the bloc’s expanding consensus and its evolving role on the global stage. The development comes at a time when the South Asian Association for Regional Cooperation (Saarc) is mired in dysfunction, primarily due to the fraught relationship between India and Pakistan. Notably, the 19th Saarc Summit, which was to be hosted by Pakistan in 2016, was postponed after India, Afghanistan, Bhutan, Bangladesh, and Sri Lanka chose to boycott the event, citing unresolved tensions. These unfolding narratives in regional partnerships and global alliances underscore the delicate balance of cooperation and competition that defines international relations. India’s stance on Pakistan’s BRICS bid and the broader inclusion of Middle Eastern nations in the group signal a strategic approach to maintaining the group’s integrity while navigating the complex tapestry of emerging market economies and geopolitical interests. As the BRICS bloc adapts to include new partners, it faces the challenge of harmonising diverse economic and political agendas to forge a cohesive path forward."
bangladesh,https://blitzindiamedia.com/pm-sheikh-hasina-says-india-a-great-friend-of-bangladesh/,PM Sheikh Hasina says India a great friend of Bangladesh,"January 08, 2024, 01:20 PM",2024-01-08,8-1-2024,": Prime Minister Sheikh Hasina on January 8 said India is a ‘great friend’ of Bangladesh and the two neighbours have resolved many problems bilaterally, a day after she won an overwhelming majority in the General Elections. The 76-year-old leader, who has been ruling the strategically located South Asian nation since 2009, secured a fifth overall term in the one-sided election on Sunday, which witnessed a low turnout. “India is a great friend of Bangladesh. They have supported us in 1971 and also in 1975. They gave shelter to me and my sister and my other family members,” she said, referring to her period in exile when she stayed in India for six years after the killing of her family members. In August 1975, Sheikh Mujibur Rahman, his wife and their three sons were assassinated in their home by military officers. His daughters Hasina and Rehana survived the purge as they were abroad. “We consider India as our next-door neighbour. We had many problems but we resolved it bilaterally. So, I really appreciate that we have a wonderful relationship with India,” she said while responding to a question."
bangladesh,https://blitzindiamedia.com/strong-uae-presence-in-vibrant-gujarat-likely/,Strong UAE presence in Vibrant Gujarat likely,"January 07, 2024, 11:00 AM",2024-01-07,7-1-2024,": In what could be another milestone in expanding economic and strategic cooperation between India and UAE, the west Asian country is expected to be represented at the highest level in the upcoming Vibrant Gujarat Summit 2024, a biennial event hosted by the Gujarat Government. Unconfirmed media reports suggest the likely attendance of UAE President Al Nahyan in the business jamboree. Currently, UAE stands as the seventh-largest investor in India in terms of Foreign Direct Investment. The event is poised to be unfolded over three days, commencing on January 10. The Mahatma Mandir Convention and Exhibition Centre in Gandhinagar will serve as the venue, facilitating the convergence of investors and policymakers from across the world. The event is celebrating its two decades of success this year. According to media reports, the presence of key global leaders, including Mozambique’s President Filipe Nyusi, is expected. Prime Minister Narendra Modi had a formal invitation to President Al Nahyan during the COP28 Summit in Dubai underlining the strengthening of ties between India and the UAE. Initiated by PM Modi during his Chief Ministerial tenure in 2003, the Vibrant Gujarat Summit has evolved into a vital platform attracting top-tier business leaders, investors, and policymakers. The summit’s growth with each edition reflects its pivotal role in advancing India’s economic agenda. The forthcoming Vibrant Gujarat Summit is expected to draw diverse delegations from several countries, with robust participation from Russia and African nations. The event consistently attracts foreign leaders and investors, showcasing Gujarat as a key investment destination. Sixteen partner countries and fourteen partner organisations have confirmed attendance so far for the 2024 edition themed ‘Gateway to the Future.’ The partner countries in 2014 include Japan, Finland, Morocco, Republic of Korea, Mozambique, Estonia, UAE, Australia, UK, Netherlands, Norway, Nepal, Thailand, Bangladesh, Germany, and Egypt."
bangladesh,https://blitzindiamedia.com/nobel-laureate-yunus-sentenced-to-six-months-in-jail-by-bangladesh-court/,Nobel laureate Yunus sentenced to six months in jail by Bangladesh court,"January 02, 2024, 12:47 PM",2024-01-02,2-1-2024,": Bangladesh’s Noble laureate economist Dr Muhammad Yunus was sentenced to six months in jail by a Bangladesh court on charges of violating the labour laws, a development termed as politically motivated by his supporters. The 83-year-old economist won the Nobel Peace Prize in 2006 for his anti-poverty campaign, earning Bangladesh the reputation of being the home of microcredit through his Grameen Bank, which he founded in 1983. Yunus and three of his colleagues in Grameen Telecom– one of the firms he founded– were accused of violating labour laws when they failed to create a workers’ welfare fund in the company. The Third Labour Court Judge Sheikh Merina Sultana ordered Yunus to serve six months of simple or non-rigorous imprisonment for violating the law as the Grameen Telecom chairman, along with three other executives of the social business company."
bangladesh,https://blitzindiamedia.com/bangladesh-a-dampened-durga-puja/,Bangladesh A dampened Durga Puja,"November 09, 2023, 01:28 PM",2023-11-09,9-11-2023,"DURGA Puja in Bangladesh observed with great fervour by nearly one crore Hindu minority is now over after immersion of the deities in Buriganga river on October 24. All police bandobast was in place to ensure law and order and tranquil as the communal fanatics were thought to cause disturbances. This apprehension came from the fact that many Durga idols were desecrated at regular intervals immediately preceding the commencement of the puja celebrations fuelling a sense of insecurity amongst the Hindus who are already reeling with threats of losing their immobile possessions, forced conversions in many cases and other perils posed to the shrinking number of the minority lot.Having said this, it shouldn’t be insinuated that the government or the local administration didn’t extend appropriate security measures to provide security to instill safety. The zealots in the political parties and possibly also in a segment of the government, have prevailed over the government for certain undesirable and sensitive steps which construed dampeners to the long awaited DurgaPuja which numbers nearly over 34,000 pandals all over Bangladesh. To illustrate the point, more specifically, certain district administrations like Hobigunj, Kumillaetc issued notifications.  Objectively speaking, the notifications were insensitive, looking intimidatory. Why? Because they said that Prasads shouldn’t contain any thing intoxicating, there shouldn’t be any loud celebrations causing ‘high‘ decibels of noise. Hindu activists feel that this was to keep the Islamic hardliners in good humour.  Worse still, there were big notifications prominently hung right near the Durga idols outlining the different Namaz timings so that the Hindu rituals did not interfere with the Islamic prayers. This was seen as a clear message to the minorities to remain within their limits and on the other hand, signal to the radicals that the government is aware of the sensitivity of the majority pandering to the communalists. It doesn’t stop here. A ruling party MP was shown repeatedly on TV calling upon the puja organisers to maintain the “guidelines” issued by the administration. If the MP was involved in proliferating the “instructions” then complicity of the government or the ruling party in these can’t be ruled out. Hindus in Bangladesh are equally sensitive to their religious responsibilities and such strong-arm tactics certainly doesn’t augur well. Now, the question is what was the idea behind by the administrative agencies to usher in these dampening measures when elections are only three months away?Independent analysts feel that assessment made by the ruling party as well as the agencies indicate that Hindu minority votes may not matter at all in the electoral fray. So, even if the minority groups are slighted, there votes will be inconsequential. On their part, minorities are left with no option but to vote for the ruling Awami League (AL). Having done this calculation, it was perhaps decided that such measures howsoever dampening or unsavoury, could be enforced. In other words, the minority sentiments were not factored.  While discussing these communal issues, it becomes imperative to touch upon the balancing act the AL is treading upon to handle the elections. Hefazat-e-Islam – a perilously communal outfit which is nearly 13 years old, and headquartered in Chittagong, is suspected to be enjoying the blessings of the ruling AL. It was possibly floated to counter another communal and fanatic anti-India and pro-Pakistan body the Jamat-eIslami (JeI) but then, over a period of time it exceeded its agenda and outsmarted its mentors. It was visible by the fact that it set off a trail of communal frenzy and violently targeted the Hindu minority including their property.  Having to deal with its own Frankenstein, the ruling party is now at a loss to deal with Hefazat which has not only doubled up its tentacles and activities but also amassed huge financial reserves to spend on destructive missions. Many belonging to the AL are strongly suspected to be supporting the outfit for political gains.Some who matter in the government are sadly adopting an ostrich- like attitude lest they have to address the challenges. This is certainly detrimental to the minority interests. Meanwhile, some authoritative and knowledgeable quarters claim that the MP from Chittagong 15 constituency, Abu Reza Mohammad Nadwi remains in touch with Jamaat, pro-Pakistan and anti-India elements to garner support from the Islamic hardliners’ bloc to keep them on the right side. In Chittagong, there is one Alamma Fazlullah Foundation which is starkly pro-jamat, antiHindu and significantly has much funding regularly received from the Middle East countries.  Such fundings may be used against the political adversaries specially against the non-fanatics to further the agenda of the Wahabis and the salafis targeting the minority resorting to communal violence. This also emboldens the pro-Pakistan lobby active in Bangladesh who are looking for an opportunity to see that Hasina government is not allowed to triumph in the upcoming elections.  They may not succeed in their blueprint but their agenda remains. The plan needs to be busted now so that elections don’t witness any communal violence and secular interests are not harmed. This is particularly essential in view of the surcharged atmosphere arising out of the Israel-Hamas military confrontation leading to heavy polarization and radicalization of the religious ultras."
bangladesh,https://blitzindiamedia.com/india-bangladesh-trade-through-burimari-and-hili-land-ports-to-remain-suspended-during-durga-puja/,India-Bangladesh trade through Burimari and Hili land ports to remain suspended during Durga Puja,"October 17, 2023, 08:50 AM",2023-10-17,17-10-2023,": In view of Durga Puja festival being  celebrated in India and Bangladesh, export and import between India and Bangladesh through Burimari land port of Lalmonirhat district will remain suspended for eight days from October 21. Reports citing Sayeduzzaman Sayed, president of Burimari Customs Clearing and Forwarding Agent (C&F) Association, said that the trade activities between the two neighboring countries will remain suspended for eight days starting Saturday. Sayed said that this decision was taken in coordination with the Indian side. However, the movement of passport-holding travelers through the check-post will continue as usual, said Mur Hasan Kabir, in-charge of Burimari immigration police. The export and import between Bangladesh and India through Dinajpur’s Hili land port will remain suspended for seven days.  According to Mostafizur Rahman, general secretary of Hili Land Port Import-Export Group, that trade activities will remain halted at Hili Land Port from October 19 to 25."
bangladesh,https://blitzindiamedia.com/india-bangladesh-conduct-joint-military-exercise/,"India, Bangladesh conduct joint military exercise","October 05, 2023, 04:34 PM",2023-10-05,5-10-2023,": India and Bangladesh commenced the 11th edition of the annual joint military exercise, SAMPRITI, at Umroi in Meghalaya, on October 3. The exercise, alternatingly organised by both countries, signifies strong bilateral defence cooperation initiatives. The 14-day exercise will engage approximately 350 personnel from both sides. It underscores the importance of enhancing interoperability between the two armies, sharing tactical drills, and promoting best practices. The Bangladesh contingent comprises 170 personnel, led by Brigadier General Mohammed Mafizul Islam Rashed, Commander of 52 Bangladesh Infantry Brigade. Indian contingent mainly comprises troops from a battalion of Rajput Regiment. Brigadier SK Anand, Commander of a Mountain Brigade, is leading the Indian contingent. Twenty officers from each contingent will participate in the Command Post Exercise (CPX), focusing on decision-making after thorough deliberations. This will be followed by Field Training Exercise (FTX) wherein grassroots-level operations will be validated. The Validation Exercise will be conducted on October 14-15 at Darranga Field Firing Range in Assam."
bangladesh,https://blitzindiamedia.com/india-and-bangladesh-hold-joint-military-exercise/,India and Bangladesh hold joint military exercise,"October 04, 2023, 09:29 AM",2023-10-04,4-10-2023,": India and Bangladesh commenced the 11th edition of the annual joint military exercise, SAMPRITI, at Umroi in Meghalaya, on October 3. The exercise, alternatingly organised by both countries, signifies strong bilateral defence cooperation initiatives.  The 14-day exercise will engage approximately 350 personnel from both sides. It underscores the importance of enhancing interoperability between the two armies, sharing tactical drills, and promoting best practices. The Bangladesh contingent comprises 170 personnel, led by Brigadier General Mohammed Mafizul Islam Rashed, Commander of 52 Bangladesh Infantry Brigade. Indian contingent mainly comprises troops from a battalion of Rajput Regiment. Brigadier SK Anand, Commander of a Mountain Brigade, is leading the Indian contingent.  Twenty officers from each contingent will participate in the Command Post Exercise (CPX), focusing on decision-making after thorough deliberations. This will be followed by Field Training Exercise (FTX) wherein grassroots-level operations will be validated. The Validation Exercise will be conducted on October 14-15 at Darranga Field Firing Range in Assam."
