url,title,content,content_summary,title_translation,content_translation,summary translation,author,country,source_localtime,bangladesh_localtime
https://www.deccanherald.com//sports/cricket/bangladesh-pacer-mustafizur-rahman-hospitalised-after-blow-to-head-during-a-training-session-2899774,Bangladesh pacer Mustafizur Rahman hospitalised after blow to head during a training session ," Dhaka: Experienced left-arm pacer Mustafizur Rahman was on Sunday admitted to a local hospital after suffering a hit on his head by Litton Das during a training session ahead of a Bangladesh Premier League match.The accident occurred while they were participating in the Comilla Victorians’ nets at the Zahur Ahmed Chowdhury Stadium.Rahman was hit when he was walking back to his bowling mark, and he was immediately given first-aid on the bleeding spot before being taken to the Imperial Hospital here in an ambulance.However, the subsequent CT scans cleared 28-year-old Rahman of any internal injuries.'During practice, a ball hit directly at the left parietal area (head) of Mustafizur Rahman. There was an open wound at his parietal area and we have worked with compression bandage to stop bleeding and immediately shifted him to Imperial hospital,' a BCB media release stated.The Victorians are scheduled to play Sylhet Strikers in the BPL on Monday, and they are currently placed second on the table with 14 points from nine games behind Rangpur Riders (16 points).",The accident occurred while they were participating in the Comilla Victorians’ nets at the Zahur Ahmed Chowdhury Stadium.,None,None,None,PTI,bangladesh,2024-02-18 09:54:00,2024-02-18 10:24:00
https://www.deccanherald.com//business/india-is-bangladeshs-largest-export-destination-in-asia-indian-high-commissioner-2892405,India is Bangladesh’s largest export destination in Asia: Indian High Commissioner,"Dhaka: India is today Bangladesh's largest export destination in Asia, the Indian High Commissioner here has said, highlighting the importance of multimodal connectivity in unlocking the true potential of bilateral cooperation between the two countries.High Commissioner Pranay Verma made these remarks on Monday after Shipping Minister Khalid Mahmud Chowdhury inaugurated the Sultanganj port, establishing naval connectivity between Bangladesh’s Rajshahi and India’s Murshidabad.“The future of our partnership lies in efficient multimodal connectivity - encompassing road and rail, inland waterways, and coastal shipping,” he said. This inauguration marks the first of the five trial movements of cargo vessels between Maia Port in India and Sultanganj, Godagari Port of Call in Bangladesh on Indo Bangladesh Protocol (IBP) Route 5 and 6.There is significant potential for cargo movement through this IBP Route, which is expected to give new impetus to the Inland waterways ecosystem in both countries.Verma said that the re-opening of the Maia-Sultanganj river route is a step that will benefit the local economies on the two sides of the border as well as also contribute to national economies and strengthen sub-regional cooperation and integration.Noting that India was today Bangladesh’s largest export destination in Asia, the High Commissioner hoped that better connectivity links and new measures like trade in Indian Rupee will further enhance Bangladeshi exports to India.Verma said the connectivity landscape between India and Bangladesh has rapidly been changing.“With our contiguous geography and shared history and culture, we are actually re-connecting our two countries,” he added.The High Commissioner said negotiation on the Comprehensive Economic Partnership Agreement (CEPA) between India and Bangladesh is going to start soon.India is the second-largest import source for Bangladesh, trailing only behind China. Dhaka's exports to India reached a total of USD 1990 million in 2021–22, whereas imports from India amounted to a USD 13.69 billion in the same period.In FY23 (until February), Indian exports to Bangladesh tallied at USD 10.63 billion, equivalent to 2.6 per cent of India's total exports. Conversely, Bangladesh's imports from India during the same period totalled USD 1.86 billion, constituting 0.28 per cent of India's overall imports.","High Commissioner Pranay Verma made these remarks on Monday after Shipping Minister Khalid Mahmud Chowdhury inaugurated the Sultanganj port, establishing naval connectivity between Bangladesh’s Rajshahi and India’s Murshidabad.",None,None,None,PTI,bangladesh,2024-02-13 10:19:00,2024-02-13 10:49:00
https://www.deccanherald.com//sports/cricket/tamim-iqbal-left-out-of-bangladesh-cricket-boards-central-contracts-list-2892309,Tamim Iqbal left out of Bangladesh Cricket Board's central contracts list," Dhaka: Out-of-favour Bangladesh opener Tamim Iqbal has been excluded from the BCB's central contracts list for 2024, putting a question mark on the veteran cricketer's international future. Former captain Tamim, who had retired from international cricket in July last year, had reversed his decision within 24 hours after Bangladesh Prime Minister Sheikh Hasina asked him to continue. Tamim's decision to quit the game was because of his worsening relationship with the Bangladesh Cricket Board (BCB) president Nazmul Hassan, who had questioned the left-handed batter's professionalism. BCB's move to leave Tamim out of the central contract list on Monday is an indication he is no longer in their scheme of things for 2024. BCB handed out central contracts to 21 cricketers, out of which Shoriful Islam and new captain Najmul Hossain Shanto got the all-format deals. Right-arm pacer Taskin Ahmed has been dropped from the Test contract after he reportedly opted out. He has, however, retained his ODI and T20I contracts. Besides Tamim, Ebadot Hossain, Afif Hossain and Mosaddek Hossain have also been excluded from the central contracts list. Towhid Hridoy, Tanzim Hasan, Mahmudul Hasan Joy, Naeem Hasan and Nurul Hasan are the new entrants in the central contract. During the meeting, the BCB also approved the salary contracts of 85 first-class cricketers. Central contracts list: 	 All formats: Litton Das, Shakib Al Hasan, Mehidy Hassan Miraz, Najmul Hossain Shanto and Shoriful Islam. Tests and ODIs: Mushfiqur Rahim. ODIs and T20Is: Taskin Ahmed, Towhid Hridoy, Mustafizur Rahman, Hasan Mahmud. Only Tests: Mominul Hoque, Taijul Islam, Zakir Hasan, Mahmudul Hasan Joy, Khaled Ahmed, Naeem Hasan. Only ODIs: Mahmudullah, Tanzim Hasan. Only T20Is: Nasum Ahmed, Mahedi Hasan, Nurul Hasan.","Former captain Tamim, who had retired from international cricket in July last year, had reversed his decision within 24 hours after Bangladesh Prime Minister Sheikh Hasina asked him to continue.",None,None,None,PTI,bangladesh,2024-02-13 09:30:00,2024-02-13 10:00:00
https://www.deccanherald.com//india/bangladesh-foreign-minister-discusses-with-nsa-doval-worrying-security-situation-in-myanmar-2884790,Bangladesh foreign minister discusses with NSA Doval 'worrying' security situation in Myanmar,"New Delhi: The deteriorating security situation in Myanmar is ""worrying"" for both India and Bangladesh as it could impact regional peace and stability, Bangladesh Foreign Minister Hasan Mahmud said on Wednesday hours after holding talks with National Security Advisor Ajit Doval.Mahmud said the issue figured in his meeting with Doval and that 338 Myanmarese people, mostly belonging to Border Security Guard of Myanmar and Army personnel entered Bangladesh following the escalation of the situation in the Rakhine state.India on Tuesday asked its citizens in the Rakhine state to leave the troubled-region immediately in view of deteriorating security situation.Mahmud is on a four-day visit to India from Tuesday, in his first bilateral foreign trip since Prime Minister Sheikh Hasina came to power for a fifth term after a landslide victory in the parliamentary elections last month.In a brief interaction with the media, the Bangladesh foreign minister said India-Bangladesh relationship has witnessed a major upswing in the last 10-15 years and he would focus on taking it to a new height.Mahmud is scheduled to hold wide-ranging talks with External Affairs Minister S Jaishankar this evening.""We discussed the situation in Myanmar because the situation in that country is getting worse day-by-day,"" Mahmud said on his meeting with Doval.""Until this morning, 338 people, mostly border security guards and Army personnel, had entered Bangladesh. We have given shelter to them,"" he said.Mahmud said Myanmar has agreed to take back the people and that the issue was taken up by Bangladesh's envoy to Naypyidaw has already met with the Myanmarese foreign minister.""The situation in Myanmar is a worrying factor for both the countries (India and Bangladesh) because both of us share a border with Myanmar. We discussed the issue with the NSA Doval because for regional peace and stability, it is important that peace prevails in Myanmar,"" he said.Myanmar has been witnessing widespread violent protests demanding restoration of democracy since the military seized power in the coup on February 1, 2021.Rakhine state and many other regions have reported severe fighting between armed ethnic groups and the Myanmarese military since October last year.The hostilities between the two sides saw a rapid spike since November in several key Myanmarese towns and regions near the border with India as well fuelling concerns in New Delhi over the possible ramifications for security of Manipur and Mizoram.On India-Bangladesh ties, Mahmud said as the Bangladesh foreign minister, he would aim to expand the ties further in areas of connectivity, trade, business and people-to-people exchanges.""Over the last 10-15 years' time, the relationship between India and Bangladesh has been strengthened, he said.Our effort would be to take the relationship to new heights, he added.Mahmud said connectivity is one of the priority areas as it is important for both the countries.""It is important for the prosperity of the region as a whole, for regional peace and stability and economic cooperation,"" he said.Asked about Dhaka building a memorial to honour the Indian soldiers who sacrificed their lives in the Liberation War of Bangladesh in 1971 and whether Bangladesh would invite Prime Minister Narendra Modi to its inauguration, Mahmud said: ""We would be very very delighted if he can pay a visit to the country.To another query, the Bangladesh foreign minister said the dates for a possible visit to India by Hasina are yet to be finalised.",India on Tuesday asked its citizens in the Rakhine state to leave the troubled-region immediately in view of deteriorating security situation.,None,None,None,PTI,bangladesh,2024-02-07 16:01:00,2024-02-07 16:31:00
https://www.deccanherald.com//sports/football/india-face-gritty-bangladesh-in-saff-u-19-womens-final-2884339,SAFF U-19 Women's final: India face gritty Bangladesh in summit clash,"Dhaka: The Indian football team will be out to break a jinx as it takes on hosts Bangladesh in the SAFF U-19 Women's Championship final at Dhaka's BSSSMK Stadium on Thursday.Despite improvement in women's football, India somehow hold a dismal record in this age-group in SAFF.The title has eluded India on more than one occasion, the latest being the SAFF U-20 Women's Championship in Dhaka last year, when Bangladesh pipped them to win the trophy.The upcoming final will definitely be a huge opportunity for India to put past records on the burner and retain the title.The Young Tigresses will enter the final match with a strong determination to win the championship title and set the records straight from the Indian perspective.In the group stage, India won comfortably against Bhutan (10-0) and Nepal (4-0) but lost to Bangladesh by a solitary goal before entering the final as the second-place finishers in the group.Apart from having a tight defence and a balanced midfield, India enjoy good attacking qualities with forwards Pooja and Sulanjana Raul and wingers Neha and Sibani Devi putting up a commendable show.However, it will definitely not be easy to topple the hosts, who beat India in the group league earlier this week. No one knows it better than India's head coach, Sukla Dutta.""I'm truly not pleased that India have been losing to Bangladesh for the past three years, but tomorrow will be the time to change that. I am sure both teams will put in equal efforts, but the team who score first will likely emerge champion, as the confidence to score more will start from there,” she said ahead of the Bangladesh clash.""I understand there will be huge support for Bangladesh, but we'll only concentrate on our own game,"" she added.Having already played against Bangladesh in the group stage, the India head coach knows how to handle the situation.""We know exactly how they play. But there's no doubt they're a good side. I have instructed my players to stay focused on their positions and prioritise man-marking. It's crucial to cover the midfield more effectively because if we disrupt their ball distribution in that area, we can perform even better,"" she said. ","The title has eluded India on more than one occasion, the latest being the SAFF U-20 Women's Championship in Dhaka last year, when Bangladesh pipped them to win the trophy.",None,None,None,PTI,bangladesh,2024-02-07 13:07:00,2024-02-07 13:37:00
https://www.deccanherald.com//india/uttar-pradesh/2-arrested-from-varanasi-by-ats-with-fake-currency-smuggled-from-bangladesh-up-police-2882599,2 arrested from Varanasi by ATS with fake currency smuggled from Bangladesh: UP Police,"Lucknow: The Anti-Terrorist Squad (ATS) of Uttar Pradesh Police on Tuesday arrested two alleged members of a gang involved in smuggling fake Indian currency notes brought from Bangladesh to various districts of the state.Counterfeit currency of face value Rs 45,000 was allegedly seized from their possession.In a statement, Uttar Pradesh Director General of Police (DGP) Prashant Kumar said that the ATS team arrested Ankur Maurya and Vipin Gupta alias Avneesh, residents of Chintaura area in Ambedkar Nagar district, with fake currency from Varanasi this afternoon.The ATS had received information that the two had come to Varanasi with fake currency smuggled from Bangladesh by their accomplice from Farakka in West Bengal.""The two arrested were members of a gang involved in supplying fake Indian currency notes brought from Bangladesh to various districts of the state,"" the statement said, adding, ""Rs 45000 in fake currency notes was seized from their possession"".","Counterfeit currency of face value Rs 45,000 was allegedly seized from their possession.",None,None,None,PTI,bangladesh,2024-02-06 14:38:00,2024-02-06 15:08:00
https://www.deccanherald.com//world/58-myanmar-border-guards-seek-shelter-in-bangladesh-as-battle-rages-between-military-insurgents-2879112,"58 Myanmar border guards seek shelter in Bangladesh as battle rages between military, insurgents","Dhaka: At least 58 soldiers of Myanmar’s paramilitary Border Guard Police (BGP) escaping the junta-run country took shelter in Bangladesh amid reports of heavy gunfights between the government troops and the rebel resistance fighters, officials said here on Sunday. The soldiers entered through the Tambru border in predawn hours on Sunday and sought shelter from the Bangladesh Border Guard (BGB).“Fifty-eight BGP personnel took shelter in Bangladesh throughout the day since the predawn hours. Fourteen of them crossed the border with bullet wounds and are being treated at different hospitals, including health facilities in Rohingya camps,” said an official familiar with the development.The official, who preferred anonymity, said the paramilitary soldiers were kept under their counterpart Border Guard Bangladesh (BGB) custody in southeastern Cox’s Bazar bordering Myanmar’s Rakhine state while the weapons they carried were deposited in BGB cache.The official said many of the soldiers came to Bangladesh territory in combat uniforms and weapons while others were in their plainclothes leaving their arms back home.“The BGB informed the development to their Myanmar counterparts,” said the official.Dhaka, meanwhile, expressing concern over the skirmishes in its border areas with Myanmar, said the violence was affecting Bangladesh's frontlines.Road Transport Minister and Awami League General Secretary Obaidul Quader sought Chinese intervention to de-escalate the conflict given Beijing’s close contacts with Burmese authorities.“The internal war is their (Myanmar’s) domestic concern. But when the sound of gunfights is heard at the border, naturally it creates panic in the public mind. We, therefore, expect Beijing’s intervention,” Quader told the media after he met with the Chinese envoy.Officials earlier said 14 BGP personnel crossed the border in predawn hours through the Ghumdhum border while a BGB spokesman in Dhaka thereafter asked journalists to await a media briefing on the development.No official briefing was however done until Sunday evening.District administration of Bandarban, where the troubled frontier is located, closed five schools for security reasons fearing mortar shells or stray bullets will slide into the Bangladesh territory as the gunfights are underway on the other side of the border.The BGB asked residents to stay indoors or move cautiously.Officials said reports from the other side of the border suggested army helicopters were strafing on rebel fighters, escalating concerns of massive casualties.Residents in frontier villages, including local Union Parishad members, said sounds of gunfights on the Myanmar side of the border on Saturday night and Sunday panicked residents in villages in the frontier.A BSS report said the skirmishes between the government troops and the rebel Arakan Army frightened residents in several frontier Bangladesh villages as many mortar shells and bullets landed at the Bangladeshi side in the past few days though no casualty was reported so far.“In two such latest incidents on Saturday night a bullet smashed the windshield of a battery-run three-wheeler and a mortar shell hit a village house at Tombru area of Ghumdhum but no one was wounded,” a member of the local union council, the lowest local government-tier, told reporters.Bangladesh earlier ordered an extra security vigil on the border with Myanmar given the gunfights between the military and the insurgent Arakan Army, which is active in the bordering Rakhine region of the country.International media reports suggested several more insurgent groups, some forming alliances among themselves, are confronting the military in several parts of Myanmar.    According to reports and analysts, the resistance movement in Myanmar gained momentum three years after a coup ended a short-lived experiment with democracy.Bangladesh’s border with Myanmar stretches 271.0 kilometres (168.4 miles) from the tri-point with India in the north to the Bay of Bengal in the south.Bangladesh played a critical role in sheltering over a million Muslim minority Rohingyas who fled their home in Rakhine and took refuge in Bangladesh to evade persecution, particularly after a 2017 army crackdown but the current crisis has little to do with the Rohingyas.Bangladesh won praises for the handling of the world’s biggest refugee crisis while Dhaka repeatedly sought their repatriation to their homeland in Rakhine saying the Rohingyas were causing economic, social, security and environmental problems.The issue is now the subject of a United Nations genocide investigation at the International Court of Justice.",An official said many of the soldiers came to Bangladesh territory in combat uniforms and weapons while others were in their plainclothes leaving their arms back home.,None,None,None,PTI,bangladesh,2024-02-04 10:22:00,2024-02-04 10:52:00
https://www.deccanherald.com//world/china-invites-bangladesh-pm-hasina-for-official-visit-to-beijing-2869538,China invites Bangladesh PM Hasina for official visit to Beijing,"Dhaka, Jan 29 (PTI) China has invited Bangladesh Prime Minister Sheikh Hasina for an official visit to the country as Beijing is keen to work with the new government in Dhaka to cement bilateral cooperation in all fields.""We (Dhaka) will find a suitable time for the visit,"" Foreign Minister Hassan Mahmud told reporters after he met with Chinese Ambassador to Bangladesh Yao Wen on Sunday.Wen met Mahmud after the Hasina-led Awami League was re-elected to power for the straight fourth term in the elections boycotted by the major opposition Bangladesh Nationalist Party (BNP) on January 7.Mahmud said discussions were underway to arrange it at a mutually convenient time for the premier’s Beijing tour.Prime Minister Hasina officially visited China from July 1-6, 2019. She also participated in the 13th Summer Davos Forum in Dalian. During the visit, Hasina called on Chinese President Xi Jinping.""China reiterated its position to further strengthen the bilateral relations during the tenure of the new government in Bangladesh,"" the foreign ministry, meanwhile said in a statement after the envoy met with the minister.Soon after the January 7 polls, Chinese President Xi congratulated Hasina and expressed confidence in boosting the bilateral ties.Bangladesh foreign ministry officials said China wanted Hasina to visit China in September last year but the election and other engagements prevented her from visiting at that time.China’s invitation came shortly after the ruling party’s general secretary and Road Transport Minister Obaidul Quader said India stood beside Bangladesh when BNP tried to foil the polls.""There is no reason for our relations with India to be strained,"" Quader told reporters after Indian High Commissioner in Dhaka Pranay Kumar Verma called on him.Quader said he believed “the wall of confusion and mistrust was finally smashed by Hasina and her Indian counterpart Narendra Modi'.A senior foreign ministry official preferring anonymity said Dhaka would continue to strike a balance in the relationship both with India and China as “we need them both for our stability and development”.According to analysts, Hasina deserved credit for skillfully negotiating the rival interests of India and China as Bangladesh is virtually sandwiched between the two feuding Asian giants. She also received the support of the big neighbours and Russia ahead of the elections.India called the Bangladesh election an “internal matter” and Beijing spoke in the same tone while the Western powers, including the United States have called for credible polls.","'There is no reason for our relations with India to be strained,' Quader told reporters after Indian High Commissioner in Dhaka Pranay Kumar Verma called on him.",None,None,None,PTI,bangladesh,2024-01-29 16:05:00,2024-01-29 16:35:00
https://www.deccanherald.com//world/bangladeshs-parliament-acknowledges-japa-chief-gm-quader-as-opposition-leader-2868363,Bangladesh’s parliament acknowledges JAPA chief GM Quader as Opposition leader,"Dhaka: Bangladesh's newly elected parliamentary speaker Shirin Sharmin Choudhury on Sunday declared Opposition Jatiya Party (JAPA) chairman GM Quader as the leader of the opposition amid uncertainty whether his party could emerge as the parliamentary opposition winning only 11 seats in 300 constituencies.Speaker Dr Shirin Sharmin Chaudhury has recognised Jatiya Party Chairman GM Quader, the lawmaker representing Rangpur-3 constituency, as the leader of the opposition in the 12th Jatiya Sangsad, the parliament secretariat said in a statement.Simultaneously, it said, she recognised JAPA Co-Chairman Anisul Islam Mahmud as the deputy leader of the House which is scheduled to meet in its maiden session on January 30.The parliamentary Rules of Procedure define the leader of the Opposition as the Member of Parliament who, in the opinion of the speaker, is the leader of the party or the group, as the case may be, in opposition to the government with the greatest numerical strength in the House.Prime Minister Sheikh Hasina’s Awami League won 223 seats while JAPA won in 11 constituencies in the January 7 general elections, boycotted by major opposition BNP, while independent candidates bagged 62.The Awami League-led 14-party alliance partners Workers Party and Jatiya Samajtantrik Dal (JASOD) got one seat each while one went to the Kalyan Party.The law stipulates at least 10 per cent or 30 seats are required to form the main Opposition in the House.Legal experts, however, said JAPA could emerge as the main parliamentary opposition if it could rally the support of 19 independent candidates the way in a hung Parliament the government needs support from other parties or independent lawmakers.Otherwise, they said, JAPA could be called the Opposition “group” if not the “party” and with the speaker’s recognition of Quader as the Opposition leader his party would play the role of the opposition party in parliament.The speculation over the status of JAPA grew earlier as independent candidates outnumbered the party.Most of the independent lawmakers were actually “rebel” Awami League candidates who were encouraged by the party to contest the polls to make it participatory as major opposition Bangladesh Nationalist Party (BNP) ex-premier Khaleda Zia boycotted the polls.Several independent MPs said they were working to form a parliamentary “platform” or “alliance”.Incumbent law minister Anisul Huq earlier this month said the formation of the parliamentary opposition “depends on independent MPs move” since JAPA did not get the required number of seats to be the main opposition.“They (independent MPs) have said they will form a platform. Let us see what they do,” Huq told PTI.Elections, however, were held in 299 seats as the natural death of a candidate during electioneering forced the suspension of polls in one constituency.","Prime Minister Sheikh Hasina’s Awami League won 223 seats while JAPA won in 11 constituencies in the January 7 general elections, boycotted by major opposition BNP, while independent candidates bagged 62.",None,None,None,PTI,bangladesh,2024-01-28 16:48:00,2024-01-28 17:18:00
https://www.deccanherald.com//india/west-bengal/gold-worth-rs-3-crore-seized-at-india-bangladesh-border-in-wb-1-held-2860290,"Gold worth Rs 3 crore seized at India-Bangladesh border in WB, 1 held","Barasat (West Bengal): Gold bars and bricks worth Rs 3.09 crore were seized at the India-Bangladesh border in West Bengal's North 24 Parganas district and one person was arrested, officials said on Tuesday.Two gold bars and 30 gold biscuits, weighing 4.82 kg, were seized by BSF personnel from Halderpara in the Angrail border outpost area, they said.The on-duty personnel spotted three persons in the Ichamati river, which is a natural boundary between the two countries, crossing over to India from the Bangladesh side. As the BSF personnel chased, two of them managed to flee but one was caught.The incident happened around 3 pm on Sunday, officials said.The accused, identified as Prosenjit Mandal, told the BSF that he was paid Rs 500 by a person to cross the river and get the gold consignment to India.When Mandal, a local, went to the Bangladeshi side, a man was waiting for him with the gold biscuits and bars. He took them, and was returning to India when the BSF caught him.The BSF handed him over to the Directorate of Revenue Intelligence (DRI) for further legal procedure, officials said.","Gold bars and bricks worth Rs 3.09 crore were seized at the India-Bangladesh border in West Bengal's North 24 Parganas district and one person was arrested, officials said on Tuesday.",None,None,None,PTI,bangladesh,2024-01-23 05:23:00,2024-01-23 05:53:00
