country,url,title,timestamp,date,date_str,content,content_summary
bangladesh,https://www.indiatvnews.com/news/world/bangladesh-prime-minister-sheikh-hasina-sworn-in-for-the-fifth-term-in-bangladesh-elections-results-cabinet-expansion-2024-01-11-911435,"Sheikh Hasina sworn in as Prime Minister of Bangladesh for fifth term, replaces foreign minister","January 11, 2024, 11:37 PM",2024-01-11,11-1-2024,"Bangladesh: Sheikh Hasina was on Thursday sworn in as the prime minister of Bangladesh for the fifth term, days after her Awami League won an overwhelming majority in the general elections boycotted by the main opposition BNP and its allies. President Mohammad Shahabuddin administered the oath of office to 76-year-old Hasina at a ceremony joined by politicians, foreign diplomats, civil society figures and senior civil and military officials at Bangabhaban Presidential Palace.   She will serve as the 12th prime minister; her fourth consecutive term and fifth overall term. Hasina, the daughter of Bangladesh's founder Sheikh Mujibur Rahman, has been ruling the strategically located South Asian nation since 2009. She is among the world's longest-serving female heads of government. Following the prime minister, the new members of the cabinet were sworn in by the president. Hasina's party won 223 seats in the 300-member Parliament. Opposition Bangladesh Nationalist Party (BNP) of ex-prime minister Khaleda Zia boycotted the elections after their demand for a non-party caretaker government to conduct the January 7 polls was rejected. Hasina formed her government for the straight fourth term. She has inducted 25 ministers and 11 state ministers in her Cabinet. Shortly after the swearing-in ceremony, the Cabinet Division issued a statement containing the portfolios of the council of ministers. Sheikh Hasina drops heavyweight ministers The information minister in the previous cabinet Hassan Mahmud has been tasked with the charge of the foreign ministry while a career diplomat and former foreign minister Abul Hassan Mahmood Ali was shifted to the finance ministry. AKM Mojammel Haque was appointed as the Minister of Liberation War Affairs while Obaidul Quader got the Ministry of Road Transport and Bridges. Asaduzzaman Khan was given charge of the Home Ministry while Dr Dipu Moni was shifted to the Ministry of Social Welfare. Nurul Majid Mahmud Humayun was named Industries Minister and Anisul Huq became Law, Justice and Parliamentary Affairs Minister. Hasina has dropped some heavyweights like foreign minister AK Abdul Momen, finance minister AHM Mostafa Kamal, planning minister Abdul Mannan, agriculture minister Abdur Razzak and commerce minister Tipu Munshi from her new Cabinet. The new council of ministers list named 14 new faces as full ministers and seven state ministers though some of them were elevated as cabinet ministers. Samanta Lal Sen, a doctor who specialized in burn wounds, emerged as a new face in the list of full ministers as a technocrat to the surprise of many as he was never known for political activism. Sen was given the charge of the health ministry. Several new names inducted in Bangladesh cabinet Simin Hossain Rimi, the daughter of the first prime minister of Bangladesh Tazuddin Ahmed, was named Minister of Women and Children Affairs. According to another Cabinet Division statement, under the Rules of Business the Prime Minister has terminated the appointment of two advisers, security affairs adviser Maj Gen (retd.) Tareq Siddiqui and private sector affairs adviser Salman Rahman. The premier also terminated the contract of ambassador at large Mohammad Ziauddin. Bangladesh went to polls on Sunday, in which the ruling Awami League headed by Prime Minister Hasina won 223 seats; the Jatiya Party 11 seats; the Workers' Party, Jatiya Samajtantrik Dal and Bangladesh Kalyan Party one seat each; and independent candidates won 61 seats. India, China and Russia congratulated Hasina after her victory. All Far Eastern and Middle Eastern countries including Japan and Saudi Arabia also welcomed the ruling Awami League’s reelection. However, the Western nations, including the United States and the UK, which were insisting the Bangladesh election to be inclusive, and the United Nations expressed their reservations about the election. (With inputs from agency) Also Read:Bangladesh elections: Amid violence and Opposition boycott, voter turnout falls record low","The 76-year-old Sheikh Hasina, the daughter of Bangladesh's founder Sheikh Mujibur Rahman, has been ruling the strategically located South Asian nation since 2009 and is among the world's longest-serving female heads of government."
bangladesh,https://www.indiatvnews.com/news/world/bangladesh-pm-sheikh-hasina-wins-gopalganj-3-constituency-as-counting-underway-awami-league-bnp-latest-update-poll-results-2024-01-07-910728,"Bangladesh PM Sheikh Hasina elected for fifth term, declares Election Commission","January 08, 2024, 12:21 AM",2024-01-08,8-1-2024,"Bangladesh Prime Minister Sheikh Hasina's Awami League received a landslide victory in the general elections marred by sporadic violence and a boycott by the main opposition Bangladesh Nationalist Party (BNP).   News agency AFP, quoting Election Commission, said Hasina has won re-election for a fifth time.The ruling Awami League won more than 50 per cent seats which means she returned to power for a record fifth termand fourth consecutive termas PM. She won her constituency -Gopalganj-3 -for the eighth time since 1986. Hasina, 76, bagged 249,965 votes while her nearest rival M Nizam Uddin Lashkar from the Bangladesh Supreme Party secured just 469 votes in Gopalganj-3. Votes counting underway The counting of votes started on Sunday evening after the polling ended in Bangladesh's general elections is underway. The early results show that Awami League is leading the electoral race. So far, unofficially, Awami League has won in 10 constituencies, the Dhaka Tribune newspaper reported. The election commission cancelled the candidature of a ruling Awami League candidate in northeastern Chattogram at the fag-end of the voting hours as he “scolded and threatened” a police officer. The development left the polls in the constituency to be contested by two rebel candidates who belong to the ruling party as well. Bangladesh registers low voter turnout Bangladeshis turned up in low numbers to cast their votes for the general elections. According to the initial estimates, the voter turnout was around 40 per cent but the figure could change after the final count, Chief Election Commissioner Kazi Habibul Awal said. An hour before the voting ended, the election commission had said that the voter turnout was 27.15% at 3 pm. The 2018 general election recorded an overall turnout of more than 80 per cent. ""The voting ended at 4 pm and the counting has started,"" an election commission spokesman said, adding that the results were expected by early Monday. He said that other than some sporadic incidents of violence, the voting was largely peaceful in 299 of the 300 constituencies. The Commission suspended polling in one seat because of the death of a candidate. The Commission cancelled the candidature of a ruling Awami League candidate in northeastern Chattogram at the fag-end of the voting hours as he “scolded and threatened” a police officer. The development left the polls in the constituency to be contested by two rebel candidates who belong to the ruling party as well. The voter turnout was low as the ailing jailed ex-premier Khaleda Zia’s Bangladesh Nationalist Party (BNP) stayed away from the polls asking people to boycott it. The party alleged that no election under the current government would be fair and credible. The usual election-day fervour was nowhere to be seen. Even in front of the election campaign booths, there was no presence of voters except the ruling party-backed supporters and election agents. Voters cast their votes without any disruption in the absence of long queues, leaving presiding officers with idle time. Voting was cancelled at three centres -- one in Narsingdi and two in Narayanganj. The Election Commission ordered the arrest of Industries Minister Nurul Majid Mahmud Humayun's son on charges of electoral fraud in Narsingdi, according to reports. Shots were fired during a clash between supporters of two candidates running for the Chattogram-10 seat. Two people – Shanto Barua, 24, and Jamal, 35 – were shot and taken to Chattogram Medical College Hospital. Two people were injured after a clash between supporters of the Awami League candidate and an independent candidate at a polling centre in Jamalpur’s Sharishabari. Four persons, including a child, were injured after two crude bombs exploded near a voting centre in Dhaka's Hazaribagh. A total of 119. 6 million registered voters were eligible to vote at Sunday's polls in more than 42,000 polling stations, according to the country’s Election Commission. More than 1,500 candidates from 27 political parties were contesting in the election, besides 436 independent candidates. Over 100 foreign observers, including three from India, monitored the 12th general election, which is being held under tight security. More than 7.5 lakh members of law enforcement agencies and security forces have been deployed to ensure law and order during the polls. (With agencies inputs) Also read:Maldives govt suspends three ministers amid massive backlash over derogatory remarks against PM Modi","Leaders of the Bangladesh Nationalist Party (BNP), which boycotted General Elections, said it plans to intensify its anti-government movement through a peaceful public engagement programme from Tuesday as it dubbed the polls as ""fake""."
bangladesh,https://www.indiatvnews.com/sports/other/bangladesh-cricket-captain-shakib-al-hasan-wins-parliament-seat-2024-01-08-910746,Bangladesh cricket captain Shakib Al Hasan wins Parliament seat,"January 08, 2024, 08:05 AM",2024-01-08,8-1-2024,"Bangladesh cricket team's captain Shakib Al Hasan won a Parliament seat in the general elections conducted in the country on Sunday, January 7. Shakib, who contested from Magura-1 for Awami League, registered a landslide victory in the general polls boycotted by the opposition.   Shakib prevailed over his closest rival - Kazi Rezaul Hossain by a margin of 1,50,000 votes as Hossain secured 45,993 votes. He took a leave from cricket for the election campaign. Speaking ahead of the polls, the veteran star said that was not having any serious barriers but was still anxious. ""The competition and challenges are always there, be it a small team or big team,"" he told AFP. Notably, Bangladesh Prime Minister Sheikh Hasina has also secured yet another term with the Awami League. Her party won 200 out of the 300 seats in the Parliament despite counting is still going on after the end of Sunday poll. An election commission spokesman told media that Awami League can be called as the winner. ""We can call Awami League winner with the already available results but the final announcement will be made after the end of the counting of votes in the rest of the constituencies,"" the spokesperson told media. Shakib was last seen in action in the ODI World Cup 2023, where he led his team to an eight-placed finish. While the Bangla Tigers marked another underwhelming tournament, the finish was enough to see the Asian nation secure a place in the Champions Trophy, while the likes of Sri Lanka and Netherlands have missed out. After the World Cup, Bangladesh faced New Zealand in two different tours - one at home and the other away. However, Shakib was not part of any of the assignments.","Shakib Al Hasan took a temporary break from cricket ahead of the Parliamentary elections to campaign for the Awami League. Shakib contested from Magura-1 and won by a margin of 1,50,000 votes over his closest rival - Kazi Rezaul Hossain."
bangladesh,https://www.indiatvnews.com/news/world/bangladesh-elections-2024-amid-violence-and-opposition-boycott-voter-turnout-falls-record-low-sheikh-hasina-awami-party-2024-01-07-910697,"Bangladesh elections: Amid violence and Opposition boycott, voter turnout falls record low ","January 07, 2024, 07:25 PM",2024-01-07,7-1-2024,"Bangladesh elections 2024: Bangladeshis on Sunday turned up in low numbers to cast their votes for the general elections likely to be won by Prime Minister Sheikh Hasina for a fourth straight term, amid sporadic violence and a boycott by the main opposition party BNP and its allies.   According to the initial estimates, the voter turnout was around 40 per cent but the figure could change after the final count, Chief Election Commissioner Kazi Habibul Awal said. An hour before the voting ended, the election commission had said that the voter turnout was 27.15% at 3 p.m. The 2018 general election recorded an overall turnout of more than 80 per cent. ""The voting ended at 4 pm and the counting has started,"" an election commission spokesman said, adding that the results were expected by early Monday. He said that other than some sporadic incidents of violence, the voting was largely peaceful in 299 of the 300 constituencies. The Commission suspended polling in one seat because of the death of a candidate. EC cancels the candidature of a ruling party The Commission cancelled the candidature of a ruling Awami League candidate in northeastern Chattogram at the fag-end of the voting hours as he “scolded and threatened” a police officer. The development left the polls in the constituency to be contested by two rebel candidates who belong to the ruling party as well. The voter turnout was low as the ailing jailed ex-premier Khaleda Zia’s Bangladesh Nationalist Party (BNP) stayed away from the polls asking people to boycott it. The party alleged that no election under the current government would be fair and credible. The usual election-day fervour was nowhere to be seen. Even in front of the election campaign booths, there was no presence of voters except the ruling party-backed supporters and election agents. Voters cast their votes without any disruption in the absence of long queues, leaving presiding officers with idle time. Some centres see cancellations Voting was cancelled at three centres -- one in Narsingdi and two in Narayanganj. The Election Commission ordered the arrest of Industries Minister Nurul Majid Mahmud Humayun's son on charges of electoral fraud in Narsingdi, according to reports. Shots were fired during a clash between supporters of two candidates running for the Chattogram-10 seat. Two people – Shanto Barua, 24, and Jamal, 35 – were shot and taken to Chattogram Medical College Hospital. Two people were injured after a clash between supporters of the Awami League candidate and an independent candidate at a polling centre in Jamalpur’s Sharishabari. Four persons, including a child, were injured after two crude bombs exploded near a voting centre in Dhaka's Hazaribagh. A total of 119.6 million registered voters were eligible to vote at Sunday's polls in more than 42,000 polling stations, according to the country’s Election Commission. More than 1,500 candidates from 27 political parties were contesting in the election, besides 436 independent candidates. Over 100 foreign observers, including three from India, monitored the 12th general election, which is being held under tight security. More than 7.5 lakh members of law enforcement agencies and security forces have been deployed to ensure law and order during the polls. Sheikh Hasina may retain Prime Minister Hasina cast her vote at Dhaka City College polling centre soon after the voting started. Her daughter Saima Wazed accompanied her. Hasina, 76, has been in power since 2009 and her Awami League won the last election in December 2018. She is set to secure a fourth consecutive term as prime minister and a fifth overall term in the one-sided election. ""Polling in the country is going on very well.I hope all the people will come to vote and establish their rights.Maintain the democratic flow in the country and work for the socio-economic development of people,"" Hasina told reporters after casting her vote. She alleged that the opposition Bangladesh Nationalist Party (BNP)-Jamaat-e-Islami alliance does not believe in democracy. ""People will vote as they wish. And we were able to create that voting environment. Although the BNP-Jamaat alliance has caused many incidents, including arson attacks,"" she said. In response to a question on how acceptable the election will be while the BNP is boycotting it, Hasina said that her responsibility is towards the people. ""Whether people accept this election or not it is important to me. So, I don't care about their (foreign media) acceptance. No matter what did the terrorist party say or not?"" she said. Boycott Hasina's ruling Awami League (AL) is expected to win the election as the BNP of former premier Khaleda Zia, 78, who is under house arrest as a convict of graft charges, boycotted the polls. The BNP boycotted the 2014 election but joined the one in 2018. The 27 political parties that contested the elections include the opposition Jatiya Party (JAPA). The rest are members of the ruling Awami League-led coalition, which experts dub as ""satellite parties."" The BNP is observing a 48-hour nationwide general strike which began at 6 am on Saturday and will end at 6 am on Monday.It had called upon voters to shun the election to mark the beginning of an end of what it calls a ""fascist government."" Ahead of the elections, Hasina's government arrested tens of thousands of rival politicians and supporters, a move which rights groups have condemned as an attempt to paralyse the Opposition. Fifteen other political parties also boycotted the election. The ruling party did everything it could to make the election look participatory and competitive. It allowed party leaders to join the polls in droves as ""independent"" candidates. As a result, in every seat, two or more AL candidates are pitted against each other. Former Election Commissioner Brig Gen (retd) Sakhawat Hussain termed Sunday's polls a unique one compared to the previous two elections. ""This time the election is taking place between candidates from the same party in the name of independents and dummies. As a result, voters are less interested in the polls,"" said Sakhawat. ""So, it is a unique model election … Results of the election are certain, everybody knows who is going to win. The only uncertain thing is who will be in the opposition bench,"" he added. (With inputs from agency) Also Read:'We are very lucky...India is our trusted friend': Bangladesh PM Hasina praises Delhi's role in 1971 war","According to the initial estimates, the voter turnout was around 40 per cent but the figure could change after the final count, Chief Election Commissioner Kazi Habibul Awal said."
bangladesh,https://www.indiatvnews.com/news/world/bangladesh-general-elections-voting-today-updates-sheikh-hasina-opposition-bangladesh-nationalist-party-boycott-polls-election-commission-latest-news-2024-01-07-910592,"Bangladesh general election underway with main Opposition boycotting polls, PM Hasina casts vote","January 07, 2024, 11:15 AM",2024-01-07,7-1-2024,"Bangladesh Elections 2024: General elections in Bangladesh are currently underway amid isolated incidents of pre-poll violence and boycotting of elections by key opposition leaders.Prime Minister Sheikh Hasina, whois expected to win a fourth straight term in the absence of the main Opposition BNP, has cast her vote.The opposition began a 48-hour nationwide strike against the ""illegal government"" amidst sporadic violence. The polling will be held in300 constituencies across the country. Bangladeshelection commission has said thatit has nearly completed poll preparations.   With inputs from PTI","Bangladesh general elections are underway amid incidents of pre-poll violence in the past few days. The elections are taking place under the observation of the UN, and Indian officials. The country's main Opposition leader is boycotting the polls."
bangladesh,https://www.indiatvnews.com/news/world/bangladesh-elections-2024-updates-pm-sheikh-hasina-praises-india-role-in-1971-liberation-war-says-we-are-very-lucky-india-is-our-trusted-friend-2024-01-07-910635,'We are very lucky...India is our trusted friend': Bangladesh PM Hasina praises Delhi's role in 1971 war,"January 07, 2024, 11:44 AM",2024-01-07,7-1-2024,"Bangladesh elections:Bangladesh Prime Minister Sheikh Hasina extended her wishes for India and said that the country is lucky to have a trusted friend like India as she got to secure the fourth term in the ongoing general elections.   In her message to New Delhi, the 76-year-old leader highlighted India's support during the Liberation War in 1971. ''We are very lucky...India is our trusted friend. During our Liberation War, they supported us...After 1975, when we lost our whole family...they gave us shelter. So our best wishes to the people of India,"" she said as she cast her vote today.  PM Hasina recounted the horrors of her family's massacre in 1975, in which her whole family was killed and she lived in exile in India for years. She later returned to Dhaka and took over the Awami League-- one of the major political parties in Bangladesh.  Hasina underscores the role of democracy After casting her vote in the ongoing general elections, Hasina emphasised the importance of democracy for the development of the country and said that her government has established people's democratic rights. ""Our country is sovereign and independent...We have a big population. We have established people's democratic rights...I want to make sure that democracy should continue in this country and without democracy, you can't make any development. As we are a long-term democratic system from 2009 to 2023, that is why Bangladesh made this much of an achievement,"" she said. PM Hasina also underscored that her government created an atmosphere where people are able to come out and vote. She stated, ""My heartfelt thanks to the people of Bangladesh. There were many obstacles but the people of our country are very much aware of their voting rights and the need for polls...We were able to create an atmosphere where people were able to come out and vote."" She also accused the Opposition party, the Bangladesh Nationalist Party (BNP), of inciting violence in the country and said that they are against the development of the people. She said, ""BNP and Jamat did several arsoning and various other violent activities, such as burning train, burning vehicle, stopping people's movement...I would say that they do not believe in democracy, they are not patriots, and they are against the development of the people. Moreover, they don't want democracy to continue."" Bangladesh elections Nearly 170 million people in Bangladesh will vote to elect 299 lawmakers during the 12th national election amid a boycott by the main opposition Bangladesh Nationalist Party, demanding Hasina's resignation. More than 42,000 polling stations are set for Sunday's elections, where a total of 119.6 million registered voters are eligible to cast their votes, as reported by the country's Election Commission. Women make up almost half of the nearly 120 million eligible voters, while first-time voters number about 15 million. Multiple local and global media reported that Prime Minister Sheikh Hasina is expected to win a fourth straight term in the absence of the main Opposition BNP which began a 48-hour nationwide strike against the ""illegal government"" amidst violence and a crackdown on protesters. The Supreme Court on December 27 provided clearance for the Election Commission (EC) to proceed with the general elections. The Election Commission has made thorough arrangements for the upcoming 12th national parliamentary election on January 7 to ensure a peaceful process. As many as 127 foreign observers will track the election process to assess the election's fairness. International election expert teams from the European Union are present in Dhaka, with foreign observers from various countries, including a Commonwealth team, monitoring the elections. (With inputs from ANI) Also Read:Bangladesh general election underway with main Opposition boycotting polls, PM Hasina casts vote","Bangladesh elections: PM Hasina recounted the horrors of her family's massacre in 1975, in which her whole family was killed and she lived in exile in India for years."
bangladesh,https://www.indiatvnews.com/news/world/bangladesh-two-polling-booths-set-on-fire-ahead-of-elections-day-after-train-vandalised-people-killed-latest-updates-2024-01-06-910562,"Bangladesh: Two polling booths set on fire ahead of elections, day after train torched in Dhaka","January 06, 2024, 05:19 PM",2024-01-06,6-1-2024,"A day after a train was set ablaze in poll-bound Bangladesh that resulted in the deaths of four people, at least two schools that were set to become polling stations for the upcoming elections on Sunday were set ablaze by unidentified persons on Saturday. No casualties or injuries have been reported so far.   The incident took place in Nischinta Para Government Primary School around 4:30 am in Chittagong and East Chandana Government Primary School in Gazipur City. ""Arsonists set the school's headmaster's room on fire. New books which were kept in the room were burnt,"" Shakila Soltana, Deputy Commissioner of CMP Port Division, told The Daily Star. Police are currently investigating the incidents, according to officials. In Gazipur, the unknown arsonists destroyed books and documents inside, according to Abdullah-al-Arefin, deputy assistant director of Gazipur Fire Service. Emergency workers from Joydebpur and Gazipur Chowrasta fire stations subsequently extinguished the blaze. Meanwhile, other five schools that are designated polling centres and 10 election camps came under arson attacks between Thursday and Friday in six districts. At least 14 arson attacks were reported in 16 hours till 9:30 am on Saturday, according to Fire Service Statistics. A train, two pick-up vans, two lorries and a truck were torched while a Buddhist Temple in Cox's Bazar and eight educational institutions were set on fire, it added. At least 32 fire engines worked to douse the blazes. Sabia Government Primary School of Chandighat union in Moulvibazar Sadar upazila was set on fire by arsonists last night. Train set ablaze in Bangladesh At least four people were killed, including two children, and several others were injured after four coaches of the Benapole Express train in Dhaka's Gopibagh area were set ablaze on Friday, two days ahead of the elections. Railway officials said that most of the train’s nearly 292 passengers were returning home from India. Bangladesh's main opposition party has demanded a UN-supervised probe into the fire incident calling it a ""pre-planned"" act of sabotage amid political turmoil ahead of the general elections being boycotted by the party. The party's senior Joint Secretary Ruhul Kabir Rizvi called it an ""inhuman brutal atrocity against humanity"". Prime Minister Sheikh Hasina expressed deep shock and sorrow at the loss of four lives in the Benapole Express train fire. She directed the authorities concerned to investigate whether the fire was an act of sabotage and to take immediate steps for the treatment of injured persons. Bangladesh Foreign Minister AK Abdul Momen called the arson attacks an assault on the ""democratic process and a grave violation on the rights of citizens"", adding that innocent passengers were subjected to unimaginable horror in an ""act of absolute abomination."" Bangladesh general elections The incident has taken place ahead of the national elections in Bangladesh. The country is set to vote on Sunday. More than 100 foreign observers, including three from India, have reached Dhaka to monitor the general election. Led by former prime minister Khalida Zia, the Bangladesh Nationalist Party (BNP) is boycotting the general election as it is demanding an interim non-party neutral government to hold the election. The demand was rejected by the government headed by Prime Minister Sheikh Hasina, who is heading the ruling Awami League. Foreign Ministry officials said a three-member delegation from the Election Commission of India reached Dhaka on Friday while 122 others from different countries were set to be here ahead of the January 7 polls, which the United Nations said would watch closely. More than 1,500 candidates from 27 political parties are contesting in the election besides 436 independent candidates. A total of 119.6 million registered voters are eligible to vote at Sunday's polls in more than 42,000 polling stations. Ahead of the elections, Hasina's government arrested tens of thousands of rival politicians and supporters, a move which rights groups have condemned as an attempt to paralyse the Opposition. The country witnessed violent riots as the opposition party demanded a non-party interim government. (with inputs from PTI)","At least four people were killed, including two children, and several others were injured after four coaches of the Benapole Express train in Dhaka's Gopibagh area were set ablaze on Friday. This happened two days before the elections, where PM Sheikh Hasina is poised to win."
bangladesh,https://www.indiatvnews.com/news/world/bangladesh-s-opposition-party-demands-un-probe-into-train-sabotage-that-killed-four-people-benapole-express-dhaka-india-latest-updates-2024-01-06-910524,Bangladesh's opposition party demands UN probe into train 'sabotage' that killed four,"January 06, 2024, 01:12 PM",2024-01-06,6-1-2024,"Bangladesh's main opposition party has demanded a UN-supervised probe into the fire incident on a passenger train that killed four people on Friday, calling it a ""pre-planned"" act of sabotage amid political turmoil ahead of the general elections being boycotted by the party. The party's senior Joint Secretary Ruhul Kabir Rizvi called it an ""inhuman brutal atrocity against humanity"".   At least four people were killed, including two children, and several others were injured after four coaches of the Benapole Express train in Dhaka's Gopibagh area were set ablaze on Friday, two days ahead of the elections. Railway officials said that most of the train’s nearly 292 passengers were returning home from India.  It happened around 9 pm as the train, running from the Benapole town bordering the Indian state of West Bengal, had nearly reached the destination of the capital's Kamalapur Railway Station. Fire service chief Brigadier General Mohammad Main Uddin, meanwhile, said two of the dead were minor children.Meanwhile, the Crime Investigation Department of Bangladesh worked with a forensic team to gather evidence and carry out an investigation into the incident. 'Train fire an act of sabotage': BNP Rizvi expressed concern over the ""heartbreaking incident of casualties due to arson by miscreants"" on the Benapole Express train. He termed it an ""inhuman brutal atrocity against humanity"" and called for a UN-supervised investigation into the incident, as reported by The Daily Star. ""There is no doubt that the Benapole Express train fire was an act of sabotage, leading to the loss of life,"" he said, calling for the immediate arrest and punishment of the ""perpetrators involved"". His statements come as many see the act as a deliberate attempt to reignite pre-poll violence in the country. Meanwhile, Prime Minister Sheikh Hasina expressed deep shock and sorrow at the loss of four lives in the Benapole Express train fire. She directed the authorities concerned to investigate whether the fire was an act of sabotage and to take immediate steps for the treatment of injured persons. Bangladesh national elections The incident has taken place ahead of the national elections in Bangladesh. The country is set to vote on Sunday. More than 100 foreign observers, including three from India, have reached Dhaka to monitor the general election. Led by former prime minister Khalida Zia, the Bangladesh Nationalist Party (BNP) is boycotting the general election as it is demanding an interim non-party neutral government to hold the election. The demand was rejected by the government headed by Prime Minister Sheikh Hasina, who is heading the ruling Awami League. Foreign Ministry officials said a three-member delegation from the Election Commission of India reached Dhaka on Friday while 122 others from different countries were set to be here ahead of the January 7 polls, which the United Nations said would watch closely. (with inputs from PTI)","At least four people were killed, including two children, and several others were injured after four coaches of the Benapole Express train in Dhaka's Gopibagh area were set ablaze on Friday. This happened two days before the Bangladesh national elections, which has created a political turmoil."
bangladesh,https://www.indiatvnews.com/news/world/bangladesh-benapole-express-train-fire-dhaka-gopibagh-death-count-injured-indians-mob-pre-poll-violence-general-elections-latest-news-2024-01-06-910481,"Bangladesh train 'set on fire' in Dhaka, at least four dead, arson attack suspected ahead of national polls","January 06, 2024, 03:38 AM",2024-01-06,6-1-2024,"Bangladesh: At least four people have died including two children and several others are injured after a train was set on fire in Dhaka. The incident took place inBenapole Express train in capital's Gopibagh when four of its coaches were set ablaze.According to reports, some Indians were also travelling in the train.   The incident has come just two days ahead of the General Elections in the country and is being seen as an attempt to trigger pre-poll violence to vitiate the atmosphere. Ithappened around 9 pm when four carriages of the Benapole Express that runs from Benapole, a town bordering the Indian state of West Bengal, were set on fire as it nearly reached its destination of the capital’s Kamalapur Railway Station. ""So far we have found four bodies...searches are still underway,"" Shahjahan Shikdar, the spokesman of Fire Service and Civil Defence, told newsmen at the scene. Railway officials said that most of the train’s nearly 292 passengers were returning home from India and the train was set on fire at 9 PM as it reached the Gopibagh area near the station.  Fire service chief Brigadier General Mohammad Main Uddin, meanwhile, said two of the dead were minor children. “When we tried to bring out a middle-aged man through a window of the train but he asked me to leave him and rather save his wife and children from inside,” a local youth was seen telling the private Jamuna TV. He said soon fire engulfed the man's and he died shortly thereafter.A report by the Somoy TV said that some Indian nationals were also travelling in the train. While the railway officials could not immediately confirm how many people were wounded, private TV channels said that people in the neighbourhood first reached the scene and sent several fire-wounded people to Dhaka Medical College Hospital’s burn unit and some other facilities. Bangladesh goes to polls on Sunday The incident has taken place ahead of the national elections in Bangladesh. The country is set to vote on Sunday.More than 100 foreign observers, including three from India, have reached Dhaka to monitor the general election. Led by former prime minister Khalida Zia, the Bangladesh Nationalist Party (BNP) is boycotting the general election as it is demanding an interim non-party neutral government to hold the election. The demand was rejected by the government headed by Prime Minister Sheikh Hasina, who is heading the ruling Awami League. Foreign Ministry officials said a three-member delegation from the Election Commission of India reached Dhaka on Friday while 122 others from different countries were set to be here ahead of the January 7 polls, which the United Nations said would watch closely. With inputs from PTI","The incident has come just two days ahead of the national elections in Bangladesh. According to reports, some Indian citizens were also travelling in thetrain."
bangladesh,https://www.indiatvnews.com/sports/cricket/new-zealand-vs-bangladesh-2nd-t20i-bay-oval-mount-maunganui-pitch-report-2023-12-29-909402,"New Zealand vs Bangladesh, 2nd T20I: Bay Oval, Mount Maunganui Pitch report","January 02, 2024, 11:35 AM",2024-01-02,2-1-2024,"Buoyant after a comprehensive five-wicket win in the first T20I at the McLean Park in Napier on Wednesday, Bangladesh would like to seal the series with a win in the second T20I fixture against New Zealand to be played at the Bay Oval in Mount Maunganui on Friday (December 29).   Bangladesh seamers proved very hard to score off at McLean Park and right-arm off-spinner Mahedi Hasan impressed a lot. Mahedi bagged 2/14 in his four overs on a wicket that didn't have much in it for him and assisted his seamers incredibly well. Though Bangladesh were fairly disciplined in their bowling performance, their batters looked ordinary while chasing a below-par total of 135 runs. Barring Litton Das (42 off 36 balls), none of the other Bangladesh batters managed to stay long enough in the middle and that's a worrying sign for the visitors. On the other hand, the Kiwis are expected to come hard at the Najmul Hossain Shanto-led side in Mount Maunganui. The Blackcaps wield a lot of firepower in their batting order and it may prove a daunting task for the Bangladesh attack to keep the hosts quiet two games in a row. The pitch at the venue is usually abelter for batting and hence the batters are likely to have a field day. The wicketoffers true bounce and therefore shot-making becomes an easier task. The bowlers will have to toil hard for success. Bay Oval T20I Records and Stats Total T20I Matches: 15 Matches won batting first: 11 Matches won bowling first: 2    Related StoriesGo and check our results in last four years: Rohit Sharma on batters' flop showamid heavy lossDean Elgar to lead South Africa in Cape Town Test following injury to Temba BavumaIndia women's fielding coach urges players to move on from 1st ODI drubbing Average first innings score: 160 Average second innings score: 136 Highest total scored: 243/5 by New Zealand vs West Indies Highest score chased: 117/1 by NZ-W vs SA-W Lowest total recorded: 90 all out by WI-W vs NZ-W Lowest total defended: 124/5 by NZ-W vs WI-W","Emerging bowling allrounder, Mahedi Hasan, was awarded the Player of the Match (POTM) in the first T20I at McLean Park for his remarkable performance of 2/14 with the ball and scoring 19* off 16 deliveries."
