url,title,content,content_summary,title_translation,content_translation,summary translation,author,country,source_localtime,bangladesh_localtime
https://www.morungexpress.com/from-asia-to-africa-vishwaguru-india-plays-a-key-role-in-growth-of-global-south,"From Asia to Africa, 'Vishwaguru' India plays a key role in growth of Global South","In yet another proof of its emergence as an emphatic voice of the Global South, India joined hands with ""valued friend"" Mauritius once again to strengthen its maritime security and foster socio-economic development.Along with six other community development projects, Prime Minister Narendra Modi and his Indian-origin Mauritius counterpart Pravind Jugnauth inaugurated a new airstrip and a jetty in Agalega Island on Thursday -- a move seen as an attempt to ensure security, prosperity, and stability in the Indian Ocean Region.The development was seen as a reaffirmation of the Modi government's focus on 'sabka saath, sabka vikas' as a hallmark of India's foreign policy. It goes without saying that PM Modi has been successful in setting the economic agenda aimed at shaping global growth at various international forums.With the oceanic nation being a key partner of India's 'Neighbourhood First Policy' and a special partner under Vision SAGAR, the last 10 years have registered an ""unprecedented momentum"" in the relations between the two countries.India has extended a credit line of $1,000 million along with USD 400 million worth of assistance to the people of Mauritius which underlines the fact that addressing the humanitarian issues is of paramount importance for PM Modi.In addition, New Delhi has contributed profusely to the development of metro rail lines, community development projects, social housing, ENT Hospital, Civil Service College, and sports complexes infrastructures in Mauritius.In what highlights India's greater role in the development of various nations under the visionary leadership of PM Modi, the government has initiated around 600 projects on infrastructure, energy, healthcare, etc, in 78 countries, especially from the Global South.It is these partnerships in the Global South -- from security and health to EEZ -- that spotlights India's role as a ""vishwaguru"", or global teacher, in leading developmental work across third-world countries.With the Covid-19 pandemic and the Russia-Ukraine war putting the third-world nations under a severe strain, Papua New Guinea PM James Marape, in his address at the Forum for India-Pacific Islands Cooperation in May 2023, urged PM Modi to offer a voice in the face of the Global North.Marape reportedly suggested that the Pacific Island countries would rally behind his voice at global forums even as he praised the Indian PM as the leader of the Global South.India's efforts for these countries were made amply clear during PM Modi's address at the opening session of the 2023 Voice of Global South summit where the leader called for creating a new world order to ensure the welfare of citizens in developing countries.Emphasising that the next phase of global growth will come from countries in the South, PM Modi stressed self-reliance and proposed a four-point global agenda of 'Respond, Recognise, Respect and Reform' at the session.In a bid to remove inequalities, support growth and opportunities, and spread progress and prosperity, the PM -- successfully positioning India as a powerhouse of the 21st century -- urged the developing countries to work towards redesigning political and financial governance globally.Apart from Mauritius, the shining examples of developmental contributions made by India, based on the partner country's priorities, include the recent launch of Unified Payment Interface (UPI) services in Sri Lanka and Mauritius.In a groundbreaking move last year, India and the United Nations launched the 'India-UN Capacity Building Initiative', which aims to share the South Asian nation's development experiences, best practices, and expertise with partner countries in the Global South.In December last year, the Ministry of External Affairs (MEA) informed the Parliament that India has extended lines of credit 'worth $32.02 billion' for infra projects in Asian and African countries.Responding to a question in the Rajya Sabha, Minister of State for External Affairs, V. Muraleedharan, said that these funds have supported more than 600 projects in sectors ranging from infrastructure, power, connectivity and health.Providing a breakup of the line of credit amount, Muraleedharan said about $17.06 billion has gone to countries in Asia, $12.15 billion to those in Africa, and $2.81 billion to countries elsewhere.Further, grant assistance projects with countries such as Afghanistan, Bangladesh, Maldives, Myanmar, Nepal, Sri Lanka, and Bhutan have also been set up as part of India's 'Neighbourhood First' policy.The parliament was also told that the government is also offering capacity-building assistance to its partners in the Global South under the Indian Technical and Economic Cooperation Programme (ITEC).""Around 160 countries benefit from these scholarships every year. More than 14,000 training slots are available annually for civilian and defence courses,"" V. Muraleedharan had said.Via ITEC, India has helped countries like Afghanistan, Lithuania, Maldives, Nepal, etc, and scholarships were also announced for Pacific Island Countries in May last year.New Delhi, March 2",None,None,None,None,IANS,bangladesh,2024-03-02,2024-03-02
https://www.morungexpress.com/nagaland-coal-revenue-plummets-rs-6-crore-shortfall-from-last-fiscal,Nagaland coal revenue plummets: Rs 6 crore shortfall from last fiscal,"Kohima | March 1The revenue generated from coal mining in the state during the fiscal year 2023-2024 was Rs 34, 142, 645 crore, compared to Rs 9, 91, 82, 730 crore in 2022-2023. This indicates a significant plummet to a tune of Rs 6, 50, 40, 085 crore.MLA Achumbemo Kikon raised concerns about this massive revenue deficit, stating that the revenue should have increased from one fiscal year to the next, but instead, there has been a decrease, resulting in a significant loss for the government.Deputy Chief Minister TR Zeliang, speaking on behalf of the Chief Minister, explained that the state has been producing coal for many years, but has struggled to fetch a good price in the market due to high sulphur and ash content, despite having high calorific value. Additionally, he said the issue of varying royalty collection is still ongoing and that the exact gap amount of royalty collected during the year will be known by the end of March 31.Clarifying on the revenue deficit, Zeliang said in 2022-2023, there was a sudden demand for coal in the energy sector due to limited imports imposed by the Ministry of Coal, Government of India, resulting in an increase in demand for domestic coal, including Nagaland coal, and consequently, an increase in revenue. However, in the fiscal year 2023-2024, the coal demand in the domestic market decreased due to adequate coal stock made by various energy sectors in the previous season.Furthermore, he maintained that the recent general election held in Bangladesh in January 2024 and the limited quantity of coal imported from Indonesia and the USA at cheaper rates have also impacted the demand for Nagaland coal in the domestic market. Bangladesh, he informed is one of the major consumer of Nagaland coal.Hence, Zeliang justified that the demand and supply of Nagaland coal have been affected. However, he expressed optimism that the market, both domestic and export, will be more conducive in the coming months.Meanwhile, Kikon expressed concern on the implications, including revenue loss, environmental effects, and the destruction of flora and fauna due to coal mining. He highlighted the lack of scientific knowledge and methods of coal mining in the state, with random mining practices leaving the land barren.Kikon also mentioned the high incidence of cancer among residents in the Tamlu area, which he believes is linked to improper mining practices, and calls for stringent regulations and stronger criteria for obtaining mining licenses.Supporting Zeliang’s argument, Minister Temjen Imna Along chipped in that coal rates are very low, with a surplus of coal in stock that cannot be sold for more than Rs 4500 per metric tonne currently.At the same time, he suggested on the establishment of government-authorized depots in each area to regulate the coal market effectively, and that coal mining licenses are only issued to individuals with a substantial capital of about Rs 4-5 crore in their accounts stating that some non-residents are not paying the GST incurring huge loss to local license holders.Along also emphasized on the need for capacity building by the department to educate the local population about coal mining practices and suggested for streamlining revenue generation to ensure the state receives Rs 50-100 crore from mining activities.High incidence of cancer in Tamlu area due to improper mining practices, says Kikon",None,None,None,None,Morung Express News,bangladesh,2024-03-01,2024-03-01
https://www.morungexpress.com/nitin-gadkari-sanctions-rs-3371cr-for-4-laning-silchar-churaibari-corridor-in-assam,"Nitin Gadkari sanctions Rs 3,371cr for 4-laning Silchar-Churaibari corridor in Assam","Union Minister for Road Transport and Highways Nitin Gadkari said on Friday that an amount of Rs 3,371.18 crore has been sanctioned for three projects in Assam encompassing sections from Nilambazar/Cheragi bypass to Chandkhira, Chandkhira to Churaibari, and Karimganj to Sutarkandi for widening to 4-lane on NH-37 and NH-8.Totalling 58.06 km, these sections fall under Packages V, VI and VII of the Silchar-Churaibari Corridor.Nitin Gadkari said in a social media post that the project, envisioned as a 4-lane with paved shoulders and access-controlled corridor, aims to provide enhanced highway connectivity to neighbouring states, namely Meghalaya, Manipur, and Tripura via NH-37, NH-6, and NH-8.The Silchar-Churaibari corridor further strengthens international connectivity with Bangladesh via the ICP near Sutarkhandi, Assam, on NH-37.This road's development will ensure seamless and secure traffic flow, fostering regional economic growth and facilitating international trade, the minister added.New Delhi, March 1",None,None,None,None,IANS,bangladesh,2024-03-01,2024-03-01
https://www.morungexpress.com/central-contracts-hardik-pandyas-case-is-different-from-ishan-kishan-shreyas-iyer-says-aakash-chopra,"Central Contracts: Hardik Pandya’s case is different from Ishan Kishan, Shreyas Iyer, says Aakash Chopra","Former Indian cricketer-turned-commentator Aakash Chopra has backed the Board of Control for Cricket in India (BCCI) after it handed Hardik Pandya a Grade A category Annual contract despite not featuring in international cricket since the ODI World Cup 2023 while denying the same to Ishan Kishan and Shreyas Iyer for not playing domestic cricket.The BCCI on Wednesday released the list of players that have been awarded annual central contracts for 2023–2024. Contracts were denied to players like Iyer and Ishan Kishan, while Hardik was placed in the Grade A category.Hardik suffered an ankle injury during the ODI World Cup 2023 in the match against Bangladesh in Pune in October and the all-rounder has been out of action ever since. Fans on social media also pointed out Pandya’s unavailability from domestic cricket regularly.However, Aakash Chopra defended the BCCI's decision and reckoned that Hardik cannot be punished for not playing first-class cricket, given he has not been contesting for a spot in India's Test squad.""Hardik Pandya's case is very simple. Why would you punish him if he has not made a mistake? He is not playing red-ball cricket. That ambition or aspiration does not exist anymore. He has not said that as such, but the truth is that he is not available at all for any Test series,"" Chopra said on his YouTube Channel.""So if you are not at all auditioning for Tests, no one will ask you to play first-class cricket. Why would you play four-day games when you don't have that much strength in your body to bowl so many overs and have injury problems? So why should he play - fair play,"" Chopra added.Chopra also emphasised the unavailability of Hardik Pandya’s unavailability from domestic and international cricket and explained that the all-round player never missed a game like Ishan Kishan and Shreyas Iyer, therefore Hardik's situation cannot be compared to Kishan and Iyer's.""Let's try to understand the chronology slightly. It will just clear up your mind why a different rule has been kept for him and why it is wrong to include him with Ishan and Shreyas. He got injured during the World Cup, that was October-November,"" Chopra explained.""The Syed Mushtaq Ali Trophy was over in October-November. He was playing in the World Cup for India at that time. The last match that Baroda played in the Vijay Hazare Trophy was on 5th December. He was not fit and available. He wasn't practicing anywhere but was recovering from his injury in the NCA,"" he added.Hardik Pandya returned to competitive cricket at the DY Patil T20 Cup leading the Reliance 1 team. He picked 2 for 22 against Bharat Petroleum.New Delhi, March 1",None,None,None,None,IANS,bangladesh,2024-03-01,2024-03-01
https://www.morungexpress.com/death-toll-in-bangladesh-building-fire-rises-to-45,Death toll in Bangladesh building fire rises to 45,"The death toll in the fire at a multi-storey building in Bangladesh has risen to 45, Health Minister Samanta Lal Sen said on Friday.The fire, which had broken out in a restaurant at around 22:00 local time (16:00 GMT) on Thursday in Dhaka, had spread to other floors of the building.Prime Minister Sheikh Hasina has spoken to the health minister and directed him to ensure proper medical treatment to the injured.Confirming the death toll, Samanta Lal Sen, who is also the coordinator of the Sheikh Hasina National Institute of Burn and Plastic Surgery, said, ""Most of the injured are critical and trachea of many has been burnt. We are trying best to save them.""""Fourteen people are under treatment in Dhaka Medical College Hospital and eight people in Sheikh Hasina Burn Institute with 60 per cent burn injuries. Their health condition is critical,"" the Health Minister said.During treatment, patients are having a number of complications ranging from respiratory distress, wound infections and electrolyte imbalance, Samanta Lal Sen said.Jewel, 30 died around 7 a.m. at the intensive care unit (ICU) of DMCH on Friday.The bodies of 39 people have been identified. At least 32 bodies have been handed over to families without autopsy.However, identities of six bodies remain unknown.Dhaka Additional Deputy Commissioner AKM Hedayetul Islam said, ""The DMCH authorities are handing over the bodies. We are helping them. Apart from this, we have given assistance of Tk25 thousand to the deceased’s families who are not solvent.""Dhaka, March 1",None,None,None,None,IANS,bangladesh,2024-03-01,2024-03-01
https://www.morungexpress.com/trade-between-tripura-bangladesh-rise-to-9404-in-5-years-minister,"Trade between Tripura, Bangladesh rise to 94.04% in 5 years: Minister","Trade between bordering Tripura and Bangladesh increased to a whooping over 94.04 per cent in five years, Tripura Finance Minister Pranajit Singha Roy said on Friday.Presenting the state budget for 2024-25 on the first day of the 3-day budget session of the Tripura assembly, the Finance Minister said that the volume of trade between Tripura and Bangladesh has increased substantially from Rs 390.68 crore in 2017-18 to Rs 758.09 crore in 2022-23.The value of exports from Tripura to Bangladesh has gone up to Rs 121.37 crore in 2023-24.Singha Roy told the house that the Tripura State Electricity Corporation has been implementing three major power projects under Asian Development Bank (ADB) funding, World Bank funding and funding from the Central government.He said that two externally aided projects -- Japan International Cooperation Agency (JICA) and Indo-German Development Cooperation (IGDC) -- are being implemented in the forest and livelihood sectors and one new project named Enhancing Landscape and Ecosystem Management Project (ELEMENT) funded by World Bank will be launched soon with project cost of Rs 1764.94 crore.The Minister told the house that since 2018-19, at least 2,46,339 farmers have benefited from 'Pradhan Mantri Kisan Samman Nidhi Yojana' in the state.An amount of Rs 640.40 crore has been deposited in the bank accounts of 2,46,339 beneficiary farmers.He said that over 12.46 lakh farmers' crop of the state has been covered under the 'Pradhan Mantri Fasal Bima Yojana' and 3,29,860 Kisan Credit Cards have been distributed among the farmers of the state with the farmers so far have received total loan of Rs 1649 crore under Kisan Credit Card.He said that under the 'Chief Minister's Rubber Mission', 600 hectares of rubber plantation has been done during 2023-24 and 916 tribal families have been benefited under various income generating activities.The 'Third International buyer-seller meet' for Agar tree products was held at Agartala in October last year Agarwood growers' conclave was held at Dharmanagar, the Minister told the members.He said that the Union Ministry of Environment, Forest and Climate Change has given clearance for first time for export of Agar oil to Dubai from Tripura.In the last 5 years, 47,600 women Self Help Groups (SHGs) have been formed under Tripura Rural Livelihood Mission in the state with 4.66 lakhs rural women are associated with 51,254 SHGs in the state.Till January this year, 83,000 women associated with various SHGs in the state have become 'Lakhpati Didis' and the state government has set a target for making 1.14 lakh more women in different SHGs to improve their annual income more than Rs one lakh.The target will be achieved within 2025-26, Singha Roy stated.He said that during 2024-25, the state government would provide a total amount of Rs 698.68 crore to the Tripura Tribal Areas Autonomous District Council (TTAADC).Agartala, March 1",None,None,None,None,IANS,bangladesh,2024-03-01,2024-03-01
https://www.morungexpress.com/rising-use-of-intravenous-drug-injection-among-students-youths-matter-of-concern-tripura-cm,"Rising use of intravenous drug injection among students, youths matter of concern: Tripura CM","Tripura Chief Minister Manik Saha on Tuesday expressed concern over the rising use of intravenous drug injections among students and youths with around 1,100 of them identified as IV drug users and HIV-positive in the state.Inaugurating the maternal and child health wing at Gomati District Hospital in southern Tripura, he said that after Assam, the maximum drugs were seized and destroyed in Tripura.Reiterating the state government’s mission to make Tripura as “drug free state”, Saha, who also holds the Home, Health and Family Welfare portfolios, said that the state government has decided to set up eight drug de-addiction centres in eight districts to facilitate addicted youths becoming free from the menace.""Drugs smuggled from Myanmar are coming to Tripura through Mizoram and Assam and going to Bangladesh through clandestine routes. Our security forces are always alert to curb the illegal drugs peddling,” he said.Saha claimed that during the 35-year old regime of the Left parties, illicit cultivation of ganja (marijuana) flourished tremendously and earlier, they were not aware about the ganja cultivation in such a vast areas.Various government agencies are working relentlessly to make Tripura a drug-free state, the Chief Minister said and urged the parents and guardians to remain alert about their children so that they do not become influenced or become victims of the drugs.Meanwhile, Assam Rifles' Deputy Inspector General, Brigadier Manish Rana on Tuesday highlighted the crucial role of the paramilitary force in maintaining security and its joint efforts with state authorities for societal benefits.During a media interaction, Brigadier Rana emphasised their commitment in empowering the youths in Tripura through initiatives like pre-recruitment Training, career counseling sessions, education provisions in remote villages and the Nasha Mukt Bharat Abhiyan (Drug free India mission), which includes rigorous operations against the drug menace in the state.Agartala, February 28",None,None,None,None,IANS,bangladesh,2024-02-28,2024-02-28
https://www.morungexpress.com/centre-likely-to-notify-caa-rules-before-announcement-of-ls-poll-schedule-sources,Centre likely to notify CAA rules before announcement of LS poll schedule: Sources,"The Central government is likely to notify the rules for the Citizenship Amendment Act (CAA) before the Model Code of Conduct (MCC) comes into play ahead of the upcoming Lok Sabha elections.Earlier this month, Union Home Minister Amit Shah had said that the CAA would be implemented before the Lok Sabha elections this year. Now, the Ministry of Home Affairs (MHA) could notify the CAA rules any time before MCC comes into effect.The CAA amends the Citizenship Act of 1955 to provide Indian citizenship to migrants from Afghanistan, Bangladesh and Pakistan who belong to Hindu, Sikh, Jain, Parsi, Buddhist, and Christian communities and had entered India on or before December 31, 2014, due to religious persecution in their home countries. The CAA will help refugees from these neighbouring countries, who don't have documents.Sources further said that an online portal is ready for registrations.In what is seen as a precursor to CAA, powers have already been given to the district authorities to issue long-term visas, sources said.Over 30 district magistrates and home secretaries of nine states were given powers to grant Indian citizenship to Hindus, Sikhs, Buddhists, Jains, Parsis and Christians coming from Afghanistan, Bangladesh and Pakistan under the Citizenship Act, 1955.The CAA was enacted by the Parliament on December 11, 2019. The issue had drawn massive protests across India.The Model Code of Conduct, a set of directives issued by the Election Commission of India (ECI) regulating the conduct of political parties and leaders, is activated upon the announcement of the election schedule.Earlier, Home Minister Shah had reiterated the act's objective, emphasising its humanitarian intent to grant citizenship solely to those subjected to persecution in the neighbouring nations.“There is misinformation and incitement targeting our Muslim brothers regarding the CAA. The CAA is solely meant to grant citizenship to people, who sought refuge in India due to persecution in Pakistan, Afghanistan and Bangladesh, and it does not aim to deprive anyone of their Indian citizenship,” Amit Shah had said.New Delhi, February 27",None,None,None,None,IANS,bangladesh,2024-02-27,2024-02-27
https://www.morungexpress.com/ngo-in-mizoram-holds-demonstration-against-fencing-along-myanmar-border-scraping-of-fmr,"NGO in Mizoram holds demonstration against fencing along Myanmar border, scraping of FMR","The NGO Coordination Committee (NGOCC), a grouping of five major civil society organisations and student bodies in Mizoram, on Wednesday staged demonstration here to protest the Centre's proposal to fence the India-Myanmar border and scrap the Free Movement Regime (FMR).NGOCC Chairman and Young Mizo Association President Lalhmachhuana said that the proposed fencing along the India-Myanmar border would impact the trade and economy between the two countries.""The FMR for many years facilitated cordial relations between the people living on both sides of the border as the people of either side of the boundaries are the same ethnic groups with similar tradition and culture. It also boosted the Modi (Prime Minister Narendra Modi) government’s ‘Act East’ policy,” he told the media.Addressing the gathering Lalhmachhuana said that Mizo people are strongly opposed to both the fencing and the scrapping of FMR, which enables people on either side of the border to travel 16 km into each other's territory without a passport and visa.The NGOCC Chairman observed that the proposed fencing alone would not curb the problems of smuggling of various drugs and arms besides infiltration.""Despite fencing, smuggling and infiltration through the India-Bangladesh border did not stop,"" he remarked and urged the Union government to find an alternative wayout to solve the border problem.Referring to Manipur Chief Minister N. Biren Singh’s support to both fencing and scrapping the FMR, Lalhmachhuana said they have no problem if the Manipur government agrees to the fencing along its border with Myanmar.Lone Rajya Sabha member from Mizoram and senior Mizo National Front (MNF) leader K Vanlalvena and several MLAs from the ruling Zoram People's Movement (ZPM) and opposition parties, who stepped out of the ongoing budget session of the Assembly during the recess, took part in the protest demonstration.Vanlalvena, in a letter to Union Home Minister Amit Shah, had said that the erstwhile British government after arbitrarily demarcating the international border with Mizoram forcibly settled Mizo people in three countries -- India, East Pakistan (now Bangladesh), and Burma (now Myanmar).Some leaders of Myanmar, who took shelter in Mizoram, also attended the protest event.Earlier, the NGOCC had sent a memorandum to Union Home Minister Amit Shah urging him to reconsider the decision to scrap the FMR and fence the India-Myanmar border.Chief Minister Lalduhoma, who earlier met Prime Minister, Union Home Minister and External Affairs Minister S. Jaishankar and opposed both the fencing and the scrapping of FMR.Lalduhoma, who is also the President of the ruling ZPM, had earlier on a number of occasions stated that his government strongly opposed the proposed fencing of the border and was keen to retain the FMR. After meeting the Union Home Minister for the second time earlier this month, he had expressed optimism that the Centre may not fence the Mizoram portion of the India-Myanmar border.Four northeastern states - Mizoram, Manipur, Nagaland, and Arunachal Pradesh-- share a 1,643-km-long border with Myanmar. The Mizos of Mizoram share ethnic, traditional and cultural ties with the Zo-Chin community of Myanmar.Aizawl, February 21",None,None,None,None,IANS,bangladesh,2024-02-22,2024-02-22
https://www.morungexpress.com/nu-english-dept-to-host-international-conference,NU English dept to host international conference,"The English Department of Nagaland University will be hosting an international conference themed “Language Teaching and Skills for Lifelong Learning” from February 19 to 21 at English Department building located in Meriema, Kohima.“This premier academic event will bring together leading researchers, scholars, and experts from around the globe to engage in meaningful discussions,” Prof Nigamananda Das (Convenor), Head, Department of English, NU stated in a press release.The three-day hybrid event will incorporate offline and online sessions featuring international keynote speakers.Prof Shamsul Hoque from Daffodil International University (Bangladesh) will be visiting the campus for the offline plenary session. The online resource persons comprise Prof Paed Soeren August Ehlers, European Coordinator of ASEM-LLL Hub (Denmark), Dr Shalini Singh, South Asia Coordinator, ASEM-LLL Hub, and visiting researcher from Helmut Schmidt University (Germany), Dr Alexey Vasilyevich Konobeiev from Moscow State Pedagogical University (Russia), and Dr Olga Glukhova, Vice Dean, Scientific Research Faculty of Linguistics and Journalism from Rostov State University of Economics (Russia).The NU English Department has invited members of the academic community and the public to join for this “intellectually stimulating event.” “This conference strives to be a milestone in the institution’s academic calendar. The department seeks to foster collaboration and contribute to the advancement of knowledge in language education, digital literacy, pedagogical innovations, as well as literature on digital platforms and publications,” it added.Kohima, February 17",None,None,None,None,MExN,bangladesh,2024-02-17,2024-02-17
