country,url,title,timestamp,date,date_str,content,content_summary
India,https://www.ndtv.com/world-news/myanmar-border-guards-flee-to-bangladesh-amid-clashes-with-rebels-4999660, Myanmar Border Guards Flee To Bangladesh Amid Clashes With Rebels ,"February 05, 2024, 08:07 PM",2024-02-05,5-2-2024,"Panic has gripped the refugee camps in Myanmar with many waiting to cross over to Bangladesh. (File) At least 95 Myanmar border guards, some of them wounded, have fled to Bangladesh over the last few days as fighting intensifies between rebel forces in Myanmar and the junta regime, officials in Bangladesh said on Monday. Since mounting a coup against an elected government in 2021, the junta is facing its biggest challenge, trying to contain a bloody rebellion which has seen allied anti-junta groups backed by a pro-democracy parallel government seize control of several military posts and towns. The sound of gunfire could be heard from across the Myanmar border in Bangladesh's southeastern tourist district of Cox's Bazar, where nearly one million members of the Muslim minority from Myanmar live in bamboo-and-plastic hut camps after fleeing a military crackdown there in 2017.  Members of the Myanmar Border Guard Police (BGP) entered Bangladesh with their weapons and 15 of them had bullet wounds when they crossed the border, Shariful Islam, a spokesman for Border Guard Bangladesh, said on Monday, adding that the wounded received treatment at different hospitals. The BGP troops could be accommodated in the nearby district of Bandarban before they are sent back to Myanmar, said Mohammed Mizanur Rahman, Bangladesh's refugee relief and repatriation commissioner based in Cox's Bazar. ""I have been asked if the BGP can be sheltered safely in transit camps that were built in Bandarban for repatriating Rohingya refugees. The camps are empty,"" Rahman said. Bullets and mortar shells from across the Myanmar border landed on Bangladesh territory on Monday, killing at least two people, a government official in Cox's Bazar said. ""A Bangladeshi woman and a Rohingya were killed and a child injured near the border by a mortar shell fired from Myanmar,"" said Mohammad Shamsud Douza, the deputy Bangladesh government official in charge of refugees. Many residents on the Bangladeshi side of the border have fled to the houses of relatives further away from violence out of fear, he said. Panic has gripped the refugee camps in Myanmar with many waiting to cross over to Bangladesh as supply chains have been cut off due to the ongoing conflict, according to Rohingya refugees in Bangladesh. ""Now and then we hear the sound of gunshots from Myanmar. Some of the Rohingya Muslims want to flee here as they are living in constant fear without basic needs,"" Rohingya refugee Oli Hossain said. PromotedListen to the latest songs, only on JioSaavn.com ""Even we are living in fear because of the sound of gunshots."" (This story has not been edited by NDTV staff and is auto-generated from a syndicated feed.) Track Latest News Live on NDTV.com and get news updates from India  and around the world.  Watch Live News: Follow Us:"," Members of the Myanmar Border Guard Police (BGP) entered Bangladesh with their weapons and 15 of them had bullet wounds when they crossed the border, Shariful Islam, a spokesman for Border Guard Bangladesh, said. "
India,https://www.ndtv.com/india-news/several-old-monuments-sites-under-encroachment-centre-tells-lok-sabha-4998437," Several Old Monuments, Sites ""Under Encroachment"": Centre Tells Lok Sabha ","February 05, 2024, 04:57 PM",2024-02-05,5-2-2024,"G Kishan Reddy also shared the state-wise numbers of sites under Archaeological Survey of India. (File) A number of old monuments and archaeological sites in the country are ""under encroachment"", the government informed the Lok Sabha on Monday. Union Minister of Culture G Kishan Reddy said this in a written response to a query in the Lok Sabha. He was asked about the centrally protected monuments and whether any study has been done to assess their present conditions.  There are 3,697 ancient monuments and archaeological sites and remains which have been declared of national importance, G Kishan Reddy said. ""Inspection of monuments and sites is taken up by the Archeological Survey of India's officials/officers from time to time to assess their condition,"" he said. In his response, he also shared the state-wise numbers of sites which are under the Archaeological Survey of India (ASI). To a query on whether several ancient monuments, archaeological sites and remains are under encroachment, he said, ""A number of monuments and sites are under encroachment"". ""In case of encroachment, complaints are filed with police, a show-cause notice is issued to a defaulter for removal of the said encroachment, and if it is not removed, a demolition order is issued. PromotedListen to the latest songs, only on JioSaavn.com ""In case of damage or destruction of a protected monument, police complaint is filed under provisions of the Ancient Monument and Archaeological Sites and Remains Act, 1958,"" the minister said. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.) Track Latest News Live on NDTV.com and get news updates from India  and around the world.  Watch Live News: Follow Us:"," Parts of Myanmar near the 270-kilometre (167-mile) border with Bangladesh have seen frequent clashes since November, when rebel Arakan Army fighters ended a ceasefire that had largely held since a 2021 coup. "
India,https://sports.ndtv.com/football/india-lose-0-1-to-bangladesh-in-saff-u19-womens-championships-4993917,India Lose 0-1 To Bangladesh In SAFF U19 Women's Championships                            ,"February 04, 2024, 11:50 PM",2024-02-04,4-2-2024,"India conceded a stoppage time goal to lose 0-1 to hosts and defending champions Bangladesh in their second round-robin match of the SAFF U-19 Women's Football Championship in Dhaka on Sunday. Sagorika scored the all-important goal for Bangladesh in the fourth minute of the added time at the BSSSMK Stadium. While the win ensured Bangladesh's entry into the final of the four-team tournament as they now have six points from two matches, the defeat left India in a vulnerable position. India's chances of entering the final now depend on their last round-robin match against Nepal. India and Nepal have three points each but the Young Tigresses have the advantage of a superior goal difference thanks to their 10-0 win over Bhutan in the earlier match.  Bangladesh striker Sagorika followed up a long ball from skipper Afeida Khandaker on the counter to brush aside two defenders, before finding the net to give her side all the three points. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",India conceded a stoppage time goal to lose 0-1 to hosts and defending champions Bangladesh in their second round-robin match of the SAFF U-19 Women's Football Championship in Dhaka on Sunday.
India,https://sports.ndtv.com/football/cant-expect-national-team-to-do-well-in-asian-cup-while-isl-clubs-are-losing-to-bangladesh-side-stimac-4992626,"""ISL Clubs Are Losing To..."": India Football Coach Igor Stimac On Asian Cup Debacle                            ","February 04, 2024, 06:20 PM",2024-02-04,4-2-2024,"India football head coach Igor Stimac feels the national team cannot be expected to shine in tournaments like the Asian Cup until the best clubs of the country keep losing to sides from Bangladesh and Maldives. In the report he submitted to the All India Football Federation (AIFF), Stimac said the national team's performance in the Asian Cup in Doha, where it suffered three losses, was ""disappointing but not unexpected"". ""I'm truly realistic person ...and for now we should be happy and satisfied when continuously participating at the AFC Asian Cup. The reason for saying that is very simple and logical,"" Stimac wrote in his report. ""...how to expect our NT (national team) to do well while our best ISL teams are losing heavily in AFC Champion League and suffering defeats in AFC Cup club competitions against teams from Bangladesh and Maldives?"" Stimac was spot on in his comments as Indian clubs rarely make it to the knock-out rounds of the continental level tournaments.  He also said that India was the only country among the 24 participants in the Asian Cup without a single player playing in a major football league in the world. ""How we can expect more from our boys if we had never in our history qualified for the Asian Cup in U18/U20/U23? If we are so much behind others in under age groups than qualifying with senior NT is already huge achievement,"" the experienced Croatian coach said. Stimac was also critical of the AIFF administration for not providing the available tools to strengthen the national team as other countries do. Advertisement ""Apart from Australia, South Korea and Japan (most of their players are playing in best European leagues), all other participating teams had average time of 27 days for preparation for the AFC Asian Cup. We had only 13 days,"" Stimac rued. ""We were the only team at the tournament without GPS equipment which made our job really difficult. Apart from that it affects the players when they see that basic training equipment is missing and we can't measure training effectiveness or neither prevent certain injuries."" He reiterated that the team was also weakened by the absence of Ashique Kuruniyan, Jeakson Singh and Anwar Ali. Another key player, Sahal Abdul Samad, was available only for the last game against Syria.  ""(They) were giving our team stability in all aspects of the game (physical, technical, tactical and mental). Not having them fully fit for such important tournament was irreplaceable loss. ""Most of Bengaluru and Mohun Bagan players joined us after having terrible spell with their respective clubs prior to the AFC Asian Cup. Thinking of replacing so many of them for the Asian Cup with other ISL players was never an option."" After a gritty 0-2 defeat against Australia in the opening match, Stimac was hoping for a good show against Uzbekistan, but he was left disappointed with a 0-3 loss. Advertisement ""Our best game was against Australia, which wasn't (a) surprise because we prepared twice as long for that game as for the other two. ""The match against Uzbekistan was a big disappointment personally because I was expecting that good performance against Australia would boost our confidence and have more concrete effect on boys.  ""Instead of raising up in our game we became vulnerable and let in cheap goals in a similar way to Qatar game. We knew that Uzbekistan is technically excellent team that mercilessly punishes mistakes. Listen to the latest songs, only on JioSaavn.com ""We did face the problem few days prior to this game with Sandesh Jinghan suffering from fever and not feeling (well) which obviously had impact on his game."" He said after the team conceded three first-half goals, he had to ""choose the right words during the break in the locker room to avoid a real result disaster"". Stimac regretted that there has not been any meeting between him and the AIFF top brass since India won the SAFF Championships in July last year in Bengaluru.",Igor Stimac feels the national team cannot be expected to shine in tournaments like the Asian Cup until the best clubs of the country keep losing to sides from Bangladesh and Maldives.
India,https://sports.ndtv.com/icc-under-19-cricket-world-cup-2024/pakistan-vs-bangladesh-u-19-world-cup-live-score-updates-4984576,"Pakistan vs Bangladesh Highlights, Under-19 World Cup: Pakistan Enter Semi-Finals With Win Over Bangladesh In Low-Scoring Thriller                            ","February 03, 2024, 10:21 PM",2024-02-03,3-2-2024,"PAK vs BAN Highlights, Under-19 World Cup 2024: Pakistan edged past Bangladesh by five runs in a low-scoring thriller at Willowmoore Park, Benoni to qualify for the semi-final. In the Super Six match, Bangladesh needed to chase down the target of 156 in 38.1 overs to make it to the knockouts but Pakistan bundled them out for 150. As a result, Pakistan became the second team from Group A of Super Six round after India to advance to the semi-finals. Earlier, Bangladesh bowlers gave a good account of themselves and bowled out Pakistan for 155.","PAK vs BAN Highlights, Under-19 World Cup 2024: Pakistan edged past Bangladesh by five runs in a low-scoring thriller to qualify for the semi-final."
India,https://sports.ndtv.com/icc-under-19-cricket-world-cup-2024/pakistan-vs-bangladesh-live-streaming-u-19-world-cup-live-telecast-where-to-watch-match-live-4984467,Pakistan vs Bangladesh Live Streaming U-19 World Cup Live Telecast: Where To Watch Match Live?                            ,"February 03, 2024, 01:00 PM",2024-02-03,3-2-2024,"Pakistan vs Bangladesh Live Streaming U-19 World Cup: Pakistan will be squaring off against Bangladesh in their Super Six match of the ongoing Under-19 World Cup on Saturday in Benoni. Pakistan will be coming to this clash after registering a three-wicket victory over Ireland in their previous match. Bangladesh, on the other hand, defeated Nepal by five wickets in their previous encounter. It will be interesting to see that which team will prevail over the other in this match.  When will the Pakistan vs Bangladesh U-19 World Cup match be played?  The Pakistan vs Bangladesh U-19 World Cup match will be played on Saturday, February 3. Where will the Pakistan vs Bangladesh U-19 World Cup match be played? The Pakistan vs Bangladesh U-19 World Cup match will be played at the Willowmoore Park in Benoni  Advertisement What time will the Pakistan vs Bangladesh U-19 World Cup match start? The Pakistan vs Bangladesh U-19 World Cup match will start at 1:30 PM IST.  Where to follow the live streaming of the Pakistan vs Bangladesh U-19 World Cup match? The Pakistan vs Bangladesh U-19 World Cup match will be streamed for free on Disney+ Hotstar. Advertisement Where to follow the live telecast of the Pakistan vs Bangladesh U-19 World Cup match? Listen to the latest songs, only on JioSaavn.com The Pakistan vs Bangladesh U-19 World Cup match will be telecasted on the Star Sports Network.  (All the details are as per the information provided by the broadcaster)",Pakistan vs Bangladesh Live Streaming U-19 World Cup: Pakistan will be squaring off against Bangladesh in their Super Six match of the ongoing Under-19 World Cup
India,https://sports.ndtv.com/cricket/shoaib-maliks-next-move-revealed-after-departure-from-t20-league-report-4967771,"After Suddenly Leaving T20 League, Shoaib Malik's Next Move Is...: Report                            ","January 31, 2024, 08:48 PM",2024-01-31,31-1-2024,"Former Pakistan cricket team skipper Shoaib Malik is all set to make his return to the Bangladesh Premier League (BPL) after abruptly leaving amid rumours of 'match fixing'. According to a report by ESPN Cricinfo, Malik will rejoin his franchise Fortune Barishal on February 2 and will be available for the team's final game of the Sylhet leg against Khulna Tigers on February 3. Earlier, media reports claimed that Malik was under the scanner for 'match fixing' after bowling three no-balls in a single over during the match against Khulna Tigers. However, he officially refuted those rumours with a post on social media. ""I would like to address and dismiss the recent rumors circulating about my playing position with Fortune Barishal. I had a thorough discussion with our captain, Tamim Iqbal, and we mutually planned the way forward. I had to leave Bangladesh for a pre-committed media engagement in Dubai,"" he posted.  ""I extend my best wishes to Fortune Barishal for their upcoming matches, and if needed, I am available to support them if needs be.""  ""I have always found joy in playing the game and will continue to do so."" ""I want to emphasize the importance of exercising caution when it comes to rumors, especially those circulating recently. I want to make it clear that I strongly refute these baseless rumors. It's crucial for everyone to verify information before believing and spreading it."" Advertisement ""Falsehoods can harm reputations and create unnecessary confusion. Let's prioritize accuracy and rely on credible sources to ensure a clear understanding of the facts. Thank you for your understanding and diligence."" Listen to the latest songs, only on JioSaavn.com ""Thank you for your love & support as always.""  Shoaib Malik has also been in the news recently for his marriage with actor Sana Javed and the subsequent divorce announcement with Indian tennis ace Sania Mirza.",Shoaib Malik is all set to make his return to the Bangladesh Premier League (BPL) after abruptly leaving amid rumours of 'match fixing'.
India,https://sports.ndtv.com/cricket/nepal-vs-bangladesh-live-score-updates-under-19-world-cup-super-six-live-4965478,"Nepal vs Bangladesh Highlights, Under-19 World Cup Super Six: BAN Beat NEP By 5 Wickets                            ","January 31, 2024, 08:18 PM",2024-01-31,31-1-2024,"Nepal vs Bangladesh Highlights, Under-19 World Cup 2024: Bangladesh defeated Nepal by 5 wickets on Wednesday. Earlier, Nepal were bundled out for 169 runs despite Bishal Bikram KC's 48-run knock against Bangladesh after opting to bat first in the Super Six match of Under-19 World Cup 2024. Dev Khanal also made a crucial 35 for Nepal. In the contest that took place at Mangaung Oval in Bloemfontein, Rohanat Doullah Borson was the pick of the bowlers for Bangladesh with figures of 4 for 19 in 8.5 overs. Sheikh Paevez Jibon returned 3 for 34 in 10 overs. In chase, Bangladesh reached home in 25.2 overs, thanks to Ariful Islam's 59 not out and Jishan Alam's 55.","Nepal vs Bangladesh Highlights, Under-19 World Cup 2024: Bangladesh defeated Nepal by 5 wickets on Wednesday."
India,https://www.ndtv.com/world-news/china-invites-bangladesh-pm-hasina-for-official-visit-to-beijing-4954677, China Invites Bangladesh PM Sheikh Hasina For Official Visit To Beijing ,"January 29, 2024, 07:49 PM",2024-01-29,29-1-2024,"China has invited Bangladesh Prime Minister Sheikh Hasina for an official visit to the country as Beijing is keen to work with the new government in Dhaka to cement bilateral cooperation in all fields. ""We (Dhaka) will find a suitable time for the visit,"" Foreign Minister Hassan Mahmud told reporters after he met with Chinese Ambassador to Bangladesh Yao Wen on Sunday. Wen met Mahmud after the Hasina-led Awami League was re-elected to power for the straight fourth term in the elections boycotted by the major opposition Bangladesh Nationalist Party (BNP) on January 7.  Mahmud said discussions were underway to arrange it at a mutually convenient time for the premier's Beijing tour. Prime Minister Hasina officially visited China from July 1-6, 2019. She also participated in the 13th Summer Davos Forum in Dalian. During the visit, Hasina called on Chinese President Xi Jinping. ""China reiterated its position to further strengthen the bilateral relations during the tenure of the new government in Bangladesh,"" the foreign ministry, meanwhile said in a statement after the envoy met with the minister. Soon after the January 7 polls, Chinese President Xi congratulated Hasina and expressed confidence in boosting the bilateral ties. Bangladesh foreign ministry officials said China wanted Hasina to visit China in September last year but the election and other engagements prevented her from visiting at that time. China's invitation came shortly after the ruling party's general secretary and Road Transport Minister Obaidul Quader said India stood beside Bangladesh when BNP tried to foil the polls. ""There is no reason for our relations with India to be strained,"" Quader told reporters after Indian High Commissioner in Dhaka Pranay Kumar Verma called on him. Quader said he believed “the wall of confusion and mistrust was finally smashed by Hasina and her Indian counterpart Narendra Modi"". A senior foreign ministry official preferring anonymity said Dhaka would continue to strike a balance in the relationship both with India and China as “we need them both for our stability and development”. According to analysts, Hasina deserved credit for skillfully negotiating the rival interests of India and China as Bangladesh is virtually sandwiched between the two feuding Asian giants. She also received the support of the big neighbours and Russia ahead of the elections. PromotedListen to the latest songs, only on JioSaavn.com India called the Bangladesh election an “internal matter” and Beijing spoke in the same tone while the Western powers, including the United States have called for credible polls. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.) Track Latest News Live on NDTV.com and get news updates from India  and around the world.  Watch Live News: Follow Us:"," Soon after the January 7 polls, Chinese President Xi congratulated Hasina and expressed confidence in boosting the bilateral ties. "
India,https://sports.ndtv.com/cricket/not-talking-to-you-babar-azam-involved-in-explosive-on-field-spat-during-bpl-4947142,Babar Azam Involved In Explosive On-Field Spat During Bangladesh Premier League Match - Video Goes Viral                            ,"January 28, 2024, 05:15 PM",2024-01-28,28-1-2024,"Pakistan cricket team batter Babar Azam was involved in an explosive on-field spat with Irfan Sukkur during a Bangladesh Premier League (BPL) 2024 match on Saturday. Babar, who is currently playing for Rangpur Riders, got into a verbal altercation with Durdanto Dhaka wicketkeeper Irfan Sukkur forcing the umpire to step in. Babar looked visibly upset with Sukkur after their war of words and Dhaka batter Mohammad Naim Sheikh intervened to stop the conversation. In the video going viral on social media, Babar was heard repeatedly shouting ""I am not talking to you"" towards Irfan. Coming to the match, Babar was the top performer as he guided Riders to a 79-run win over Dhaka thanks to a half-century off 41 deliveries. The Pakistan batter ended up scoring 62 off 46 balls. Wicket Keeper: Babar ye T20 hai, test match nahiBabar Azam: I'm not talking to you, I'm not talking to youpic.twitter.com/BrIgtTViCr Batting first, Riders posted a score of 183 for the loss of eight wickets and in reply, Dhaka were all out for 104 in 16.3 overs. Babar won the Player of the Match award for his performance.  Meanwhile, the newly-appointed acting chairman of the Pakistan Cricket Board (PCB) Shah Khawar on Friday said frequent changes in the board are not responsible for the national team's poor on-field performances in the last one year. Addressing the media on Friday, Khawar asserted that there were several other reasons for the team's below-par showing. ""I don't think changes in the board in the last one year have affected the team. It might be a minor reason, but there are other other factors and once the new board of governors is formed and the new chairman takes charge, they will look into this,"" he said. Advertisement Khawar also insisted that there was no interference from the government in the cricket board's affairs. ""It is a wrong impression that the ministry of inter provincial coordination or government interferes in cricket affairs or is taking decisions,"" he said. Listen to the latest songs, only on JioSaavn.com ""The patron in chief of the board, as per powers vested in him and laid out in the PCB constitution, has taken decisions and is authorised to do this,"" he added. (With PTI inputs) Advertisement        Comments",Babar Azam was involved in an explosive on-field spat with Irfan Sukkur during a Bangladesh Premier League (BPL) 2024 match.
