url,title,content,content_summary,title_translation,content_translation,summary translation,author,country,source_localtime,bangladesh_localtime
https://pragativadi.com/youth-delegation-from-bangladesh-calls-on-president-murmu/,Youth Delegation From Bangladesh Calls On President Murmu,"New Delhi: A youth delegation from Bangladesh called on the President of India, Smt Droupadi Murmu at Rashtrapati Bhavan today.Addressing the delegation members, the President said that she was happy to interact with a group of young and talented minds from Bangladesh. She noted that delegates have been selected from all over Bangladesh, and it is inclusive, with over 50 per cent women, and participants from all walks of life. She said that their presence here is not just a visit; it is a bridge being built between our nations, and proof of the enduring spirit of cooperation and friendship that defines the India-Bangladesh relationship.The President said that India and Bangladesh share a unique bond, founded on their history, culture, and sacrifices. India is proud to have been a friend and partner in the Liberation War of Bangladesh and continues to share its development journey with Bangladesh. She stated that we must preserve and nurture this spirit, which inspires the unique bond between our two countries.The President said that the relationship between India and Bangladesh is a relationship of the heart and soul. We have a deep cultural link, and a common love for art, music, cricket, and food. Our national anthems, both penned by Tagore, are a source of pride. We share a love for ‘Baul’ music and the works of Kazi Nazrul Islam. Our unity and diversity are celebrated in our shared heritage.The President said that India attaches the highest priority to its friendship with Bangladesh, and we are committed to realizing its full potential.The President was happy to note that India and Bangladesh are home to a large and energetic youth population, with unlimited potential to shape the world. She urged all to harness this potential.  As the leaders of tomorrow, it is the responsibility of youth to steer us towards a green, sustainable and peaceful world.The President urged members of the youth delegation to use the opportunity to experience various aspects of India and its diversity, and the developments in the fields of science, technology, and arts. She said that as they work towards building a Sonar Bangla, they should also strive to strengthen the bonds of peace, prosperity, and friendship between India and Bangladesh.The Bangladesh Youth Delegation programme was started in 2012 as a joint initiative by the Ministry of External Affairs and the Ministry of Youth Affairs & Sports. The main objective of this youth programme is to foster goodwill and understanding of each other’s countries and promote the exchange of ideas and understanding of values and culture among the youth.",None,None,None,None,Yajati Keshari Rout,bangladesh,2024-02-28 04:23:00,2024-02-28 04:53:00
https://pragativadi.com/s-jaishankar-calls-on-sheikh-hasina-appreciates-her-guidance-in-advancing-india-bangladesh-maitri/,"S. Jaishankar calls on Sheikh Hasina, Appreciates Her Guidance In Advancing ‘India Bangladesh Maitri’","The External Affairs Minister, Dr S. Jaishankar, recently met with several prominent leaders on the sidelines of the Munich Security Conference held in Germany. During his meeting with Prime Minister Sheikh Hasina of Bangladesh, they discussed issues related to bilateral cooperation and global and regional concerns.In a social media post, Dr Jaishankar expressed his appreciation for PM Hasina’s guidance in advancing India Bangladesh Maitri. He also met with the Foreign Affairs Minister of Belgium, Hadja Lahbib, to discuss advancing bilateral ties.Moreover, he held discussions on the Ukraine conflict with the Foreign Minister of Poland, Radosław Sikorski, and shared his views on recent global developments with the Foreign Minister of Portugal, João Cravinho.Dr Jaishankar also had a meeting with the Director-General of the World Health Organization, Tedros Adhanom Ghebreyesus, where they discussed traditional medicine and pandemic preparedness.The Munich Security Conference, which began yesterday, offers a unique platform for high-level debates on the world’s most pressing security challenges and will conclude tomorrow.",None,None,None,None,Yajati Keshari Rout,bangladesh,2024-02-18 05:00:00,2024-02-18 05:30:00
https://pragativadi.com/bangladesh-pm-sheikh-hasina-wins-5th-term/,Bangladesh PM Sheikh Hasina Wins 5th Term,"Dhaka: Bangladesh’s Prime Minister Sheikh Hasina has won re-election for a fifth term Sunday, officials said, following a boycott led by an opposition party she branded a “terrorist organisation”.Hasina’s ruling Awami League “has won more than 50 percent seats,” an Election Commission spokesman told AFP, with counting ongoing.She has presided over breakneck economic growth in a country once beset by grinding poverty, but her government has been accused of rampant human rights abuses and a ruthless opposition crackdown.Her party faced almost no effective rivals in the seats it contested, but it avoided fielding candidates in a few constituencies, an apparent effort to avoid the legislature being branded a one-party institution.The opposition Bangladesh Nationalist Party (BNP), whose ranks have been decimated by mass arrests, called a general strike and, along with dozens of others, refused to participate in a “sham election”.",None,None,None,None,Ananya Pattnaik,bangladesh,2024-01-08 16:07:00,2024-01-08 16:37:00
https://pragativadi.com/bangladesh-massive-fire-breaks-out-in-refugee-camp-over-800-shelter-homes-gutted/,"Bangladesh: Massive Fire Breaks Out In Refugee Camp, Over 800 Shelter Homes Gutted","Dhaka: A massive fire swept through a Rohingya refugee camp in southeastern Bangladesh on Sunday destroying about 800 shelters and rendering thousands homeless.Fire service officials and Rohingya volunteers brought the blaze under control around three hours after it hit Camp 5 in Cox’s Bazar, a border district with Myanmar, shortly before 1:00 am.Apart from homes, several other facilities like learning centres were also gutted, Bangladesh’s Refugee Relief and Repatriation Commissioner in Cox’s Bazar, Mohammed Mizanur Rahman said, adding that there were no casualties.An Associated Press reporter at the scene said that thousands of refugees, including women and children, rushed to a nearby open field with their belongings as the fire started spreading aggressively during the early hours on Sunday.The exact reason behind the fire mishap is yet to be ascertained. However, it is suspected that, it was caused by a mud oven.",None,None,None,None,Itishree Sethy,bangladesh,2024-01-08 15:57:00,2024-01-08 16:27:00
https://pragativadi.com/pm-hasina-likely-to-win-4th-straight-term-as-bangladesh-votes/,PM Hasina Likely To Win 4th Straight Term As Bangladesh Votes,"Dhaka: Voting for the 12th general election in Bangladesh began today amid a boycott and strike by the main opposition party. There have also been incidents of arson, including at least five schools and a train being set ablaze.Sheikh Hasina of the Awami League party has been the prime minister of Bangladesh since 2008 and is poised to win a fourth straight term because the election has been boycotted by the main opposition party – the Bangladesh Nationalist Party (BNP).“The BNP is a terrorist organisation,” Sheikh Hasina said. “I am trying my best to ensure that democracy should continue in this country. The election will be free and fair.”The BNP is led by former prime minister Khaleda Zia, who is under house arrest after being convicted on corruption charges. The party has called a 48-hour nationwide general strike, which began at 6 am on Saturday. Party spokesperson Ruhul Kabir Rizvi said the strike was aimed at pressing for their demands for “resignation of the illegal government, establishment of a non-party neutral government and release of all party leaders and activists from prison”.There have been incidents of violence and arson ahead of the election. At least five schools, including four designated as polling centres for the general election, have been set ablaze. Four coaches of the Jessore-Dhaka Benapole Express were also set on fire on Friday, killing four people. Arson related to the polls is suspected in both incidents.",None,None,None,None,Ananya Pattnaik,bangladesh,2024-01-07 15:13:00,2024-01-07 15:43:00
https://pragativadi.com/five-burnt-alive-several-injured-as-express-train-catches-fire-in-bangladesh/,"Five Burnt Alive, Several Injured As Express Train Catches Fire In Bangladesh","Dhaka: At least five persons were burnt alive, and several others sustained critical injuries as fire broke out in five compartments of a passenger train in Gopibagh area of Bangladesh’s capital Dhaka.The incident took place around 9:00 pm when the Benapole Express train was heading towards the Kamalapur Railway Station in Dhaka.According to the Fire service and Civil defense personnel, some miscreants set fire to five compartments. However, the exact cause of the fire is yet to be ascertained.On receiving information, seven firefighting units rushed to the spot and managed to bring the blaze under control by around 10:20 pm. The dead bodies have been sent to the hospital for post-mortem. An investigation has been launched to find out the reason behind the fire.",None,None,None,None,Itishree Sethy,bangladesh,2024-01-06 21:45:00,2024-01-06 22:15:00
https://pragativadi.com/earthquake-of-5-6-magnitude-hits-bangladesh-tremors-felt-in-kolkata/,"Earthquake Of 5.6 Magnitude Hits Bangladesh, Tremors Felt In Kolkata","Kolkata: An earthquake rattled several areas in Bangladesh on Saturday morning, registering a magnitude of 5.6 on the Richter scale.The epicentre of the quake was located 48 kilometres southwest of Comilla. The National Center for Seismology reported that the earthquake occurred at 9:05 AM local time in Bangladesh.The quake originated at a depth of 55 kilometers below the Earth’s surface. Similar tremors were also felt in Kolkata. Additionally, various districts in North Bengal, including North 24 Parganas, Howrah, and Hooghly, experienced seismic activity on Saturday morning.This seismic event adds to a recent series of earthquakes felt in Bangladesh, with earlier occurrences reported in Dhaka, Chittagong, Rajshahi, Sylhet, Rangpur, Chuadanga, and Noakhali.",None,None,None,None,Ananya Pattnaik,bangladesh,2023-12-02 19:59:00,2023-12-02 20:29:00
https://pragativadi.com/odisha-ships-cashew-nuts-to-bangladesh-for-the-first-time/,Odisha Ships Cashew Nuts To Bangladesh For The First Time,"Bhubaneswar: In a landmark achievement, the Agricultural and Processed Food Products Export Development Authority (APEDA) under the Ministry of Commerce & Industry, Govt. of India has successfully facilitated the first-ever shipment of cashew nuts from the state of Odisha to Bangladesh. The consignment, comprising 2 metric tons of premium quality cashew nuts, was exported by the West Bengal-based exporter M/s. Paaf Global Pvt Limited. This monumental step not only strengthens economic ties between the two nations but also opens up new avenues for the agricultural sector in Odisha.The cashew nuts, sourced from the renowned company “Passion Gourmet,” run by a dynamic women entrepreneur in Odisha signify a blend of quality and empowerment. This initiative holds particular significance as it aligns with the broader mission of promoting women-led businesses and developing economic growth in the region.To mark this historic occasion and to celebrate National Cashew Day on November 23, 2023, APEDA, in collaboration with the Government of Odisha, has organized an Export-Oriented Capacity Development Program in the conference hall of IDCO, Bhubaneswar. This program is designed to sensitize Farmers Producer Organizations (FPOs) and Farmer Producer Companies (FPCs), inspiring them to venture into the field of agriculture exports. By encouraging them to become exporters, the initiative aims to eliminate middlemen from the supply chain, thus maximizing farmer’s income.The shipment was virtually flagged of by Shri Abhishek Dev, IAS, Chairman-APEDA in the presence of senior officersof APEDA, Dr. Arabinda Padhee, IAS Principal Secretary – Dept. of Agriculture and Farmers’ Empowerment, Govt. of Odisha,Shri Saswat Mishra, IAS Principal Secretary-Dept. of MSME, Govt. of Odisha,other senior officers of Govt. of Odisha, ECGC, NABARD, RPQS, CUSTOMs etc. Around 40 members of FPOs/FPCs from cashew growing districts joined & witnessed the flag-off ceremony. Mr. Abishek Dev, IAS, Chairman APEDA, in his virtual address expressed his immense pleasure on National Cashew Day being observed in the entire nation with a positive wave and lauded the developments happening towards the growth of Cashew exports from India. He further congratulated the export taking place from Odisha.Dr. Arabinda Padhee, IAS, Principal Secretary, Department of Agriculture & Farmer Empowerment, Government of Odisha spoke in detail about the various potentials and production strength of the State. He also expressed his delight on the State being surplus in sapling production and increased yield with enhanced quality. He congratulated the initiative which has led to export of the cashew consignment.Mr. Saswat Mishra, IAS, Principal Secretary, MSME Department, Government of Odisha in his address spoke about the vast opportunity available and potentials for growth of exports from Odisha. He highlighted the various facilities made available to the entrepreneurs through common facilitation centers at various locations in the State. He lauded the efforts being taken by APEDA and other facilitation agencies for the achievement.Mr. Sukanata Panigrahi, Board Member, APEDA, congratulated the APEDA team for successful execution of exports from the State and also highlighted the importance and developments happening in cashew sector. Mr. Subrata Ghosh, Managing Director of M/s. Paaf Global Pvt Limited, expressed his excitement about this remarkable achievement, stating, “This successful shipment not only represents a significant achievement for the cashew industry in Odisha but also reflects the potential for growth and collaboration in the agricultural sector between India and Bangladesh.”Subsequent shipments of cashewnut from Odisha are being planned for some otherglobal destinations including Bahrain & Qatar,as committed by the exporter.The program was coordinated by World Trade Center Bhubaneswar and Ananya.  This initiative not only holds promise for the economic prosperity of the region but also aligns with the broader vision of a self-reliant India, developing entrepreneurship and sustainable agricultural export.",None,None,None,None,Pragativadi News Service,bangladesh,2023-11-24 04:40:00,2023-11-24 05:10:00
https://pragativadi.com/cyclone-midhili-crosses-bangladesh-coast-near-khepupara/,Cyclone Midhili crosses Bangladesh coast near Khepupara,"Bhubaneswar: The Cyclonic Storm “Midhili” over Northeast and adjoining Northwest Bay of Bengal close to Bangladesh’s coast moved north-northeastwards with a speed of 37 mph and crossed Bangladesh’s coast near Khepupara during 1430-1530 hrs IST, the IMD said.As per there IMD, It then continued to move north-northeastwards across the Islands of Bangladesh as a Cyclonic Storm with a maximum sustained surface wind speed of 65-75 kmph gusting to 85 kmph and lay centered at 1730 hours IST of today, the 17th of November over Coastal Bangladesh near latitude 22.8°N and longitude 90.8°E, 20 km east-northeast of Bhola (Bangladesh), 30 km west-southwest of Maijdicourt (Bangladesh), 110 km northeast of Khepupara (Bangladesh) and 120 km southwest of Chittagong (Bangladesh).It is likely to move north-northeastwards and weaken into a Deep Depression over Tripura and adjoining Bangladesh during the next 06 hours and into a Depression over south Assam & adjoining Mizoram-Tripura during the subsequent 06 hours, the IMD added.",None,None,None,None,Pragativadi News Service,bangladesh,2023-11-18 01:11:00,2023-11-18 01:41:00
https://pragativadi.com/cyclone-hamoon-to-weaken-in-next-6-hrs-cross-bangladesh-tomorrow/,Cyclone Hamoon To Weaken in Next 6 Hrs; Cross Bangladesh Tomorrow,"Bhubaneswar: Cyclone Hamoon over the Bay of Bengal is likely to weaken gradually into a Severe Cyclonic Storm during the next six hours and cross the Bangladesh coast tomorrow.According to the IMD, the Very Severe Cyclonic Storm “Hamoon” (pronounced as Hamoon) over the Northwest and adjoining Northeast Bay of Bengal moved east-northeastwards with a speed of 23 kmph during the past 6 hours and lay centered at 1130 hours IST of today, the 24th October over the same region, near latitude 20.3°N and longitude 89.9°E, about 330 km east of Paradip (Odisha), 290 km east-southeast of Digha (West Bengal), 190 km south of Khepupara (Bangladesh) and 305 km southwest of Chittagong (Bangladesh).It is likely to weaken gradually into a Severe Cyclonic Storm during the next 06 hours. It is likely to further weaken while moving northeastwards and cross the Bangladesh coast close to the south of Chittagong by the early hours of 25th October as a Cyclonic Storm with a wind speed of 80 to 90 kmph gusting to 100 kmph, the IMD added.",None,None,None,None,Pragativadi News Service,bangladesh,2023-10-24 23:10:00,2023-10-24 23:40:00
