url,title,content,content_summary,title_translation,content_translation,summary translation,author,country,source_localtime,bangladesh_localtime
https://www.siasat.com/bangladesh-embraces-indian-medicos-save-girl-child-campaign-2982568/,Bangladesh embraces Indian medico's 'Save Girl Child' campaign,"Pune: Thousands of people and medicos in Bangladesh last week pledged to join a unique 12-year-old ‘Save Girl Child’ initiative by Pune’s famed gynaecologist Dr. Ganesh Rakh.Dr. Rakh, who was invited for a 10-day long guidance tour to different parts of rural Bangladesh, led processions in several towns and villages with thousands marching and chanting slogans to ‘Save Girl Child’.In the biggest event of its kind, over 10,000 trooped behind Dr. Rakh in villages of Jessore district, carrying banners and placards pledging to ‘Save Girl Child’.The marchers comprised mostly women, and girls in the age group of 20-50. Many men also participated at the remote Hidia village in the Khulna division with people from over two dozen neighbouring villages also enthusiastically joining the procession.“Bangladesh has one of the highest rates of child marriages in the world. This has various health implications for the girls, especially those from the economically weaker sections. Thus, there is a high mortality rate among the girls born there,” Dr. Rakh told IANS on his return from Bangladesh on SaturdayHe said that this was an introductory, pilot project with community involvement and now hundreds of private hospitals and clinics have decided to take up the ‘Save Girl Child’ campaign in Bangladesh.Dr. Rakh was honoured and felicitated in several towns and villages including by the Bangladesh Private Clinic & Diagnostic Owner’s Association (BPCDOA), recognized by the country’s government, and conducted around four dozen big and small events in 10 days, including some at night.BPCDOA President Dr. Muhammad Gaji M. Rahman lauded Dr. Rakh’s efforts in creating the awareness and committed to organise similar programs all over Bangladesh in the coming months.BPCDOA Divisional Council Member Dr. M.D. Tarikul Islam underlined the need “to treat all daughters with equality and dignity like the sons” in order to safeguard their future and ensure social and economic progress.“The girl child is our tomorrow and our future. She is not a burden on the family, since without her, the family, the community, and society cannot flourish or progress,” said senior teacher Tahamina Rubi of Nawly High School in Abhaynagar in Jessore district.At another event, the Allardan Hospital & Diagnostic Centre of Chattogram district and the Fatima Hospital & Diagnostic Centre of Narail district announced that they will also launch the ‘Save Girl Child’ campaign in their districts.Other prominent medicos from various private hospitals like Dr. S.M. Sajjad Rehman, Dr. Kayes Al-Azad and Babul Hasan also declared they would provide concessions to girls in treatment charges.In the Narail programme, medicos and social workers like Bipin Kumar Malik, S.M. Ibrahim Hossain, M.M. Jahangir Alam, S.M. Sirajul Islam and Chintu Biswas were present and spoke on the status of the girl child and steps to protect them. Medicos also announced free diagnostic tests and treatment for girls.Dr. Rakh, 48, launched the ‘Save Girl Child’ (Beti Bachao Jan Andolan or BBJA) modestly at his small Medicare Hospital in Pune on January 3, 2012, in an unprecedented manner – “by waiving off all hospital bills, if a female infant was born”, and no questions asked.The BBJA initiative coincided with the birth anniversary of Savitribai Phule (1831-1897).Initially ridiculed as the ‘Mad Doctor’, Dr. Rakh went on undeterred and from January 2012 to January 2024, the Medicare Hospital has notched over 2,525 free deliveries of baby girls, earning him accolades from across the world.These free-of-cost deliveries were irrespective of the mother or the family’s financial status. Also, free follow-ups and all other medical treatments were provided to the mother and her female baby.His idea caught on soon, and individual doctors and small clinics, followed by big hospitals, joined in triggering a new trend in the country’s health sector.“In the last 12 years, the birth of a female child here to any patient – rich, middle class or poor – is an occasion for a big celebration for us… We do not charge the girl’s parents a single rupee,” said Dr. Rakh.After IANS first highlighted Dr. Rakh’s solitary mission (July 2014), it caught attention around the country and even globally, with invitations pouring into the launch of similar campaigns in the US, Europe, Arabian Gulf, South Asia and Far East countries.“So far, I have managed to conduct the campaign in Canada (2017), Zambia (2018) and Bangladesh (2024). Gradually, I would try to go and launch the humanitarian crusade in other countries as well,” he said.In the past 12 years, the campaign has seen over 500,000 doctors joining the initiative in different ways, and more than 13,000 social, religious and medical organisations, including the famous Ajmer Sharif Dargah, supporting it.Besides, Dr. Rakh has conducted more than 1,000 rallies in India and abroad, and 25 lakh-plus volunteers and commoners working in their own humble ways to take it forward.“Earlier, there was a clamour among parents for ‘Ghar Ka Chirag’, now there is a good tolerance if a ‘Ghar Ki Laxmi’ steps into the homes of people, as indicated by the National Health Survey-5, Phase II, with the male-female ratio improving. But we still have a long way to go…” sighed Dr. Rakh.","Dr. Rakh, who was invited for a 10-day long guidance tour to different parts of rural Bangladesh",None,None,None,Indo-Asian News Service,bangladesh,2024-02-25 12:34:00,2024-02-25 13:04:00
https://www.siasat.com/bangladesh-pacer-mustafizur-rahman-hospitalised-after-blow-to-head-2979469/,Bangladesh pacer Mustafizur Rahman hospitalised after blow to head,"Dhaka: Experienced left-arm pacer Mustafizur Rahman was on Sunday admitted to a local hospital after suffering a hit on his head by Litton Das during a training session ahead of a Bangladesh Premier League match.The accident occurred while they were participating in the Comilla Victorians’ nets at the Zahur Ahmed Chowdhury Stadium.Rahman was hit when he was walking back to his bowling mark, and he was immediately given first-aid on the bleeding spot before being taken to the Imperial Hospital here in an ambulance.However, the subsequent CT scans cleared 28-year-old Rahman of any internal injuries.“During practice, a ball hit directly at the left parietal area (head) of Mustafizur Rahman. There was an open wound at his parietal area and we have worked with compression bandage to stop bleeding and immediately shifted him to Imperial hospital,” a BCB media release stated.The Victorians are scheduled to play Sylhet Strikers in the BPL on Monday, and they are currently placed second on the table with 14 points from nine games behind Rangpur Riders (16 points).",Accident occurred while they were participating in the Comilla Victorians' nets at the Zahur Ahmed Chowdhury Stadium.,None,None,None,Press Trust of India,bangladesh,2024-02-18 15:27:00,2024-02-18 15:57:00
https://www.siasat.com/bangladeshi-nobel-laureate-yunus-charge-sheeted-in-fresh-corruption-case-2969390/,Bangladeshi Nobel laureate Yunus charge-sheeted in fresh corruption case,"Dhaka: Bangladesh’s anti-graft agency on Thursday submitted a charge sheet against Nobel Laureate economist Dr Muhammad Yunus on a fresh corruption charge, days after a court granted him bail in a case for violating labour laws.The Anti-Corruption Commission (ACC) accused the 83-year-old economist and 13 others of misappropriating around Tk 25.22 crore (approximately USD 2.29 million) of Grameen Telecom Workers’ Profit Participation Fund.Yunus is the chairman of Grameen Telecom –which he founded as a non-profit organisation– while the co-defendants include its directors, managing director and employees’ trade union leaders.“We have filed the charge sheet against him (Yunus) and 13 others before the Metropolitan Senior Special Judge’s Court of Dhaka,” an ACC spokesman told reporters.The court has set March 3 for an indictment hearing of the case.Law Minister Anisul Huq rejected allegations of harassing Yunus, saying the government did not fabricate any false cases against him.“Dr Yunus was warned and advised to prevent these violations, but he ignored them. So, the Labour Department filed a lawsuit,” Huq said. “No one is above the law, and if someone commits a crime, they must face the law,” the minister said.Earlier, ACC Secretary Mahmub Hossain said the proceedings against Yunus were initiated based on complaints against him by the Department of Inspection for Factories and Establishments, and the statutory graft agency filed the charge sheet after a long investigation.Yunus won the Nobel Peace Prize in 2006 for his anti-poverty campaign, earning Bangladesh the reputation of being the home of microcredit through his Grameen Bank, which he founded in 1983.He faces over 150 other cases, including major corruption charges that could see him jailed for years if found guilty. The economist denies all wrongdoing.Last week, an appeals court granted bail to Yunus, who was sentenced on January 1 to six months in prison for violating the country’s labour laws. The court also agreed to hear an appeal against his sentencing.Thursday’s development came days after more than 241 global leaders, including over 125 Nobel laureates, expressed their concerns over the “continuous judicial harassment and potential jailing” of Yunus in a third open letter to Prime Minister Sheikh Hasina.Irene Khan, the UN Special Rapporteur for the Promotion and Protection of the Right to Freedom of Opinion and Expression, called the January 1 verdict “a travesty of justice”.Khan said the social activist “who brought honour and pride to the country is being persecuted on frivolous grounds.”“We agree with Irene Khan,” said a letter signed by global leaders, including former US President Barack Obama. The letter said that the verdict was the outcome of “the rushed legal process and lack of consistency about how Bangladesh’s laws are applied.”Former UN Secretary-General Ban Ki-moon also reacted to the verdict. “Bangladeshis deserve a government that honours and supports — rather than persecutes — its most esteemed citizens,” he said.“I call on the prime minister (Sheikh Hasina) to stop this senseless campaign against Professor Muhammad Yunus now,” he said.Hasina’s Awami League party won a record fourth consecutive term in the general election held on January 7.International rights groups, including Amnesty International, also condemned the verdict while several leading Bangladeshi civil society figures said Yunus was exposed to legal “harassment”.In response to the global leaders’ previous letter, Hasina recently told a news conference that the signatories “should send experts, including lawyers, to go through all the documents of Professor Yunus and his cases to see if there is any wrongdoing or wrongful prosecution.”The global leaders agreed to her proposal in their third letter, published as a full-page advertisement in the Washington Post on Monday.“We accept your invitation . . . (But) this examination should include not only the labour law case whose verdict was delivered on January 1, but also the investigation being conducted by the Anti-Corruption Commission,” read the letter.The previous two letters were issued in March 2023 and August 2023.The prominent economist was in a protracted row with the incumbent government due to obscure reasons.The government led by Hasina launched a series of investigations against him after coming to power in 2008.Many people believe that Hasina became enraged when Yunus announced he would form a political party in 2007 when the country was run by a military-backed government and she was in prison.However, Yunus did not follow through on the plan but criticised politicians in the country, alleging they were only interested in making money.",Court has set March 3 for an indictment hearing of the case.,None,None,None,Press Trust of India,bangladesh,2024-02-01 21:07:00,2024-02-01 21:37:00
https://www.siasat.com/assam-would-have-been-part-of-bangladesh-if-invasions-were-not-thwarted-amit-shah-2960439/,Assam would have been part of Bangladesh if invasions were not thwarted: Amit Shah,"Guwahati: Union Home Minister Amit Shah on Saturday said that Assam would have been a part of Bangladesh and not of India if Ahom Commander Lachit Barphukan and other rulers had not thwarted the aggression of the Mughals and other invaders.The main reason why Assam could remain a part of India is that the army of several invaders-from Khilji to Aurangzeb- were defeated and sent back, Shah said here while launching the book ‘Assam’s Braveheart-Lachit Barphukan’.The book is written by eminent author Arup Kumar Dutta in English and has been translated into 23 scheduled languages.“There are many such tales of valour and victory in the country which have not properly evaluated by historians but now they are being given their due recognition so that the next generation gets inspired,” he said.The minister also said, ‘Earlier, history was written and taught to us from the British point of view and there were only passing references of heroes who struggled hard for the ‘swabhiman’ (self-respect) and ‘samman’ (honour) of the country,” he said.The effort of the Assam government in getting the book translated into 23 scheduled languages is indeed laudable and it will serve as a reference book for students and researchers who will know more about him and the history of this part of the country, Shah said.Referring to the title of the book, the minister said that he has no complaints against its content but has reservations about the title, as ‘Lachit is not a braveheart of Assam alone but of the entire country’.He was a commander who led his soldiers from the front, mastered the art of guerilla and river warfare, having perhaps fought the biggest war on the river, and even his arch-rival Ram Singh of the Mughal army had praised him saying that he was yet to fight against a soldier of Lachit’s stature, Shah said.‘Besides, he (Lachit) was known to take people from all communities as his soldiers and the killing of his maternal uncle for laziness along with his famed quote that his uncle was not above the country has gone down in history as exemplary show of courage and bravery,” Shah said.Prime Minister Narendra Modi’s aim to launch the ‘Azaadi ka Amrit Mahotsav’ was manifold and the primary goal was to raise consciousness as well as awareness about the freedom struggle and also to bring to the fore the struggles of many in different parts of the country who played a pivotal role in ensuring the country’s independence.‘There are many bravehearts and heroes in different parts of the country whose valour is not known outside their states but we are determined to take the stories of their lives to each state so that it inspires the future generation and in the next 25 years, people can help make India a leading country of the world,” Shah said.He urged the youth to raise the collective confidence of the nation so that it can become ‘purna vikshit” (fully developed) and “atma nirbhar” (self-reliant).The union minister further alleged that the Congress had created a “divide among the people of the region” but the prime minister with his policy of development and peace in the North East has ensured that the people gain confidence to take the nation towards the goal of becoming the most developed country in the world.He also appealed to the people that they should rise above the differences of languages and religion for the good of Assam and the North East.‘Language should not be considered as a point of dispute but of strength. We must respect different languages, literature and grammar and make it the strength of the nation’, he said.The publication of the book written in English and translated into 23 languages portrays the strength of the nation and its commitment to honour valour, Shah added.","""Earlier, history was written and taught to us from the British point of view and there were only passing references of heroes who struggled hard for the 'swabhiman' (self-respect) and 'samman' (honour) of the country,"" he said.",None,None,None,Press Trust of India,bangladesh,2024-01-20 21:32:00,2024-01-20 22:02:00
https://www.siasat.com/will-protect-myanmar-border-like-that-of-bangladesh-amit-shah-2960308/,Will protect India-Myanmar border with fencing: Amit Shah,"Guwahati: Home Minister Amit Shah on Saturday said the government will end the free movement of people at the India-Myanmar border, and fence it completely so that it can be protected like the country’s boundary with Bangladesh.Shah made the announcement while addressing the passing out parade of the first batch of the five newly constituted Assam Police Commando battalions in Guwahati.“The Narendra Modi government has decided that the India-Myanmar border, which is open, will be protected by barbed fencing. The entire border will have barbed fencing like what we have at the India-Bangladesh border,” he said.“The Indian government is rethinking the free movement agreement with Myanmar. Now, the Government of India is going to stop this facility,” he added.The Free Movement Regime allows people living on both sides of the border to travel 16 km into each other’s territory without a visa. Four Indian states — Arunachal Pradesh, Nagaland, Manipur and Mizoram, share a 1,643-km-long border with Myanmar.Earlier, officials had said that the government was planning to fence a 300-km stretch of the border.More than 31,000 people from Myanmar, mostly from the Chin state, have taken refuge in Mizoram following the military coup in the neighbouring country in February 2021. Many also took shelter in Manipur.Dozens of Myanmar soldiers stationed near the international border with India also fled to Mizoram following intense gunfights with militia group People’s Defence Force (PDF) last year. They were later sent back to their country.Shah also said that there has been a huge change in the law and order of the country under the leadership of PM Narendra Modi during the last 10 years.Attacking the Congress, he alleged that people had to pay bribes to get government jobs during its tenure, and maintained that not a single penny had to be paid for employment under the BJP rule.On the consecration ceremony in Ayodhya, Shah said that Lord Ram would return home after 550 “disrespectful” years.“It’s a matter of pride for the entire India,” he said, noting that it was happening at a time when the country was on course to become a superpower.Congratulating the 2,551 commandos who were inducted into the force at the function, Shah said that the Assam Police has faced challenges such as riots during the Partition, refugee problem, infiltration, the Bangladesh liberation war, insurgency and drug menace.“However, the Assam Police has a rich history of fighting these challenges and winning,” he said.","""The India-Myanmar border will be protected like the Bangladesh border… The Government of India will stop the free movement with Myanmar,"" he said.",None,None,None,Press Trust of India,bangladesh,2024-01-20 19:22:00,2024-01-20 19:52:00
https://www.siasat.com/sheikh-hasina-sworn-in-as-prime-minister-of-bangladesh-for-fifth-term-2954454/,Sheikh Hasina sworn in as prime minister of Bangladesh for fifth term,"Dhaka: Sheikh Hasina was on Thursday sworn in as the prime minister of Bangladesh for the fifth term, days after her Awami League won an overwhelming majority in the general elections boycotted by the main opposition BNP and its allies.President Mohammad Shahabuddin administered the oath of office to 76-year-old Hasina at a ceremony joined by politicians, foreign diplomats, civil society figures and senior civil and military officials at Bangabhaban presidential palace here.She will serve as the 12th prime minister; her fourth consecutive term and fifth overall term.Hasina, the daughter of Bangladesh’s founder Sheikh Mujibur Rahman, has been ruling the strategically located South Asian nation since 2009. She is among the world’s longest-serving female heads of government.Following the prime minister, the new members of cabinet were sworn in by the president.Hasina’s party won 223 seats in the 300-member Parliament.Opposition Bangladesh Nationalist Party (BNP) of ex-prime minister Khaleda Zia boycotted the elections after their demand for a non-party caretaker government to conduct the January 7 polls was rejected.Hasina formed her government for the straight fourth term. She has inducted 25 ministers and 11 state ministers in her Cabinet.“We have not got the (new) ministers and state ministers’ portfolios yet but it is expected to be announced later Thursday,” a cabinet division official told PTI.Hasina has dropped some heavyweights like foreign minister AK Abdul Momen, finance minister AHM Mostafa Kamal, planning minister Abdul Mannan, agriculture minister Abdur Razzak and commerce minister Tipu Munshi from her new Cabinet.Names of 13 junior ministers out of 18 state ministers in the outgoing government also did not appear in the new list and they included junior minister for foreign affairs Shahriar Alam.The new council of ministers list named 14 new faces as full ministers and seven state ministers though some of them were elevated as cabinet ministers.Samanta Lal Sen, a doctor specialized on burn wounds, emerged as a new face in the list of full ministers as a technocrat to the surprise of many as he was never known for political activism.Simin Hossain Rimi, the daughter of the first prime minister of Bangladesh Tazuddin Ahmed, is among the new faces named on the state ministers list.Bangladesh went to polls on Sunday, in which the ruling Awami League headed by Prime Minister Hasina won 223 seats; the Jatiya Party 11 seats; the Workers’ Party, Jatiya Samajtantrik Dal and Bangladesh Kalyan Party one seat each; and independent candidates won 61 seats.India, China and Russia congratulated Hasina after her victory. All Far Eastern and Middle Eastern countries including Japan and Saudi Arabia also welcomed the ruling Awami League’s reelection.However, the Western nations, including the United States and the UK, which were insisting the Bangladesh election to be inclusive, and the United Nations expressed their reservations about the election.",She will serve as the 12th prime minister; her fourth consecutive term and fifth overall term.,None,None,None,Press Trust of India,bangladesh,2024-01-11 20:19:00,2024-01-11 20:49:00
https://www.siasat.com/us-says-bangladesh-elections-not-free-or-fair-un-also-raise-concern-2952207/,"US says Bangladesh elections not free or fair, UN also raise concern","United Nations: A day after Bangladesh Prime Minister Sheikh Hasina’s party emerged victorious at the polls, the US and UN voiced concern over violence and reports of irregularities on the day of elections, with Washington noting that the polls were not free or fair and regretted that not all parties participated in the ballot.The US State Department, in a press statement Monday, said that Washington remains concerned by the arrests of thousands of political opposition members and by reports of irregularities on elections day in Bangladesh.“The United States shares the view with other observers that these elections were not free or fair and we regret that not all parties participated,” the State Department said.While noting that Hasina’s Awami League won a majority of seats in the January 7 parliamentary elections, the State Department said that Washington condemns violence that took place during elections and in the months leading up to it.“We encourage the Government of Bangladesh to credibly investigate reports of violence and to hold perpetrators accountable. We also urge all political parties to reject violence,” it said.The State Department added that the US supports the people of Bangladesh and their aspirations for democracy, freedom of peaceful assembly, and freedom of expression.“Looking ahead, the United States remains committed to partnering with Bangladesh to advance our shared vision for a free and open Indo-Pacific, to supporting human rights and civil society in Bangladesh, and to deepening our people-to-people and economic ties,” it said.UN Human Rights Chief Volker T rk called on Bangladesh’s newly elected government to take steps to renew the country’s commitment to democracy and human rights, voicing distress that the environment for Sunday’s poll was marred by violence and repression of opposition candidates and supporters.“In the months leading up to the vote, thousands of opposition supporters have been detained arbitrarily or subjected to intimidation. Such tactics are not conducive to a truly genuine process,” T rk said.The top UN human rights official noted that democracy was “hard won” in Bangladesh and “must not become cosmetic.”Underlining that Bangladesh has been a role model of development, T rk said he “fervently hopes this will translate into the political and institutional spheres too. The future of all Bangladeshis is at stake.”The UN official noted that mass arrests, threats, enforced disappearances, blackmailing and surveillance were all methods reportedly used by law enforcement officials prior to the ballot, which was boycotted by the main opposition Bangladesh Nationalist Party. Acts of political violence, including arson attacks allegedly committed by opposition groups, have also been reported.Around 25,000 opposition supporters have been arrested, including key party leaders, since October, the UN official said. At least 10 opposition supporters reportedly died or were killed in custody in the last two months, raising serious concerns about possible torture or harsh conditions of detention, the UN Human Rights chief said.He said many human rights defenders have been forced to go into hiding, and some have fled the country, while dozens of suspected enforced disappearance cases have been reported, mostly in November.“These incidents must be independently investigated, and those responsible must be brought to justice in fair and transparent trials,” T rk said. “Violations and irregularities during the campaign and on election day itself should also be thoroughly and effectively investigated.”T rk implored the government to take the necessary steps to ensure that the human rights of all Bangladeshis are fully taken into account, and to strengthen the underpinnings of a truly inclusive democracy in the country.Associate spokesperson for UN Secretary-General Antonio Guterres, Florencia Soto Ni o, in response to a question on whether the UN believes the elections were free and fair, said, “We have seen the situation that’s unfolding there. The Secretary-General continues to follow what’s happening. He notes the opposition’s decision to boycott the elections.”She said the UN chief is “obviously concerned” about reports of incidents of violence prior to, and during the elections. Guterres calls on all parties to reject all forms of violence and to ensure that human rights and the rule of law are fully respected. “This is essential for the consolidation of democracy and economic prosperity there,” she said.In response to another question, she said it is essential that the Bangladesh government fosters an environment of democracy. “Respect and reject all forms of violence, and obviously ensure that human rights are respected there,” she said.Awami League (AL) won 223 seats in the 300-member Parliament on Sunday in the polls boycotted by the Bangladesh Nationalist Party (BNP), the main opposition.The Bangladesh government had invited a large number of foreign observers from India and other countries, as well as multilateral organisations, to observe the elections.","The State Department added that the US supports the people of Bangladesh and their aspirations for democracy, freedom of peaceful assembly, and freedom of expression.",None,None,None,Press Trust of India,bangladesh,2024-01-09 08:29:00,2024-01-09 08:59:00
https://www.siasat.com/watch-bangladeshs-shakib-al-hasan-who-wins-parliamentary-seat-slaps-fan-2951669/,"Watch: Bangladesh’s Shakib Al Hasan, who won parliamentary seat, slaps fan","Bangladesh cricket captain Shakib Al Hasan, who recently won a parliamentary seat from the Magura-1 constituency on the Awami League (AL) party ticket, has reportedly slapped a fan. In a video circulating on social media, he can be seen slapping the fan from a crowd. The reason behind the incident remains unclear.Meanwhile, the cricketer secured the parliamentary seat by receiving an impressive 185,388 votes, with his closest competitor, Kazi Rezaul Hossain, garnering 45,993 votes.In the election, Bangladesh Prime Minister Sheikh Hasina won the Gopalganj-3 constituency in a landslide, marking her eighth term as a Member of Parliament. Hasina’s party secured victory in 223 seats, forming the government in the election held on Sunday.The 76-year-old leader, who has been ruling the strategically located South Asian nation since 2009, secured a record fourth consecutive term and fifth overall term in the one-sided election, which witnessed a low turnout.As Shakib Al Hasan secured the parliamentary seat on the ruling party’s ticket, there is speculation that he may get additional government responsibility. ","The cricketer secured the parliamentary seat by receiving an impressive 185,388 votes.",None,None,None,Sameer Khan,bangladesh,2024-01-08 20:31:00,2024-01-08 21:01:00
https://www.siasat.com/bangladesh-pm-sheikh-hasina-secures-fourth-straight-term-2951405/,Bangladesh PM Sheikh Hasina secures fourth straight term,"Dhaka: Bangladesh Prime Minister Sheikh Hasina on Sunday secured a record fourth straight term as her Awami League party won two-thirds of the seats in the general elections marred by sporadic violence and a boycott by the main opposition BNP and its allies.Hasina’s party won 200 seats in the 300-seat parliament while counting is still underway after the end of the day-long voting on Sunday.“We can call Awami League winner with the already available results but the final announcement will be made after the end of the counting of votes in the rest of the constituencies,” an election commission spokesman told reporters.Hasina won the Gopalganj-3 seat for the eighth time since 1986. She bagged 249,965 votes while her nearest rival M Nizam Uddin Lashkar from the Bangladesh Supreme Party secured just 469 votes.The 76-year-old leader, who has been ruling the strategically located South Asian nation since 2009, secured a record fourth consecutive term and fifth overall term in the one-sided election, which witnessed a low turnout.",Her party wins two-thirds majority in polls amid boycott by Opposition.,None,None,None,Press Trust of India,bangladesh,2024-01-08 07:39:00,2024-01-08 08:09:00
https://www.siasat.com/pm-hasina-set-for-fourth-consecutive-win-in-bangladesh-elections-2951400/,PM Hasina set for fourth consecutive win in Bangladesh elections,"Dhaka: Bangladesh Prime Minister Sheikh Hasina is set to secure a record fourth straight term as her Awami League party was on Sunday inching closer to a landslide victory in the general elections marred by sporadic violence and a boycott by the main opposition BNP and its allies. Hasina won the Gopalganj-3 seat for the eighth time since 1986. She bagged 249,965 votes while her nearest rival M Nizam Uddin Lashkar from the Bangladesh Supreme Party secured just 469 votes, bdnews24 reported. The 76-year-old leader, who has been ruling the strategically located South Asian nation since 2009, is set to secure a record fourth consecutive term and fifth overall term in the one-sided election, which witnessed a low turnout. According to the Daily Star newspaper, Awami League has so far won 17 out of 20 seats in the 300-member parliament. The Jatiya Party won one seat while independents bagged two. Citing unofficial results, the Dhaka Tribune newspaper, however, reported that the Awami League has won in 170 constituencies while the Jatiya Party secured 10 seats. Independent candidates won the race in 45 seats, it added. Awami League General Secretary Obaidul Quader claimed that the people have rejected the BNP and Jamaat-e-Islami’s boycott of the election by casting their ballots. “I sincerely thank those who braved the fear of vandalism, arson, and terrorism to participate in the 12th national parliamentary elections,” Quader said. Jatiya Party Chairman GM Quader won the Rangpur-3 seat in the 12th national parliamentary election. According to the initial estimates, the voter turnout was around 40 per cent but the figure could change after the final count, Chief Election Commissioner Kazi Habibul Awal earlier said. The 2018 general election recorded an overall turnout of more than 80 per cent. Former premier Khaleda Zia-led Bangladesh Nationalist Party (BNP) leaders said the party plans to intensify its anti-government movement through a peaceful public engagement programme from Tuesday as it dubbed the polls as “fake.” The BNP boycotted the 2014 election but joined the one in 2018. This time, they boycotted the polls. Fifteen other political parties also boycotted the election. The party leaders claimed that the low turnout was evidence that their boycott movement had been successful. They said that peaceful democratic protest programmes will be accelerated, and the people’s right to vote will be established through this programme. The BNP is observing a 48-hour nationwide general strike which began at 6 am on Saturday and will end at 6 am on Monday. It had called upon voters to shun the election to mark the beginning of an end of what it calls a “fascist government.” Earlier, an election commission spokesman said that other than some sporadic incidents of violence, the voting was largely peaceful in 299 of the 300 constituencies. The Commission suspended polling in one seat because of the death of a candidate. The election commission cancelled the candidature of a ruling Awami League candidate in northeastern Chattogram at the fag-end of the voting hours as he “scolded and threatened” a police officer. The usual election-day fervour was nowhere to be seen. Even in front of the election campaign booths, there was no presence of voters except the ruling party-backed supporters and election agents. Voters cast their votes without any disruption in the absence of long queues, leaving presiding officers with idle time. Shots were fired during a clash between supporters of two candidates running for the Chattogram-10 seat. Two people – Shanto Barua, 24, and Jamal, 35 – were shot and taken to Chattogram Medical College Hospital. Two people were injured after a clash between supporters of the Awami League candidate and an independent candidate at a polling centre in Jamalpur’s Sharishabari. Four persons, including a child, were injured after two crude bombs exploded near a voting centre in Dhaka’s Hazaribagh. Prime Minister Hasina cast her vote at Dhaka City College polling centre soon after the voting started. Her daughter Saima Wazed accompanied her. She alleged that the opposition BNP-Jamaat-e-Islami alliance does not believe in democracy. “People will vote as they wish. And we were able to create that voting environment. Although the BNP-Jamaat alliance has caused many incidents, including arson attacks,” she told reporters. In response to a question, Hasina said that India is a “trusted friend” of Bangladesh. “We are very lucky…India is our trusted friend. During our Liberation War, they supported us not only that after 1975, when we lost our whole family – father, mother, brothers, everyone (in a military coup) – and only we two (Hasina and her younger sister Rehana) survived… they gave us shelter. So, we have our best wishes to the people of India,” she told reporters. In August 1975, Sheikh Mujibur Rahman, his wife and their three sons were assassinated in their home by military officers. His daughters Hasina and Rehana survived the purge as they were abroad. In response to a question on how acceptable the election will be while the BNP is boycotting it, Hasina said that her responsibility is towards the people. “Whether people accept this election or not it is important to me. So, I don’t care about their (foreign media) acceptance. No matter what did the terrorist party say or not?” she said. The 27 political parties that contested the elections include the opposition Jatiya Party. The rest are members of the ruling Awami League-led coalition, which experts dub as “satellite parties.” A total of 119.6 million registered voters were eligible to vote at Sunday’s polls in more than 42,000 polling stations, according to the country’s Election Commission. More than 1,500 candidates from 27 political parties were contesting in the election, besides 436 independent candidates. Over 100 foreign observers, including three from India, monitored the 12th general election, which was held under tight security. More than 7.5 lakh members of law enforcement agencies and security forces were deployed to ensure law and order during the polls. Former Election Commissioner Brig Gen (retd) Sakhawat Hussain termed Sunday’s polls a unique one compared to the previous two elections. “This time the election is taking place between candidates from the same party in the name of independents and dummies. As a result, voters are less interested in the polls,” said Sakhawat. “So, it is a unique model election Results of the election are certain, everybody knows who is going to win. The only uncertain thing is who will be in the opposition bench,” he added. On Friday, the UN Special Rapporteur, Clement Nyaletsossi Voule, said he was “deeply disturbed” by the repressive environment surrounding the polls in Bangladesh. ","They said that peaceful democratic protest programmes will be accelerated, and the people's right to vote will be established through this programme. ",None,None,None,Press Trust of India,bangladesh,2024-01-08 00:15:00,2024-01-08 00:45:00
