url,title,content,content_summary,title_translation,content_translation,summary translation,author,country,source_localtime,bangladesh_localtime
https://assamtribune.com//assam/suspected-cattle-smuggler-killed-in-bsf-firing-along-indo-bangladesh-border-1521930,Suspected cattle smuggler killed in BSF firing along Indo-Bangladesh border,"Dhubri, Feb 22: The Border Security Force (BSF) reportedly opened fire on a suspected cattle smuggler along the Indo-Bangladesh border in Mankachar, resulting in his death on Thursday morning. The deceased person has been identified as Shahinur Islam, 26, a resident of Char Kukurmara village in the Mankachar police station area.According to sources, the incident occurred around 11 p.m. on February 21, when Islam and his associates were trying to smuggle cattle across the border. The BSF personnel spotted them and challenged them to stop. However, the smugglers ignored the warning and continued their illegal activity.The BSF then resorted to firing in self-defence, and one of the bullets hit Islam, who died on the spot. The other smugglers managed to escape under the cover of darkness.The BSF recovered the body of Islam and handed it over to the local police. A case has been registered, and an investigation is underway, said Police.Cattle smuggling is a rampant problem along the Indo-Bangladesh border, especially in western Assam.",None,None,None,None,Correspondent,bangladesh,2024-02-22 14:35:00,2024-02-22 15:05:00
https://assamtribune.com//assam/bangladesh-high-commission-to-open-visa-centre-in-silchar-soon-1521410,Bangladesh High Commission to open visa centre in Silchar soon,"Silchar, Feb 19: In a major development to facilitate people seeking visas for Bangladesh, the Bangladesh High Commission is planning to open a visa centre in Silchar soon.Assistant High Commissioner of Bangladesh, Ruhul Amin, who was here to attend a programme on Bhasha Sanskritik Milan Utsav, informed the delegation of the Citizens’ Rights Protection Coordination Committee (CRPCC), Assam. Later, talking to The Assam Tribune, Ruhul Amin said that the visa centre will be helpful for people from Barak Valley and adjoining areas to apply for their visas for Bangladesh visits. “We are hopeful to start the centre very soon, most likely by March this year. The affairs would be outsourced to a company that will work under our supervision to help the visa applicants from this region,” the Assistant High Commissioner said.Meanwhile, the CRPCC Assam delegation, including secretary general Sadhan Purkayastha and others have heartily welcomed the move, which was a long pending demand of the people of the valley.",None,None,None,None,Staff Correspondent,bangladesh,2024-02-19 13:16:00,2024-02-19 13:46:00
https://assamtribune.com//national/6-nlft-militants-flee-their-bangladeshi-camps-surrender-in-tripura-with-arms-1519846,"6 NLFT militants flee their Bangladeshi camps, surrender in Tripura with arms","Agartala, Feb 10: Six hardcore cadres of the banned National Liberation Front of Tripura (NLFT) fled from their Bangladesh camps and surrendered to security officials in the state on Friday.   They also deposited arms and ammunition including two Chinese rifles, police said.   Police said that the six NLFT extremists surrendered to Deputy Inspector General of Police, Intelligence, Krishnendu Chakravertty in Agartala and deposited some arms and ammunition.   Apart from the two Chinese rifles, they deposited a country-made sten gun, six live rounds 70 mm ammunition, two Chinese grenades, and some ammunition.   The ultras also deposited some extortion notice books, and Bangladesh taka 1,000.   ""The group of six having been cornered and getting motivated, renounced the path of bloodshed and made a choice of peace. This group of NLFT has been operationally very active across the fence in Bangladesh. They joined the NLFT outfit in between 2017 and 2022,"" an official statement said.   So far, 36 active members of NLFT surrendered before Tripura Police and security forces in the recent past.   The statement said: ""It will surely further pave the way for remaining fractions of NLFT to make a beeline for peace abjuring violence. It is definitely a committed effort by Tripura Police for ensuring the goal of law and order and development.""   The surrendered NLFT militants are Jatindra Tripura, 36, Mokhiram Tripura, 36, Pradip Tripura, 27, Romawia Reang, 50, Johanjoy Reang, 36, and Mani Charan Tripura, 38   ",None,None,None,None,IANS,bangladesh,2024-02-10 11:18:00,2024-02-10 11:48:00
https://assamtribune.com//assam/assam-bangladeshi-national-gets-3-year-jail-term-for-possessing-fake-currency-1518522,Assam: Bangladeshi national gets 3-year jail term for possessing fake currency,"Dhubri, Feb 2: A Bangladeshi national was sentenced to three years of rigorous imprisonment and fined Rs 10,000 by a Dhubri court on Thursday for possessing Fake Indian Currency Notes (FICN) worth Rs 1 lakh.The convict, Umar Farique, a 26-year-old resident of Kurigram district in Bangladesh, was arrested by Assam Police at Bhetabazar area in Dhubri in 2021, along with two other Indian nationals, Shahalam Sheikh and Amir Ali, who were later acquitted by the court.The case was registered at Dhubri police station under Section 489(C) of the Indian Penal Code (IPC), which deals with the possession of forged or counterfeit currency notes or bank notes. The investigation officer, Inspector Jayanta Kumar Das, submitted the charge sheet against the three accused before the court.The District and Sessions Judge, Shri Paban Chandra Kalita, in his judgement dated February 1, 2024, observed that the prosecution had proved the guilt of Umar Farique beyond reasonable doubt and that he deserved to be punished with rigorous imprisonment and a fine to meet the ends of justice.The court also directed that in cases of default in payment of a fine, the convict will have to undergo simple imprisonment for six months each under Section 14(A) of the Foreigners Act and Section 489(C) of the IPC.",None,None,None,None,Correspondent,bangladesh,2024-02-02 15:57:00,2024-02-02 16:27:00
https://assamtribune.com//assam/bsf-seizes-64-tonnes-of-sugar-on-indo-bangladesh-border-1515234,BSF seizes 6.4 tonnes of sugar on Indo-Bangladesh border,"Dhubri, Jan 15: The Border Security Force (BSF) has seized a huge quantity of sugar, worth Rs 2.56 lakh, that was being smuggled from India to Bangladesh through the Brahmaputra River.  The seizure was made on Sunday by the troops of 45 Battalion BSF, deployed under the Guwahati Frontier, during a boat patrolling near the Sukhchar-Khagrachar riverine channel in the South Salmara Mankachar district of Assam.  According to a BSF press release, the smugglers were trying to take advantage of the riverine area and the dense fog to transport the sugar across the border. However, the vigilant BSF troops foiled their attempt and seized 6400 kg of sugar, packed in 320 bags, from two country-made boats.  ",None,None,None,None,Correspondent,bangladesh,2024-01-15 10:26:00,2024-01-15 10:56:00
https://assamtribune.com//international/sheikh-hasina-sworn-in-as-bangladesh-pm-for-4th-straight-term-1514836,Sheikh Hasina sworn-in as Bangladesh PM for 4th straight term,"Dhaka, Jan 11: Awami League president Sheikh Hasina on Thursday was sworn-in as the Prime Minister of Bangladesh for the fourth consecutive term after she led her party to a massive victory in the January 7 Parliamentary elections.   Bangladesh President Mohammed Shahabuddin administered the oath of office and secrecy to Hasina, 76, at a programme in which several other high ranking officials were also present.   Hasina will be in charge of the Cabinet Division and the Armed Forces Division.   She will also hold the Defence, Power Energy & Mineral Resources, Cultural Affairs and the Labour & Employment prortfolios according to a notice issued by the Cabinet Division.   Abul Hassan Mahmood Ali, Hasan Mahmud, and Saber Hossain Chowdhury have been given the ministries of Finance, Foreign Affairs, and the Environment, respectively, in the newly formed cabinet.   Hassan Mahmood Ali served as the Foreign Minister of Bangladesh from 2013 to 2019, and as Disaster Management and Relief Minister from 2012 to 2013.   Awami League Joint General Secretary Hasan Mahmud served as Information and Broadcasting Minister in the previous Cabinet.   Saber Hossain Chowdhury has been a Member of Parliament of Dhaka-9 constituency since 2008.   He was recently appointed as the Special Envoy to the Prime Minister for climate change last year.   The oath-taking ceremony took place a day after the Awami League Parliamentary Party unanimously elected Hasina as its leader paving the way for her to become the Prime Minister for an overall fifth term -- a record in Bangladesh's political history.   Commerce, Information and Telecommunication ministers are yet to be named.   Asaduzzam Khan Kamal and Obaidul Quader have retained their posts of Home Minister and Road Transport & Bridges minister, respectively.   Abul Hasan Mahmud Ali has been appointed the new Finance Minister.   ",None,None,None,None,IANS,bangladesh,2024-01-12 12:34:00,2024-01-12 13:04:00
https://assamtribune.com//assam/assam-girl-allegedly-kidnapped-by-foreign-national-rescued-1514705,Assam girl allegedly kidnapped by foreign national; rescued,"Silchar, Jan 11: A shocking incident unfolded in Assam’s Cachar district after a young girl was successfully rescued on Thursday after being allegedly kidnapped by a foreign national.  According to initial information, the victim was from Silchar and the accused was arrested from India-Bangladesh border in Tripura.  Speaking on the matter, Superintendent of Police (SP) Numal Mahatta informed that a case of kidnapping was registered and based on iputs, BSF IG (ops) was coordinated and the boy was arrested from Indo-Bangla border in Tripura.  The girl has been rescued from Silchar station and sent for rehabilitation while the matter is being investigated for further leads, the SP added.",None,None,None,None,Staff Correspondent,bangladesh,2024-01-11 16:09:00,2024-01-11 16:39:00
https://assamtribune.com//international/pm-modi-congratulates-bangladeshs-sheikh-hasina-on-poll-victory-1514219,PM Modi congratulates Bangladesh's Sheikh Hasina on poll victory,"New Delhi, Jan 9: Prime Minister Narendra Modi called on his Bangladesh counterpart Sheikh Hasina and congratulated her for securing a historic fourth consecutive term in Sunday's general elections and reiterated India's commitment to further strengthen the ""enduring and people-centric partnership"" with its neighbour.   A press statement issued by the Indian High Commission in Dhaka in a letter sent on Monday said: ""Prime Minister Modi said the historic and close ties between India and Bangladesh will continue to deepen in all areas of their irreversible partnership.""   Modi also affirmed that as a close friend and trusted development partner of Bangladesh, India will continue to support Bangladesh's aspirations and growth.   The letter also said that PM Modi also conveyed his best wishes to the people of Bangladesh for their continued progress, peace and prosperity.   Indian High Commissioner, Pranay Kumar Verma, called on Bangladesh Prime Minister Hasina and congratulated her on being re-elected as head of the state for a consecutive fourth term.   ""The envoys of India and Bangladesh extended greetings on behalf of their respective countries and said their support for the new government would continue,"" the Bangladesh premier's Deputy Press Secretary Moahammad Noorelahi Mina told the Indian media.   Incumbent Prime Minister Sheikh Hasina's Awami League won 223 seats in the 300-member Parliament in the general elections that were held on Sunday.   The Indian High Commissioner on Monday spoke to Bangladesh Prime Minister Sheikh Hasina and conveyed the greetings on behalf of India on her re-election and the victory of her party, Awami League, for the fourth consecutive term.   According to a PMO spokesman, Ambassadors of Russia, China, Bhutan, Philippines, Singapore and Sri Lanka, alongside the Indian envoy, called on the newly-elected premier at her Ganobhaban residence and pledged continued support of their countries to Bangladesh.   Hasina thanked the diplomats of various countries and sought their cooperation in her new government's journey towards the development and prosperity of Bangladesh.   A delegation of Aga Khan Diplomatic Representatives also met Hasina, Mina said.   Mina added that more foreign envoys were scheduled to meet Hasina later on Monday as the Awami League won a landslide victory in Sunday's election, boycotted by the Bangladesh Nationalist Party, the main opposition, and its allies.   Hasina, 76, also the president of Awami League, won the Gopalganj-3 constituency in a landslide victory, her eighth term as a Member of Parliament.   Hasina, who has been ruling the strategically-located South Asian nation since 2009, secured a record fourth consecutive term and fifth overall term in the one-sided election, which witnessed the second-lowest turnout since the restoration of democracy in 1991.   With this poll victory, Hasina is poised to become the longest-serving Prime Minister in Bangladesh since its independence.   ",None,None,None,None,IANS,bangladesh,2024-01-09 11:58:00,2024-01-09 12:28:00
https://assamtribune.com//international/us-says-bangladesh-elections-not-free-or-fair-un-also-voices-concern-1514204,US says Bangladesh elections not free or fair; UN also voices concern,"Washington, Jan 9:  A day after Bangladesh Prime Minister Sheikh Hasina's party emerged victorious at the polls, the US and UN voiced concern over violence and reports of irregularities on the day of elections, with Washington noting that the polls were not free or fair and regretted that not all parties participated in the ballot.      The US State Department, in a press statement Monday, said that Washington remains concerned by the arrests of thousands of political opposition members and by reports of irregularities on elections day in Bangladesh.      “The United States shares the view with other observers that these elections were not free or fair and we regret that not all parties participated,” the State Department said.      While noting that Hasina's Awami League won a majority of seats in the January 7 parliamentary elections, the State Department said that Washington condemns violence that took place during elections and in the months leading up to it.      “We encourage the Government of Bangladesh to credibly investigate reports of violence and to hold perpetrators accountable. We also urge all political parties to reject violence,” it said.  The State Department added that the US supports the people of Bangladesh and their aspirations for democracy, freedom of peaceful assembly, and freedom of expression.       “Looking ahead, the United States remains committed to partnering with Bangladesh to advance our shared vision for a free and open Indo-Pacific, to supporting human rights and civil society in Bangladesh, and to deepening our people-to-people and economic ties,” it said.      UN Human Rights Chief Volker Türk called on Bangladesh’s newly elected government to take steps to renew the country’s commitment to democracy and human rights, voicing distress that the environment for Sunday’s poll was marred by violence and repression of opposition candidates and supporters.      “In the months leading up to the vote, thousands of opposition supporters have been detained arbitrarily or subjected to intimidation. Such tactics are not conducive to a truly genuine process,” Türk said.      The top UN human rights official noted that democracy was “hard won” in Bangladesh and ""must not become cosmetic.”      Underlining that Bangladesh has been a role model of development, Türk said he “fervently hopes this will translate into the political and institutional spheres too. The future of all Bangladeshis is at stake.”      The UN official noted that mass arrests, threats, enforced disappearances, blackmailing and surveillance were all methods reportedly used by law enforcement officials prior to the ballot, which was boycotted by the main opposition Bangladesh Nationalist Party. Acts of political violence, including arson attacks allegedly committed by opposition groups, have also been reported.      Around 25,000 opposition supporters have been arrested, including key party leaders, since October, the UN official said. At least 10 opposition supporters reportedly died – or were killed – in custody in the last two months, raising serious concerns about possible torture or harsh conditions of detention, the UN Human Rights chief said.      He said many human rights defenders have been forced to go into hiding, and some have fled the country, while dozens of suspected enforced disappearance cases have been reported, mostly in November.      “These incidents must be independently investigated, and those responsible must be brought to justice in fair and transparent trials,” Türk said. “Violations and irregularities during the campaign and on election day itself should also be thoroughly and effectively investigated.”      Türk implored the government to take the necessary steps to ensure that the human rights of all Bangladeshis are fully taken into account, and to strengthen the underpinnings of a truly inclusive democracy in the country.       Associate spokesperson for UN Secretary-General Antonio Guterres, Florencia Soto Niño, in response to a question on whether the UN believes the elections were free and fair, said, “We have seen the situation that's unfolding there. The Secretary-General continues to follow what's happening. He notes the opposition’s decision to boycott the elections.”      She said the UN chief is “obviously concerned” about reports of incidents of violence prior to, and during the elections. Guterres calls on all parties to reject all forms of violence and to ensure that human rights and the rule of law are fully respected. “This is essential for the consolidation of democracy and economic prosperity there,” she said.      In response to another question, she said it is essential that the Bangladesh government fosters an environment of democracy. “Respect and reject all forms of violence, and obviously ensure that human rights are respected there,” she said.      Awami League (AL) won 223 seats in the 300-member Parliament on Sunday in the polls boycotted by the Bangladesh Nationalist Party (BNP), the main opposition.      The Bangladesh government had invited a large number of foreign observers from India and other countries, as well as multilateral organisations, to observe the elections.",None,None,None,None,PTI,bangladesh,2024-01-09 11:09:00,2024-01-09 11:39:00
https://assamtribune.com//international/bangladeshs-ruling-awami-league-wins-over-50-of-seats-in-parliament-election-commission-1514016,Bangladesh's ruling Awami League wins over 50% of seats in Parliament: Election Commission,"Dhaka, Jan 8: Bangladesh Prime Minister Sheikh Hasina-led Awami League has gained more than half of seats in Parliament in the country's general elections, according to initial results released by the Election Commission (EC) officials from different parts of the country on Sunday evening.   Bangladesh held general elections on Sunday to elect 299 members of the Parliament, Xinhua news agency reported.   Voting at a constituency has been postponed due to the death of a candidate.",None,None,None,None,IANS,bangladesh,2024-01-08 11:51:00,2024-01-08 12:21:00
