url,title,content,content_summary,title_translation,content_translation,summary translation,author,country,source_localtime,bangladesh_localtime
https://thenewsglory.com/bangladesh-mall-fire-43-dead-many-were-seriously-injured/,Bangladesh mall fire: 43 dead;  Many were seriously injured,"Dhaka: 43 people were killed in a fire at a 6-storey shopping mall in Bangladesh.  Many are fighting for their lives with serious injuries.A fire broke out in a 6-storey shopping mall in Dhaka, the capital of Bangladesh, yesterday (Thursday) night.  More than 40 people died.  Many are in hospital with life-threatening conditions.Health Minister Dr. Samantha Lal Sen spoke to the media today (Friday) morning about the accident.  Then he said, “Exactly last night (Thursday night) at 9.50 there was a fire in one of the restaurants in that building.  It gradually spread to subsequent sites.  The upper floors also had restaurants and cloth shops.  This made the fire spread more easily.13 fire engines were deployed to douse the fire.  Amid fierce fighting, firefighters rescued 75 people, 42 of whom were unconscious.  33 people died at Dhaka Medical College Hospital.  10 died at the nearby Sheikh Hasina National Burns Centre.  22 people are being treated for serious burns.  The injured have also suffered severe respiratory distress.”  said.  It is noteworthy that the minister is also a burn specialist.  It is feared that more casualties may increase in this accident.  Doctors also said that many of the bodies were burnt beyond recognition.Local residents said about the accident, “The building was considered very dangerous.  There are gas cylinders on each floor.  Even the steps are stacked with cylinders.  So it was a dangerous building.”  An investigation has been ordered as the cause of the accident is yet to be ascertained.  The fire incident has caused great sadness among the people of Dhaka.
 ",None,None,None,None,The News Glory,bangladesh,2024-03-01 10:39:00,2024-03-01 11:09:00
https://thenewsglory.com/bangladesh-election-not-free-and-fair-us/,Bangladesh election not free and fair: US,"The US demanded an investigation into the violence in Bangladesh during the election process.  A credible investigation should be conducted and those responsible should be arrested.Read: Ezhunnallat to the city of Rama idol abandoned;  Around the temple grounds;  The change is for security reasonsRead: Get attention for political posts on Facebook;  Suicide after finally revealing the identityRead: ‘A metaphor for being a Palakkad man’: O Rajagopal on the assumption that Tharoor will winAt the same time, Indian Prime Minister Narendra Modi congratulated Sheikh Hasina’s victory in Bangladesh.  He said that Sheikh Hasina was able to conduct elections successfully in the country.  The US has a good relationship with Bangladesh, as does India.  But the US is concerned about human rights issues in the country.Khaleda Zia, the former Prime Minister of Bangladesh and Sheikh Hasina’s rival, is currently under house arrest.  Zia’s son Tariq Rehman had to leave the country.  Recently, Tariq Rehman said that Hasina’s administration has taken up 138,500 cases against Zia’s party leaders.  Freedom of action is almost gone.  22,000 opposition leaders were arrested.",None,None,None,None,The News Glory,bangladesh,2024-01-09 09:12:00,2024-01-09 09:42:00
https://thenewsglory.com/parliamentary-elections-in-bangladesh-tomorrow-security-arrangements-are-tight/,Parliamentary Elections in Bangladesh Tomorrow – Security arrangements are tight,"Dhaka: The 12th parliamentary election is going to be held in Bangladesh tomorrow.  Elections for the 12th Parliament of Bangladesh will be held from 8 am to 4 pm tomorrow.  Out of the total 350 parliamentary constituencies, the government will appoint women to 50 constituencies, and the remaining 300 constituencies will go to polls tomorrow.  There are 1,970 candidates in the fray, including 90 women and 79 minorities.  Candidates from 28 political parties are in the fray in this election.  Besides, 747 independents are also contesting.The election is seen as a contest between the ruling Awami League and the opposition Jatiya Party.  266 candidates are contesting on behalf of Awami League led by Sheikh Hasina.  The party has allocated 34 seats to its allies.  Jatiya Party fielded 265 candidates.  However, 26 of them withdrew their nomination.  The main opposition Bangladesh Nationalist Party boycotted the election.  The party has announced that it will boycott the election as the election will not be fair under the leadership of the present government.Security has been beefed up in Bangladesh ahead of the elections.  The army has been deployed across the country for security.  It has been announced that the army will carry out security work till the 10th to ensure peace even after the elections.  Coast Guard, Bangladesh Border Guard and other forces have also been deployed for security.However, there have been reports of an increase in incidents of violence in Bangladesh over the past few days.  Four passengers were killed when miscreants set fire to the Penabol Express train in the capital Dhaka last night.  The United Federation of Hindu-Buddhist-Christian Religions has requested the government to provide more protection to minorities as minorities may be targeted ahead of the elections.In this case, Bangladesh Chief Election Commissioner Gazi Habibul Awal, who spoke to the media today, said that we should have faith in a credible election.  This election is monitored not only at the national level but also at the international level.  The election will start at 8 am and will be held till 4 pm.  At 4 o’clock the election will be held until the people in the queue cast their votes.  Therefore, the election can be held till 6 PM at the latest.  He said that the votes will be counted and the results will be announced after the polling is over. ",None,None,None,None,The News Glory,bangladesh,2024-01-06 18:40:00,2024-01-06 19:10:00
https://thenewsglory.com/bangladesh-court-sentences-nobel-laureate-muhammad-yunus-to-six-months-in-prison/,Bangladesh court sentences Nobel laureate Muhammad Yunus to six months in prison,"A Bangladesh court on Monday sentenced Nobel Peace Prize winner Muhammad Yunus – and three other people – to six months in prison for multiple violations of labor law.  Sentence that has been made known amid international criticism against the Bangladeshi Government for the judicial persecution against the winner.It was the Dhaka labor court that issued a verdict that, however, does not imply their immediate entry into prison, since those convicted were granted one month’s bail pending their appeal to a higher court.    
 Read also Ima Sanchis “We are being punished for the crime we did not commit,” Yunus told the media in his first reaction upon leaving the judicial complex.His lawyer, Abdullah Al Mamun, has been equally “furious” with the verdict, guaranteeing that there will be an appeal.  “The State could not prove anything.  We present 109 contradictions.  If there is a contradiction, even a person accused of murder is released,” he noted.The UN special rapporteur on freedom of expression, Irene Khan, who was present at the trial, calls the verdict a “travesty of justice.”  “As a citizen of Bangladesh, on the first day of 2024, I am shocked and terrified to see what is happening to the rule of law in this country.”“The Labor Court has been used as a weapon against a Nobel Peace Prize winner while labor laws are violated in the most severe way every day, in every factory and even in the streets of violence, and the Government does nothing” Khan added. He created microcredits and founded the Grameen Bank to spread them on a large scale.  He thus lifted millions of families around the world out of poverty, for which he was awarded the Nobel Prize. The needs of the poor led him to devise social enterprises, a concept that has gone viral.  He is one of the brains of our time, a great visionary.His proposal, explained in A world of three zeros (Paidós), could sound utopian if it were not born from his own experience that has led him to create a new economic engine, abandoning the assumption that we are motivated by selfishness and betting on altruism.Yunus was accused in September 2021 of failing to establish the Workers’ Contribution Fund and the Welfare Fund in his company, and not sharing the benefits to which they were entitled with his employees.  Other charges include problems proving the regular hiring of 100 workers.Yunus, known as the poor man’s bankerwas recognized in 2006 with the Nobel Peace Prize for having founded the Grameen Bank to combat poverty in Bangladesh through the development of the concept of microcredit, by which loans are granted to people with limited resources who would normally be rejected in the financial system. .However, it has had a tense relationship with the Bangladeshi authorities since Bangladesh Prime Minister Sheikh Hasina came to power.  In 2010, a documentary appeared that denounced alleged illegal fund transfers between the two entities of the Grameen Group.In recent years, Hasina has also criticized Yunus for allegedly influencing the World Bank to cancel financing for the construction of a megaproject, an accusation he denied. Yunus has faced more than 170 cases alleging corruption, money laundering, tax evasion and labor law violations.In an open letter sent to Hasina on August 28, 176 world leaders, including former US President Barack Obama, former UN Secretary General Ban Ki-moon and more than 100 Nobel laureates, expressed concern about the “ continuous judicial processes and harassment” against Yunus.The verdict against the Nobel Peace Prize winner occurs just days before the general elections in Bangladesh, which will take place on January 7, and have been boycotted by the opposition.",None,None,None,None,The News Glory,bangladesh,2024-01-01 16:55:00,2024-01-01 17:25:00
https://thenewsglory.com/bangladesh-beat-new-zealand-for-the-first-time-in-the-napier-tournament-a-record/,"Bangladesh beat New Zealand for the first time in the Napier tournament, a record","Napier: New Zealand were bowled out for 98 runs in the 3rd and final ODI against Bangladesh.  Chasing an easy target, Bangladesh won by 9 wickets.Batting first, New Zealand were bowled out for 98 runs in 31.4 overs in the match at McLean Park in Napier yesterday.  Will Young scored 26 runs with 3 boundaries in 43 balls, Captain Tom Latham scored 21 runs, Josh Clarkson scored 16 runs and Aditya Ashok scored 10 runs.  No other batsman reached double-digit runs.  Shoribul Islam, Tanzim Hasan Shakib and Sowmiya Sarkar took 3 wickets each for Bangladesh.Batting with a target of 99 runs, the Bangladesh team lost only one wicket in 15.1 overs and won by 9 wickets.  Opener Soumya Sarkar was out on 4 runs in ‘Retired Hurt’ due to injury.  Another opener, Anamulhuq, was dismissed for O’Rourke’s 37 off 33 balls with 7 boundaries.  Captain Najmul Hossain Shanto, who crossed his 8th half-century, was unbeaten on 51 off 42 balls with 8 boundaries and Liton Das with one.The defeat ended Bangladesh’s streak of 17 consecutive victories at home.  At the same time, it was the first victory of the Bangladesh team in the ODI against the New Zealand team.  Earlier, Bangladesh team had lost 18 times in New Zealand.Despite the loss in this match, New Zealand won the 3-match series 2-1 and won the trophy after winning the first two matches.  New Zealand won the first match by 44 runs and the second match by 7 wickets. ",None,None,None,None,The News Glory,bangladesh,2023-12-24 09:05:00,2023-12-24 09:35:00
https://thenewsglory.com/ban-vs-nz-2nd-test-bangladesh-lost-for-172-runs-new-zealand-also-lost-5-wickets/,BAN vs NZ 2nd Test |  Bangladesh lost for 172 runs: New Zealand also lost 5 wickets,"Mirpur: Bangladesh were bowled out for 172 runs in the first innings of the 2nd Test against New Zealand.  The New Zealand team continued to play and scored 55 runs for the loss of 5 wickets at the end of the first day’s play.The Bangladesh team, who won the toss and batted first in this test match which started yesterday in Mirpur, lost wickets at regular intervals to the New Zealand spin.  Openers Zakir Hasan were dismissed for 8 off Mitchell Sandner and Mahmud Hasan Joy for 14 off Ajaz Patel.  Mominul Haq 5, Captain Najmul Hossain Shanto 9 runs.Muzfiqur Rahim tried to build a partnership with Shahadat Hossain at the loss of 4 for 47 runs.  A relaxed Muzfiqur Rakim was dismissed for interfering with the fielding after scoring 35 off 83 balls, with one six and three fours.  Muzfiqur Rahim added 57 runs along with Shahadat Hossain for the 5th wicket.Shahadat Hossain scored 31 runs off 102 balls with 2 boundaries to take the wicket of GlenPhillips.  Following Nurul Hasan 7, Mehidi Hasan 20, Taijul Islam 6, Shoriful Islam 10, Bangladesh team lost all wickets for 172 runs in 66.2 overs.  Naeem Hasan remained unbeaten with 13 runs.Mitchell Sandner and Glenn Phillips took 3 wickets each and Ajaz Patel took 2 wickets for New Zealand team.  After that, the New Zealand batting team also lost wickets while facing the spin.  Tom Latham 4, Henry Nicholls 1 runs off Taijul Islam.  Daven Conway was caught off stump by Mehidi Hasan on 11.  Ken Williamson 13, Tom Blundell for no runs off Mehidi Hasan.At the end of the first day’s play, New Zealand scored 55 runs for the loss of 5 wickets in 12.4 overs.  Daryl Mitchell remained unbeaten with 12 and Glenn Phillips with 5 runs.  Mehdi Hasan took 3 wickets and Taijul Islam took 2 wickets for Bangladesh team.  The New Zealand team continues to play the 2nd day today, trailing by 117 runs with 5 wickets in hand.Strangely out: Bangladesh’s senior batsman Musfiqur Rahim was dismissed for fielding after scoring 35 runs.  Muzfiqur Rakim made a tackle as Kyle Jamieson bowled the 41st over.  As the ball went outside the off-stump, Muzfiqur Rahim stepped away and palmed the ball away.Then the 3rd umpire Ahsan Raza examined the New Zealand players and declared Musfiqur Rakim out.  With this, Muzfiqur Rakim became the 9th player in the history of Test cricket to be dismissed for interfering with the fielding.  Before this, umpires used to give outs by ‘handle the ball’ method.  But last year 2017 the rules were revised.  This included the ‘handle the ball’ out method under the rule of interfering with the fielding.  This is why now the umpires have sent off Musfiqur Raheem for obstructing the fielding.  Musfiqur Rakim has also become the first Bangladeshi player to be dismissed in this category. ",None,None,None,None,The News Glory,bangladesh,2023-12-07 09:03:00,2023-12-07 09:33:00
https://thenewsglory.com/sc-asked-for-citizenship-data-of-assam-immigrants-court-said-granting-citizenship-to-bangladeshi-immigrants-did-not-affect-assam/,SC asked for citizenship data of Assam immigrants: Court said- granting citizenship to Bangladeshi immigrants did not affect Assam,"New Delhi42 minutes agoThe Supreme Court will hear this case on Wednesday 6 December.On Tuesday (December 5), the Supreme Court started hearing in a bench of 5 judges on 17 petitions related to Section 6A of the Citizenship Act in Assam.  A two-judge bench had referred the matter to the Constitutional Bench in 2014.The bench headed by CJI DY Chandrachud also includes Justice Surya Kant, Justice MM Sundaresh, Justice JB Pardiwala and Justice Manoj Mishra.  The bench has sought data of beneficiaries of this Act.The court said that there is no evidence to suggest that granting Indian citizenship to Bangladeshi immigrants between 1966 and 1971 had an impact on the population and cultural identity of Assam.Acknowledging cross-border infiltration into Assam, the CJI said immigrants also came due to the India-Pakistan war in 1971 for the liberation of Bangladesh.After this, the court asked the Central Government to submit the data of people who received benefits under the law from 1966 to July 16, 2013.The petitioners have sought to declare the provision invalid and direct to formulate a policy for the rehabilitation of people of Indian origin who came to Assam after 1951.What does Section 6A of the Citizenship Act say?Section 6A was added to the Citizenship Act as a special provision to deal with the citizenship of people coming to India under the Assam Accord.  In which it is said that those who came to Assam in 1985 from areas including Bangladesh on or after January 1, 1966 but before March 25, 1971 and have been living there since then, will have to register themselves under Section 18 to obtain Indian citizenship. will be.As a result, this provision set the last date for granting citizenship to Bangladeshi immigrants in Assam as 25 March 1971.Court said- We also had an important role in the formation of BangladeshCJI’s bench said- Keep one thing in mind, if the Parliament grants amnesty to only one group of illegal immigrants, then it is very different.  But it cannot be denied that Section 6A was implemented then which is linked to our history.  India had a very important role in the formation of Bangladesh, because like Bangladesh, we were also a part of the war and then people came to India illegally.Petitioner’s lawyer saidAdvocate Divan, appearing for several petitioners from Assam opposing the amended provision of the Citizenship Act 1955, said the amendment violated the basic structure of the Constitution which is based on secularism and brotherhood of the nation.  He said that there are more illegal immigrants in West Bengal than in Assam.  This provision was applied to Assam as if it were a license for outsiders to come and acquire Indian citizenship.Diwan also placed before the court excerpts of the report prepared by former Assam Governor SK Sinha on the threats posed by people coming to Assam from Bangladesh.  In which it was written that due to the arrival of illegal immigrants the district is turning into a Muslim dominated area.  After some time there may be a demand for their merger with Bangladesh.",None,None,None,None,The News Glory,bangladesh,2023-12-05 21:54:00,2023-12-05 22:24:00
https://thenewsglory.com/asia-cup-unsettled-leaders-india-lost-to-bangladesh-by-6-runs/,Asia Cup |  Unsettled leaders – India lost to Bangladesh by 6 runs,"Colombo: Bangladesh team has won the Asia Cup series by beating India by 6 runs.Chasing the target of 266 runs, the Indian team was in for a shock from the start.  Rohit Sharma lost his wicket in the second ball of the match.  Next, Tilak Verma 5 runs, KL Rahul 19 runs, Ishan Kishan 5 runs, Suryakumar Yadav 26 runs, Jadeja 7 runs, the Indian team players lost their wickets.  Despite the fall of wickets on one side, opener Shubman Gill played a responsible game.He collected runs by flying the available balls calmly to the boundary and crossed the century.  The Indian team went to a difficult position when he was also dismissed for 121 runs.  Akshar Patel and Shardul Thakur formed an alliance in the final stage.  But in the 49th over, both of them lost wickets and needed 12 runs in the last over to win. The first 3 balls were dot balls and Shami hit a boundary in the 4th ball.  But Shami was run out in the next ball and Bangladesh team won by 6 runs.  India lost all wickets for 259 runs.Bangladesh Team Innings: India won the toss and chose to bowl.  Accordingly, Muhammad Sami separated Tansit Hasan-Litandas, who started as the opening players of the Bangladesh team, in the 2nd over.  Liton Das walks for no run.  Shardul Thakur dismissed Tansit Hasan for 13 runs in the 3rd over.  The Bangladesh team lost 3 wickets in 6 overs and lost the wicket of Anamul Haq for 29 runs.Mehdi Hasan Miraz and Shakib Al Hasan vowed not to give up wickets again.  But Axar Patel broke their vow in the 13th over.  Mehdi Hasan is out for 13 runs.  On the other side, Shakib Al Hasan stood firm on his vow and added strength to the team.  He was supported by Tawheed Hridhoi who played together and added confidence to the team.  Shakib’s wicket of Shardul Thakur, who added 80 runs off 85 balls, gave the Indian team some relief.  At the end of the 34th over, Bangladesh added 161 runs for the loss of 5 wickets.Shamim Hossain scored 1 run, Tawheed scored 54 runs and Nasum Ahmed scored 44 runs as Bangladesh struggled in the end and added 265 runs for the loss of 8 wickets.  Tansim Hasan Saqib scored 14 runs and Mehidi Hasan scored 29 runs.  On the Indian side, Shardul Thakur took 3 wickets, Muhammad Shami took 2 wickets, Axar Patel, Jadeja, Prashit Krishna took 1 wicket each. ",None,None,None,None,The News Glory,bangladesh,2023-09-16 04:42:00,2023-09-16 05:12:00
https://thenewsglory.com/a-bangladeshi-newscast-has-the-first-female-newscaster-with-artificial-intelligence/,A Bangladeshi newscast has the first female newscaster with Artificial Intelligence,"It seems to be flesh and blood like Vicente Vallés or Ana Blanco himself, but on television it has always been said that Not everything is as it seems. Aparajita, the new late-night host of Channel 24 in Bangladesh, is not a person, and not even real, but the first TV host created and powered by Artificial Intelligence.In the last year there has been a huge boom in the use of AI for almost every aspect of our lives.  From training, work or entertainment, new ways of taking advantage of everything that this technology offers us do not stop emerging and almost every day a new use surprises us. In today’s case, as EFE points out, it is the first TV presenter with AI named Apajaritawho made a brief appearance during the evening news program on Channel 24, one of the most important in the country. As Channel 24 CEO Talat Mamun explained, the decision to use AI for his show was based on keep up with existing technologiessince these are constantly changing the ways of transmitting news. “Artificial intelligence is already a reality. We cannot ignore this reality. To keep up and adapt to new technology, we have decided to introduce an AI-generated newscaster,” he told EFE. During her brief first appearance, this AI greeted the co-hosts of the show for later. read your first news live. What we know is that it will not be the last, since as Mamun has confirmed, Apajarita will be a regular presenter of the news bulletins related to information technology. It is true that it is not the first AI to present or tell a story for a medium, since ‘Fedha’ appeared in Kuwait last year and just a few weeks ago in India I presented the news ‘Lisa’, but in the case of Apajarita is about the first live connection of an AI, something risky that this time went well. While automating tasks previously performed by humans can be a positive aspect in many cases, it is important that as technology destroys jobs, people design new tasks and tasks.  Replace people with machines without giving him other alternatives can be very dangerous and detrimental for the future. ",None,None,None,None,The News Glory,bangladesh,2023-07-20 20:00:00,2023-07-20 20:30:00
https://thenewsglory.com/ban-vs-eng-bangladesh-whitewash-england-in-t20-series-little-tigers-clinch-series-3-0/,BAN vs ENG |  Bangladesh whitewash England in T20 series: Little Tigers clinch series 3-0,"Dhaka: Bangladesh has whitewashed the current T20 world champion England cricket team 3-0 in the T20 series.  The win was recorded as one of the team’s historic wins.England won the toss and elected to bowl in the third and final T20I in Dhaka.  Batting first, Bangladesh scored 158 runs for the loss of 2 wickets in 20 overs.  Wicket keeper Liton Das scored 73 runs for the team.  Najmul Hussain Shando scored 47 runs.England chased down the target of 159 runs.  David Malan scored 53 runs and Buttler scored 40 runs.  Both were out on subsequent balls.  Buttler was run out.  After that, England struggled to score runs.  Moeen Ali, Ben Duckett and Sam Curran lost their wickets.At the end of 20 overs, England scored only 142 runs for the loss of 6 wickets.  Bangladesh won by 16 runs.  Bangladesh won the first two matches of the series by batting second.  Stopped the opponent from accumulating runs in the last match.  Shando won the man of the series award. ",None,None,None,None,The News Glory,bangladesh,2023-03-15 02:56:00,2023-03-15 03:26:00
