url,title,content,content_summary,title_translation,content_translation,summary translation,author,country,source_localtime,bangladesh_localtime
https://www.thequint.com/news/webqoof/false-communal-claims-about-murder-of-hindu-family-go-viral-fact-check,Murder of a Hindu Family in Bangladesh Given False Communal Spin,"A set of four graphic images of three corpses is being shared to claim that a Hindu family was allegedly killed by 'Islamists' in Bangladesh. Who shared it?: This claim was also shared by Rashtriya Swayamsevak Sangh (RSS)'s Organiser magazine. (We have not added the archives of this claim due to its graphic nature.) Is this true?: The claim is false and there are no communal links in the murder. Bangladesh's news organisations reported that the three deceased were killed by a family member, identified as Rajiv Kumar Bhowmik. The local police informed the press that the accused killed his uncle's family over a financial dispute.How did we find out?: We ran a keyword search in both English and Bengali using the names of the alleged deceased in the claim. We came across multiple news reports by Bangladeshi media outlets. According to a report by the Dhaka Tribune from 30 January, bodies of three members of a family were recovered from their house on the day in Sirajganj, Bangladesh. The deceased were identified as Bikash Sarkar, his wife Swarna Rani Sarkar, and their daughter Paramita Sarker alias Tushi. These are the same names mentioned in the viral claim.What happened?: Prothomalo reported on 31 January that the name of the accused is Rajiv Kumar Bhowmik, who is the nephew of the deceased.Rajiv has now been arrested by the Sirajganj police. During the interrogation, he revealed the reason behind the triple murder. After receiving a business capital of 20 lakh takas from his uncle, Rajiv repaid about 26 lakh takas, along with business dividends. However, his uncle demanded an additional 35 lakh takas earned from the business, pressuring him to give him the amount within a week.The deceased went on to scold Rajiv's mother. Frustrated by this, Rajiv planned to kill Bikash and his entire family.Police's statement: Upon conducting a keyword search in Bengali on YouTube, we came across a video by Channel i News from 31 January, which showed a press conference by the police.Speaking in Bengali, Sirajganj Superintendent of Police Arifur Rahman Mandal briefed the press and said that the cause of the murder was over ""financial transactions.""The accused's primary target was his ""mama"" (uncle), but after not finding him at his place, Bhowmik proceeded to kill his cousin and his aunt. His uncle was also killed after he returned.The police also recovered a rod, which was the murder weapon. It was thrown into a lake after the act.The police concluded and said, ""After compiling all manual and digital evidence alongside his testimony, we have concluded that Rajiv has committed the murders.""None of the news reports discussed a communal angle in this case. Even the police did not mention anything about any communal tensions. The Quint has also reached out to the Sirajganj police for further inputs and the story will be updated once the response comes. Conclusion: Clearly, the murder of a Hindu family by their own relative has been given a false communal angle. (With inputs from Ribhu Chatterjee.)(Not convinced of a post or information you came across online and want it verified? Send us the details on WhatsApp at 9540511818 , or e-mail it to us at webqoof@thequint.com and we'll fact-check it for you. You can also read all our fact-checked stories here.)(At The Quint, we are answerable only to our audience. Play an active role in shaping our journalism by becoming a member. Because the truth is worth it.)","The accused was identified as Rajiv Kumar Bhowmik, who is the nephew of the deceased. ",None,None,None,Khushi Mehrotra,bangladesh,2024-02-05 17:12:00,2024-02-05 17:42:00
https://www.thequint.com/sports/cricket/india-slip-down-below-bangladesh-in-wtc-points-table,India Slip Below Bangladesh in Latest WTC Points Table After Defeat to England,"India slipped down the World Test Championship (WTC) points table below Bangladesh in the latest rankings and are currently ranked at the number 5 after they suffered a drastic defeat to England in the opening Test match of the five match series by 28 runs.The stage was set for a gripping battle as India and England clashed in the opening Test match. India, led by Rohit Sharma, dominated the initial days, but Ollie Pope's resilience turned the game on its head. His masterful innings of 196 runs shifted the momentum, leaving India with a challenging target of 231 runs.As the dust settles, India finds itself slipping down the World Test Championship rankings to the fifth spot. The disappointment is palpable, especially considering their mixed performance in the ongoing tournament. With two wins, two losses, and a draw, the Indian team faces a critical juncture in the championship.Attention now turns to the upcoming Test match in Vizag, where redemption beckons for the home team. Shubman Gill, in the spotlight for his struggles at the No. 3 position, carries the weight of expectations. Having played five Tests without a half-century in that role, Gill faces a pivotal moment to prove his mettle and contribute to India's resurgence.(At The Quint, we are answerable only to our audience. Play an active role in shaping our journalism by becoming a member. Because the truth is worth it.)","India are currently placed 5th in the 2023-25 ICC #WTC points table, following their defeat to England in Hyderabad.",None,None,None,IANS,bangladesh,2024-01-29 17:25:00,2024-01-29 17:55:00
https://www.thequint.com/news/world/padma-shri-awardees-renowned-bangladesh-artist-and-four-french-citizens-honored,"Renowned Bangladesh Artist, 4 French Citizens Among Winners of Padma Shri Awards","On the eve of India's 75th Republic Day, the Indian government announced a list of 132 distinguished individuals as recipients of the Padma Awards for 2024.Among others, the list of names announced on Thursday, 25 January, featured renowned Bangladesh Rabindra Sangeet singer Rezwana Choudhury Banya and four French citizens, including 100-year-old yoga practitioner Charlotte Chopin.The fourth-highest civilian award, Padma Shri has been conferred upon  renowned Rabindra Sangeet singer Rezwana Choudhury Bannya. She is only Bangladeshi whose name was included in the list of Padma Awards announced by the Indian government on Thursday.Rezwana was born on 13 January 1957, in Bangladesh's Rangpur district. She first studied at Chhayanaut and then at Visva Bharati University in India.She was also awarded the prestigious ‘Bangabhushan’ by the West Bengal government and the Feroza Begum Memorial Gold Medal.The Bangladesh government had honoured her with an Independence Award in 2016 for contributions to music and for her promotion of Rabindranath Tagore’s music.In 2022, the Bangladesh government launched a website that preserved 5,000 songs by Rezwana, alongside a biography and photographs. This made her the first Rabindra Sangeet singer to receive the honour. Age is just a number, which holds true for the 100-year-old yoga exponent from France – Charlotte Chopin. She started to learn yoga after turning 50 and has been reportedly teaching yoga since 1982.In July 2023, Chopin met with Prime Minister Modi during his visit to France. In his radio broadcast 'Mann Ki Baat', PM Modi said that 'everyone should learn' from Chopin.This year, the Indian government awarded her the Padma Shri.Sanskrit scholar and the founder of the French Institute on Indian Culture at Pondicherry, Dr. Pierre Sylvain Filliozat was also conferred with Padma Shri. Born in 1936 in France, Dr. Pierre Sylvain Filliozat studied classical languages in Paris as well as in Vyakarana and Saivagama in Pondicherry. He has a PhD in Alankara Sastra.In 2013, he was awarded the ‘Maha-Mahopadhyaya’ by Lal Bahadur Shastri Sanskrit Vidyapeeth. In 2014, the president of India awarded him the ‘Certificate of Honour for Sanskrit’.Since 2012, Filliozat has celebrated ‘Sanskrit Day’ in Paris.Originally from Gujarat, Kiran Vyas founded the Tapovan Open University of Yoga and Ayurveda in 1982. Born in 1944 in pre-Independence India, he studied at Sri Aurobindo International Education Center in Pondicherry. Vyas worked at UNESCO in the 1970s in the educational sector.He then moved to France to make Ayurveda known in Europe. Vyas has been at the forefront of teaching the art of living for well-being and personal development for 40 years.French National Fred Negrit was conferred India's fourth highest civilian award, the Padma Shri, for literature.Head of Global Wheat Improvement at the International Maize and Wheat Improvement Center (CIMMYT) in Mexico, Dr Ravi Prakash Singh has dedicated almost 40 years to increasing food production across the globe. Born into an agrarian family in Uttar Pradesh, Singh did his schooling from Kendriya Vidyalaya in Varanasi. “My father, who was from a rural background, was very ambitious for me. He was a soil scientist at Banaras Hindu University (BHU), and had gone to the United Kingdom to pursue a Ph.D. So, he knew the value of a good education. That motivated me to work a little harder in school. Even my teachers were quite encouraging, which gave me the courage to pick up science for my B.Sc, which I pursued from BHU,"" Singh said.He earned his PhD from the University of Sydney at Australia in 1980. After completing his PhD, he moved to Mexico to join the International Maize and Wheat Improvement Center (CIMMYT) in 1983 for his post-doctoral studies.Currently the governor of the West New Britain Provincein Papua New Guinea, Sasindran Muthuvel was born in 1974. He did his schooling in Tamil and earned his degree in horticulture from the Tamil Nadu Agriculture University. In 1999, he moved to Papua New Guinea to explore business opportunities. In 2000, Muthuval started his career in retail and in 2007, he was given citizenship of Papua New Guinea. He later entered politics and was elected to Parliament in 2012.Foxconn Chairman Young Liu has been conferred with India’s third-highest civilian award – the Padma Bhushan.Liu founded three companies: Young Micro Systems in 1988, IC design company in 1995, and ITeX in 1997.Liu completed his BS in Electrophysics in 1978 from Taiwan's National Chiao Tung University. Then, he completed his MS in computer engineering in 1986 from the University of Southern California.(At The Quint, we are answerable only to our audience. Play an active role in shaping our journalism by becoming a member. Because the truth is worth it.)",Foxconn Chairman Young Liu has also been conferred with India’s third-highest civilian award – the Padma Bhushan.,None,None,None,The Quint,bangladesh,2024-01-26 14:42:00,2024-01-26 15:12:00
https://www.thequint.com/sports/cricket/u-19-world-cup-uday-saharan-led-india-register-84-run-triumph-over-bangladesh,U-19 World Cup: Uday Saharan-Led India Register 84-Run Triumph Over Bangladesh,"Team India registered a massive 84-run triumph over Bangladesh in their U-19 World Cup opener at the Mangaung Oval in South Africa on Saturday, 20 January.Put in to bat first, the men in blue posted a total of 251 runs at the loss of 7 wickets at the 50 overs. Opener Adarsh Singh and skipper Uday Saharan top scored for India as they notched 76 runs off 96 balls and 64 runs off 94 deliveries respectively. Other contributions came from middle-order batsmen Priyanshu Moliya (23 off 42) and wicket-keeper Aravelly Avanish (23 off 17). Sachin Dhas, the number 6 batter, added 26 runs off 20 deliveries as well.In response, the Tigers could only score 167 runs in 45.5 overs. Ariful Islam and Shibab James were the leading run-scorers, contributing 41 runs and 54 runs for their side, respectively. In the bowling department, Saumy Pandey shone with the ball, securing a four-wicket haul, while all-rounder Musheer Khan claimed two wickets.(At The Quint, we are answerable only to our audience. Play an active role in shaping our journalism by becoming a member. Because the truth is worth it.)",#IndvsBan | India thumped Bangladesh by 84 runs in their U-19 World Cup opener.,None,None,None,The Quint,bangladesh,2024-01-20 22:42:00,2024-01-20 23:12:00
https://www.thequint.com/sports/cricket/india-vs-bangladesh-u19-world-cup-2024-when-and-where-to-watch-ind-vs-ban-live-streaming,India U19 vs Bangladesh U19: When and Where To Watch IND vs BAN Live Streaming?,"IND vs BAN U19 Cricket World Cup 2024: U-19 team India is all set to clash with U-19 Bangladesh in the opening match of the tournament today on Saturday, 20 January 2024. The game will be played at the Mangaung Oval, Bloemfontein. Indian team led by Uday Saharan would definitely be high on confidence as they are counted among the best teams in the history of U-19 World Cup. The men in blue have so far won the U-19 World Cup title five times in 2002, 2008, 2012, 2018 and 2022.Currently, U-19 Indian team is placed in Group A along with USA, Bangladesh, and Ireland. By winning today's match, India would definitely aim to have a good start to the tournament. The men in blue will square off with Ireland and USA before making it to the finals. Let us check out India vs Bangladesh U-19 World Cup 2024 match date, time, venue, live streaming, squads, and telecast details below.The IND vs BAN U-19 world cup match will be played today on Saturday, 20 January 2024.The IND vs BAN U-19 world cup match will be played at the Mangaung Oval, Bloemfontein.The IND vs BAN U-19 world cup match will begin at 1:30 pm IST.The IND vs BAN U-19 world cup match will be live streamed on  Disney+Hotstar app and website.The IND vs BAN U-19 world cup match will be live telecasted on the Star Sports Network.India U-19 Squad: Uday Saharan (c), Aravelly Avanish Rao (wk), Saumy Kumar Pandey (vc), Murugan Abhishek, Innesh Mahajan (wk), Arshin Kulkarni, Adarsh Singh, Rudra Mayur Patel, Sachin Dhas, Priyanshu Moliya, Musheer Khan, Dhanush Gowda, Aaradhya Shukla, Raj Limbani, Naman Tiwari. (Reserves: Prem Devkar, Ansh Gosai, Mohamed Amaan).Bangladesh U19 Squad: Mahfuzur Rahman Rabby (c), Ahrar Amin, Sheikh Parvez Jibon, Rafi Uzzaman Rafi, Rohanat Doullah Borson, Iqbal Hasan Emon, Wasi Siddiquee, Ashiqur Rahaman Shibli, Jishan Alam, Chowdhury Md Rizwan, Adil Bin Siddik, Mohammad Ashrafuzzaman Boranno, Ariful Islam, Shihab James,and Maruf Mridha.(At The Quint, we are answerable only to our audience. Play an active role in shaping our journalism by becoming a member. Because the truth is worth it.)",India vs Bangladesh U-19 World Cup 2024: Know the live streaming and telecast details of IND vs BAN match today.,None,None,None,Saima Andrabi,bangladesh,2024-01-20 11:41:00,2024-01-20 12:11:00
https://www.thequint.com/opinion/bangladesh-hasinas-win-a-relief-for-india-but-will-america-spoil-the-party,"Bangladesh: Hasina's Win a Relief for India, but Will America Spoil the Party?","Sheikh Hasina’s landslide victory in Bangladesh and her re-election for a fourth straight term as prime minister means an awful lot to New Delhi, especially after the rout of pro-India Ibrahim Solih at the hands of China-friendly Mohamed Muizzu in the Maldives a few months ago.Both Bangladesh and Maldives are in India’s immediate neighbourhood where New Delhi naturally wants friendly heads of state who would give top priority to India’s national interests and keep China, our biggest adversary, at arm’s length.As the 60-plus Independent MPs are in reality Awami Leaguers who were ordered to contest to make the polls appear inclusive, Hasina’s party has roughly 290 lawmakers, which is bizarre!Not surprisingly, Prime Minister Narendra Modi was the first world leader to telephone Hasina to congratulate her, flagging their warm personal ties and New Delhi’s high stakes in her triumph. Modi called her barely 30 minutes after chief election commissioner, Kazi Habibul Awal, formally declared the results.India’s High Commissioner, Pranay Verma, too beat all other ambassadors in Dhaka in presenting her a bouquet! Verma called on her before China’s envoy Yao Wen or Russia’s Alexander Mantytsky could, although both Beijing and Moscow backed her to the hilt in the run-up to the one-sided polls delegitimised further by the abysmally low 40 percent turn-out.Hasina, who has been in power since January 2009 without a break, is already the longest-serving head of state in South Asia. After helming Bangladesh for 15 years, now she is all set to break Jawaharlal Nehru’s record who was Prime Minister of India for 16 years, from 1947 to 1964 when he passed away. She has already left women leaders like India’s Indira Gandhi, Sri Lanka’s Srimavo Bandaranaike, Israel’s Golda Meir, and Britain’s Margaret Thatcher far behind by winning election after election.India can rest assured that for the next five years, terrorists are unlikely to sneak in through the 4000 km-plus frontier to wreak havoc. Connectivity, transshipment, and transit facilities to fast-track the economic development of the northeast are also assured. All in all, India knows that Hasina will grant it anything it desires, like the genie in the story of Aladdin.But India today faces two potential challenges in Bangladesh. Firstly, as Bangladesh’s friend, a clampdown by the United States and its Western allies on Hasina for conducting elections with the sole purpose of getting herself re-elected, will have consequences for India. A rift between Washington and New Delhi over Bangladesh will hurt India’s strategic and economic interests. Secondly, if the US-led West comes down hard on Hasina's government, Dhaka will inevitably seek comfort in China’s arms, weakening India’s hold over Bangladesh.As things stand, there is a strong possibility of the US giving Bangladesh a torrid time for holding sham elections. Within 24 hours of Modi congratulating Hasina for a job well done, the US State Department bluntly said that elections in Bangladesh were not free or fair. The State Department’s press statement stressed that “not all parties participated”, condemned the violence during elections as well in the months leading up to it, and told Dhaka to hold the perpetrators accountable.After such trenchant criticism, there is a high probability of the US clamping sanctions on Bangladesh as it had taken, along with the European Union and Western governments, a sharply critical view in the run-up to the polls, with Washington even warning of a visa ban on Bangladeshi government officials undermining credible elections.I see a distinct possibility of the US, the largest buyer of Bangladesh’s ready-made garment (RMG) multibillion-dollar industry, imposing trade sanctions for holding sham elections. Last month, a key garment supplier to the US was warned of sanctions in a letter of credit (LC) by a US buyer. According to published reports, the letter said that the buyer would not be liable for payment for a shipment in the event of the US government imposing trade sanctions.Sanctions on a key revenue earner like RMG will hit Bangladesh’s already stuttering economy hard and create hurdles for foreign direct investments and trade partnerships. The resultant unrest and political instability might drive the new government lacking the people’s mandate, to resort to repressive measures triggering a countrywide backlash against the Hasina regime propped up by a one-sided election. And God forbid, if Bangladesh burns, it will be a major challenge for India to insulate itself from the fire.(SNM Abdi is a distinguished journalist and ex-Deputy Editor of Outlook. This is an opinion article and the views expressed are the author’s own. The Quint neither endorses nor is responsible for them.)(At The Quint, we are answerable only to our audience. Play an active role in shaping our journalism by becoming a member. Because the truth is worth it.)","If the US-led West comes down hard on Hasina's government, Dhaka will inevitably seek comfort in China’s arms.",None,None,None,SNM Abdi,bangladesh,2024-01-09 22:15:00,2024-01-09 22:45:00
https://www.thequint.com/opinion/bangladesh-election-whats-next-for-sheikh-hasina-awami-league-bnp-boycott-india-us-china,"After Bangladesh Win, What’s Next for Sheikh Hasina, at Home and Abroad?","With so much attention on Bangladesh’s controversial election, it’s easy to overlook all the challenges confronting Prime Minister Sheikh Hasina post-polls. She’ll have her hands full with both security and foreign policy—though her job will be somewhat easier on the foreign policy front, where much of the non-Western world will welcome her return. One of Hasina’s most immediate challenges will be managing the risks of post-election unrest. The polls have exacerbated the country’s dangerous political polarization. The AL is galvanized by its victory, while the BNP is angry and aggrieved. A key signpost to watch will be the BNP’s next move. Will it lay low, or try to mount resistance? With many of its leaders and supporters now in jail, it may initially opt for the former option. But it has showed in the recent past that crackdowns haven’t eliminated its mobilization capacities.Another key signpost is Hasina’s next move. If she were to make concessions—such as ordering the release of some jailed BNP leaders—that could reduce tensions, even if only modestly. But she appears in no mood for reconciliation: On election day, she described the BNP as a terrorist organization (separately, the government has recently warned of a newly established and banned terror group called Jamaatul Ansar, but the threat doesn’t appear that serious). Hasina must be careful: If the BNP resumes street protests, perhaps to exploit growing public anger over economic stress (as it did in December 2022), Hasina may be tempted to crack down hard—and any resulting unrest, especially if serious and sustained, could deter donors and investors that Dhaka badly needs amid rising inflation, debt, and other economic stress.Another longstanding flashpoint, the India-Bangladesh border, appears to be under control, especially with warm bilateral ties enabling border security cooperation that has reduced threats on both sides. But it remains delicate, especially if Hasina’s close personal ties with Narendra Modi fan more anti-India sentiment among the Bangladesh public (parts of which have previously railed against Modi and his policies). Ironically, one of Hasina’s closest partnerships is also linked to a key, albeit presently under control, security challenge. It’s telling that within hours after the announcement of the election result, the ambassadors of India, China, and Russia issued formal congratulations to Hasina. This is reflective of a broader trend: In South Asia and the broader Global South, many countries will welcome her return. (Pakistan, for well-known historical reasons as well as its uneasiness about Hasina’s closeness to Modi, may be one of the only exceptions—but Islamabad was one of the first capitals to congratulate Hasina. Amid political and economic turmoil at home, the last thing Pakistan can afford to do is pick a fight with Dhaka).Bangladesh’s strong economic growth under Hasina offers new trade opportunities, as well as financial assistance—which Sri Lanka received during a dark economic hour in 2021. Hasina’s push for connectivity resonates with Bhutan, India, Nepal, and Sri Lanka, all of whom are pursuing new infrastructure initiatives with Dhaka. More broadly, her country’s continued contributions to global peacekeeping missions, and her willingness to host hundreds of thousands of Rohingya refugees, have endeared her to many Global South governments.Hasina’s biggest foreign policy challenge will be the West. The countries that pressured Bangladesh the most about free and fair elections are its critical Western trade partners. The US is Bangladesh’s top export destination—for garments and everything else. Pre-election, Hasina proudly and publicly defied the pressure—due to considerations about a domestic political audience, but also her own longstanding grievances about US policy—going back to Washington’s support for Pakistan in the 1971 war.  However, she’ll need to be careful not to risk upsetting relations with Western trade partners—especially amid economic stress. There’s also the risk of the US, having seen its various pressure tactics for free and fair elections—issuing strong public messaging, cajoling different parties to work out their differences, imposing visa restrictions—fail to bear fruit, and resorting to harsher tactics that could hit Bangladesh hard. That includes trade sanctions. Ominously, the day after the election, a State Department statement asserted that the polls “were not free and fair.” However, the West may do Hasina a favor. It values its trade relations with Bangladesh, and it views the country—situated on the Indian Ocean in the heart of the Indo-Pacific—as a strategically significant state, especially with it becoming a battleground for great power completion. Washington made Bangladesh a test case for its values-based foreign policy, but post-election it may let interests-based considerations carry the day. The State Department statement suggested as much, noting that the US “remains committed to partnering with Bangladesh.” Hasina faces other foreign policy challenges, too. Relations with South Asia could experience some bumps if other regional states, uneasy about India’s disproportionate clout in the region, grow wary of her attachment to Modi—and if Bangladesh’s ongoing economic problems diminish prospects for trade and connectivity cooperation.Another challenge for Hasina will be minimizing the risks of growing instability in the Middle East to key interests back home. Aside from friendly relations with most Arab states and longstanding membership in the Organization of Islamic Cooperation, Dhaka has little diplomatic heft in the Middle East. But, like India and Pakistan, Bangladesh relies heavily on remittances and energy supplies from the region. At a moment of economic struggle and power shortages, their importance looms especially large. These are all weighty matters. But in order to give them the time and attention they deserve, Hasina will first need to ensure that the political powder keg back home doesn't spin out of control—especially with the looming threat of worsening economic stress.(Michael Kugelman is director of the South Asia Institute at the Wilson Center in Washington, DC. This is an opinion piece. The views expressed are the author’s own. The Quint neither endorses them, nor is responsible for them.)(At The Quint, we are answerable only to our audience. Play an active role in shaping our journalism by becoming a member. Because the truth is worth it.)",One of Hasina’s most immediate challenges will be managing the risks of post-election unrest.,None,None,None,Michael Kugelman,bangladesh,2024-01-09 10:15:00,2024-01-09 10:45:00
https://www.thequint.com/news/world/bangladesh-elections-2024-voting-results-live-updates-sheikh-hasina-abdul-moyeen-khan-shojol-hossain-awami-league-bnp-dhaka-latest-news,Bangladesh Elections 2024: Sheikh Hasina Wins Fifth Term in Polls Boycotted by Opposition ,"Bangladesh Elections Voting LIVE Updates: Prime Minister Sheikh Hasina and her party, Awami League, won a fourth consecutive and fifth overall term in the 7 January general election after the main opposition, Khaleda Zia-led Bangladesh Nationalist Party (BNP), boycotted the polls.While counting is still underway, the incumbent Awami League has won 200 seats in the 300-seat Parliament, according to PTI.The Bangladesh polls officially came to a close at 4 pm local time (3:30 pm IST) on Sunday, 7 January, with a meagre 40 percent voter turnout being recorded. The region saw incidents of political unrest leading to Sunday’s general election with polling booths were set ablaze on the eve of the vote, and four people, including two children, being killed in an arson-related train fire. Former PM Khaleda Zia's Bangladesh Nationalist Party (BNP) has boycotted the elections after Hasina refused to step down and allow a caretaker government to take over.The BNP called for a 48-hour nationwide general strike starting Saturday , demanding the resignation of the ""illegal government"" of Prime Minister Sheikh Hasina and protesting against the 7 January general election.(At The Quint, we are answerable only to our audience. Play an active role in shaping our journalism by becoming a member. Because the truth is worth it.)India's High Commissioner to Bangladesh Pranay Verma conveyed, on behalf of the Government of India and Prime Minister Narendra Modi, warm greetings and congratulations to to Bangladesh PM Sheikh Hasina on her victory in the election. Verma expressed hope that during the new term of her government, there will be even stronger momentum and growth in the bilateral partnership in support of each other’s national development, news agency ANI reported. District's chief administrator Abu Naser Beg said that the 36-year beat his rival by a margin of more than 150,000 votes in the Magura-1 constituency. Bangladesh's Prime Minister Sheikh Hasina's ruling Awami League has ""won the election"", an Election Commission spokesperson was quoted as saying by news agency AFP in the early hours of Monday morning, 8 January.However, an official announcement by the country's Election Commission is yet to be made.While counting is still underway, the PM Sheikh Hasina-led Awami League has won 200 seats in the 300-seat Parliament, according to PTI.",Incumbent PM Sheikh Hasina's win meant she continues to be the world’s longest-serving female head of government.,None,None,None,The Quint,bangladesh,2024-01-08 16:59:00,2024-01-08 17:29:00
https://www.thequint.com/opinion/bangladesh-election-new-lease-of-life-for-sheikh-hasina-awami-league-bnp,Bangladesh Election: A New Lease of Life for Sheikh Hasina and the Awami League,"As the results of the 12th general election emerged overnight after an eight-hour ballot exercise in over 42,000 voting centres across Bangladesh, the country’s four-time prime minister, Sheikh Hasina, must have been casually waiting to take up the same job for the next five years.The election results, for a 119 million voters in a country of 170 million, were seen as a fait accompli.With the country’s main opposition party — Begum Khaleda Zia's Bangladesh Nationalist Party (BNP) — choosing not to participate in what it dubbed a 'dummy election', everyone knew that the result was a foregone conclusion. And that is what happened. The ruling Awami League (AL) emerged victorious.Official results and gazettes are unlikely to come out until later in the day on Monday, but the unofficial results released by the Election Commission show that the AL bagged 223 out of 299 seats in the Jatiya Sangsad (Bangladesh's parliament). Voting for one of the seats was withheld due to the death of a candidate.The Jatiya Party of late autocrat General H M Ershad, known for its dubious double role of being a coalition partner of the AL and also a pet opposition, appears to be the biggest loser of the contest, with its seats reduced to less than half, that is, only 11 seats. Though the AL gave a 'walkover' to the Jatiya Party by not fielding its own candidates in as many as 26 constituencies, the other AL leaders who chose to contest as independent candidates gave the Jatiya Party nominees a hard time.The AL's efforts to pit their own as independent candidates against official party nominees paid off in terms of voter turnout. What many feared would be a very low number, the election eventually managed to have least 40 per cent (according to official numbers) of voters coming out.But the several 'King's parties' that fielded hundreds of candidates in 300 constituencies, understandably with the blessings of the party in power, did not manage to secure a single seat.Given that 60 per cent of eligible voters did not cast their votes on Sunday, the BNP claims that it succeeded in its call to the people to boycott. The BNP and its allies wouldn’t accept the new government and vowed to continue the movement for holding a fresh election under a neutral, non-partisan, caretaker government.Of the 12 national elections that Bangladesh had had since 1973, four were held under a non-partisan caretaker administration, that is, in 1991, 1996, 2001 and 2008; and those were arguably the best ones in terms of electoral neutrality and fairness.After the questionable elections held under the AL government in 2014 and 2018, with lots of allegations around rigging, the BNP and its allies made fervent calls and staged protracted street agitations seeking a caretaker government to administer the 2024 elections but the AL didn’t budge .Though there isn’t much question over the fairness of yesterday's election, it will go a long way in the country’s history of noninclusive, non-participatory elections. The new lease of life that the AL gained out of this election will inevitably lead to more rifts in Bangladesh's perennial political divide.For now, Sheikh Hasina, the world's longest-serving female head of state, is all set to take oath as prime minister of a country she has already ruled for a good 20 years.(Reaz Ahmad is the Executive Editor of the Dhaka Tribune. This is an opinion piece and the views expressed are the author’s own. The Quint neither endorses nor is responsible for them.)(At The Quint, we are answerable only to our audience. Play an active role in shaping our journalism by becoming a member. Because the truth is worth it.)","Given that 60% of eligible voters didn’t vote in the election, the BNP claims that its boycott succeeded. ",None,None,None,Reaz Ahmad,bangladesh,2024-01-08 12:25:00,2024-01-08 12:55:00
https://www.thequint.com/photos/bangladesh-general-election-2024-voting-photos,"In Photos: Amid Opposition Boycott, Bangladesh Votes in 2024 General Election",Content not found,Sheikh Hasina and her Awami League are slated to win a 4th consecutive and 5th overall term in the Bangladesh polls.,None,None,None,Jibon Ahmed,bangladesh,2024-01-07 18:35:00,2024-01-07 19:05:00
