country,author,url,title,timestamp,date,date_str,content,content_summary
India,ABP News Bureau,https://news.abplive.com/sports/football/india-declared-saff-u19-champions-coin-toss-decision-reversed-later-1663043,"India Declared SAFF U19 Champions On Coin Toss, Decision Reversed Later","February 09, 2024, 12:20 PM",2024-02-09,9-2-2024,"SAFF U19 Women's Championship: India and Bangladesh have been declared as the joint winners of the South Asian Football Federation's Under19 Women's Championship amidst huge controversy, in which India was earlier declared the winner of the tournament via a coin toss. This led to a huge protest from the Bangladesh contingent as they were left hanging high and dry by the unfair call made by the officials. Now, after a very long troubled process, the trophy has now been shared. India and Bangladesh declared joint champions of SAFF U19 Women's Championship! Match report 👉🏻 https://t.co/jWpTcLgzm6#U19SAFFWomens 🏆 #YoungTigresses 🐯 #IndianFootball ⚽️ pic.twitter.com/YhrubNIleQ  “India despite being declared winners after the spin of coin, decided to accept the officials request for sharing the trophy as the situation was simmering and a section of the home fans was found indulging in creating disturbances. Since the security of the players and other team officials is our utmost priority, the AIFF decided to agree to the request of the organisers,"" said M Satyanarayan, AIFF Acting Secretary-General. India Women U19 Vs Bangladesh Women U19 - SAFF Women's Championship Final - Match Report India and Bangladesh faced off in the final at BSSSMK Stadium on Thrusday, February 8. The young Tigresses were seeking a revenge over the hosts as they had earlier lost to the same opposition 1-0 in the group stages. The revenge was on the mark in a perfect manner as Sibani Devi scored an early goal to silence a highly active and loud crowd of Bangladeshi's as they came in good number to support their Under 19 Women's team. India were seconds away from clinching their fourth title but a 90+4th minute equaliser by Mosammat Sagarika levelled the scoring and saved the day for Bangla Tigresses. Both teams went to penalty shootout and converted all 11 of their shots as keepers from both the sides failed to save even one penalty. However, it was during the coin toss for the winner that the chaos erupted as Bangla fans went violent and Indian side had to rush inside the dressing room and after a chaotic affair consisting of violence and protests, both teams agreed to share the trophy.",Indian Women team will now share the trophy with Bangladesh team after controversial toss decision was reversed. Read below.
India,Nayanima Basu,https://news.abplive.com/india-at-2047/anti-india-sentiment-in-bangladesh-diminishing-foreign-minister-mahmud-1662951,"Anti-India Sentiment In Bangladesh Diminishing, Says Foreign Minister Mahmud","February 08, 2024, 08:45 PM",2024-02-08,8-2-2024,"India-Bangladesh: Bangladesh Foreign Minister Hasan Mahmud Thursday said the anti-India sentiments in his country are “diminishing” even as he expressed his gratitude to New Delhi for the “continuation of democracy” there which was marked by the comeback of Prime Minister Sheikh Hasina for the fifth time. Bangladesh has been witnessing a sudden spike in anti-India campaign there which is apparently been driven by the opposition party there, the Bangladesh Nationalist Party (BNP) and it’s primary ally Jamaat-e-Islami party. The anti-India sloganeering in Bangladesh has taken similar tone like in Maldives as they are also calling for an ‘India-Out’ campaign. “The anti-India sentiments there are diminishing… Anti-Indian elements are there in Bangladesh and those who spread that issue they try to utilise anti-India sentiments time to time but it is diminishing,” said Mahmud, a senior leader of the ruling Awami League party, addressing reporters at the Foreign Correspondents’ Club of South Asia. He said there are number of protests happening in Bangladesh almost every day as it is a “free society” and people have the right to protest. He said many such protests take place “anti-US, anti-China, anti-India.” The Foreign Minister said the important aspect about the bilateral ties is growing trade between India and Bangladesh. He highlighted that it was due to India that Prime Minister Hasina could come back to power and it was “India’s assistance” that helped Bangladesh in “continuation of democracy” there. “India was beside us for continuation of democracy,” he said, adding that the BNP-Jamaat coalition did not leave any stone unturned to disrupt the democratic process of holding elections there. He also spoke about the violence unleashed by BNP-Jamaat, including attacking the residence ofChief Justice Obaidul Hassan, which was unprecedented. Mahmud added, “The current opposition party BNP and Jamaat has been trying to disrupt the democratic process. Despite all the hurdles democracy is thriving and inequality is reducing.” The minister said during his two-day visit to New Delhi he discussed the Rohingya refugee issue with External Affairs Minister S. Jaishankar as well as National Security Advisor Ajit Doval. He said India and Bangladesh should “work together” in this matter and addressing the rising security challenges emanating from Myanmar. He also said that like India Bangladesh is also facing issues of Myanmar security forces entering Bangladesh and taking refuge there. “We had 340 Myanmar border guards and soldiers entering Bangladesh. On this issue we should work together (with India). We are in discussion with Myanmar also and they are willing to take them back,” he added. He said during the visit India and Myanmar also discussed the issue of We discussed the issue of killings of Bangladesh border guards. “We are working on that,” he stressed. When asked about Bangladesh allowing China top “Fake news, completely bogus” … “Relationship with India is comparable to none.” Mahmud will be meeting Commerce Minister Piyush Goyal on Friday. However, he was unable to meet Prime Minister Narendra Modi, which was on his itinerary. On Friday, Mahmud will be going to Kolkata from where he will be leaving for Dhaka. During this visit, Bangladesh again raised the issue of Teesta River water dispute that has remained in limbo since 2011 due to stiff opposition from West Bengal Chief Minister Mamata Banerjee. Water is a state subject in India.","Hasan Mahmud, who is currently on his maiden visit to India as Bangladesh’s Foreign Minister, Thursday thanked India’s for ‘continuation of democracy’ in that country."
India,Nayanima Basu,https://news.abplive.com/india-at-2047/bangladesh-once-again-cries-foul-over-rohingya-issue-with-india-1662706,Bangladesh Once Again Cries Foul Over Rohingya Issue With India,"February 07, 2024, 11:22 PM",2024-02-07,7-2-2024,"New Delhi: Foreign Minister of Bangladesh Hasan Mahmud Wednesday once again discussed the issue of growing number of Rohingya refugees in that country and how it has become a security challenge for Dhaka during his maiden visit to India in the current capacity. The two-day visit began Tuesday during which time Mahmud met External Affairs Minister S. Jaishankar and National Security Advisor Ajit Doval. Mahmud, a senior leader of the ruling Awami League party of Bangladesh, arrived in New Delhi on Tuesday. This was his first official bilateral visit since assuming charge. On Wednesday the External Affairs Minister held delegation-level talks with him and also hosted a dinner in his honour. In both his meetings with Jaishankar as well as Doval, he raised the issue of Rohingya refugees and how that has the potential to become a greater threat for both the countries. “The situation in Myanmar is a worrying factor for both countries because we share a border with Myanmar. We discussed the issue with the NSA because for regional peace and stability, it is important that peace prevails in Myanmar,” said Mahmud addressing reporters. He also said, “We have given them shelter. We are in consultations with Myanmar and requesting them to take them back. Our ambassador in Myanmar has met with the foreign minister of Myanmar and they have agreed to take them back. How they will take them back – through a ship or by air – that is a question of discussion.” This is not the first time that Bangladesh has raised the matter with India. In fact, Mahmud’s predecessor AK Abdul Momen had been discussing this issue with India for the past five years even as the number of Rohingya refugees coming into that country has been swelling ever since the Myanmar military coup took place in February 2021. Dhaka has repeatedly asked New Delhi to speak to the government of Myanmar on behalf of them to settle the matter. Currently, a whopping 1.2 million Rohingya refugees are living in Bangladesh’s Cox Bazar area. After his meeting with NSA Doval, Mahmud said on X, ""I had excellent meeting with national security advisor of India Mr. Ajit Doval. We discussed numberof security issues including Rohingya issue. It was really an excellent meeting."" Earlier this month Doval undertook a quiet visit to Bangladesh as India is facing greater security threats in the northeast region which is also witnessing massive influx of Myanmar citizens as well as security forces in states like Manipur, Mizoram and Nagaland. Bangladesh has now decided that it will not accept anymore Rohingya refugees in the country. There have been growing incidents of violence and clashes along the Bangladesh-Myanmar border. This has led to Myanmar forces and border guards taking shelter in Bangladesh. On Tuesday, Bangladesh lodged a strong protest over the death of Bangladeshi nationals from mortar shells and bullets fired from Myanmar side in the border areas. According to Mahmud, he will continue with the same agenda as his predecessor did. Mahmud was appointed as the Foreign Minister of Bangladesh after Prime Minister Sheikh Hasina came back to power for the fifth time by winning a landslide victory in January this year. According to the Ministry of External Affairs, both Mahmud and Jaishankar, “reviewed the progress in wide-ranging areas of bilateral relations, including cross-border connectivity, economic and development partnership, cooperation in defence and security, power, energy, water resources and people-to-people exchanges.” The MEA also said, both the ministers discussed areas of future engagement in line with the national development goals of the two countries, including the visions of ‘Viksit Bharat 2047’ and ‘Smart Bangladesh 2041’. “The visit of Foreign Minister of Bangladesh to India is part of the on-going high-level exchanges between the two countries and has enabled both sides to chart out the course of their forward-looking engagement during the new term of the Government in Bangladesh,” said the MEA.",During his first visit to India as the new Foreign Minister of Bangladesh Hasan Mahmud said the Rohingya issue has become a security challenge for the country.
India,Mohammad Salman,https://news.abplive.com/fact-check/hindu-family-murder-in-bangladesh-sparks-false-communal-claim-of-hindu-muslim-1662550,Fact Check: Hindu Family's Murder In Bangladesh Sparks False Communal Narrative,"February 07, 2024, 03:05 PM",2024-02-07,7-2-2024,"What is the claim? Images and claims concerning the murder of a Hindu family in Bangladesh have been circulating on social media, attributing the act to communal violence. These claims, accompanied by distressing images of the victims, have sparked widespread attention and concern.(Note: Due to the sensitive nature of these visuals, we have chosen not to include links to the original posts or archived versions.) A post on X (formerly known as Twitter) claimed, ""In Bangladesh, three members of the same Hindu family were murdered by Islamists by beheading them at home."" This post received significant engagement, with over 16,000 views. Another user shared images with a caption alleging that Islamists killed a Hindu leader's family in Sirajganj. The victims were identified as Bikash Sarkar, Swarna Sarkar, and their daughter, Parmita Sarkar Tushi. However, we found that the claim is false. The accused, as well as the victims, are from the same family – identified as Vikas Sarkar, his wife Swarna Rani Sarkar, and their 15-year-old daughter. How did we verify this? In our investigation, we discovered comments from Shonahur Rehman, a fact-checker based in Bangladesh, on a viral post. He clarified that the incident lacked a communal angle, identifying the accused as the deceased man's nephew, Rajiv Kumar Bhoumik. A search in English and Bangla led us to various news reports concerning the incident. The Daily Star, on January 31, 2024, reported the arrest of Rajiv Kumar Bhoumik for the murder of three family members in Sirajganj's Tarasha. The article cited Sirajganj Police Superintendent Arifur Rehman, who stated that Rajiv confessed to committing the murders due to his inability to repay a loan of 35 lakh Bangladeshi Taka owed to his maternal uncle. The victims were identified as Vikas Sarkar (46), his wife Swarna Rani Sarkar (42), and their 15-year-old daughter. A murder case was filed by Sukomol Chandra Saha, Swarna Rani Sarkar's brother, at the Tarash police station. The murder received extensive coverage in major Bangladeshi media outlets, including the Daily Star English, Financial Express, and Daily Observer, all of which reported Rajiv Bhoumik as the accused. A local fact-checker shared some of these reports with us. A press conference conducted by Arifur Rahman, the Superintendent of Police, was posted on the YouTube channel of Channel i News on January 31, 2024. In the video, the Superintendent also named the deceased’s nephew as the accused. The verdict Our investigation conclusively demonstrates that the claim of Muslims brutally murdering a Hindu family in Bangladesh is false. The accused is the deceased man's nephew, with the police citing the inability to repay his uncle's debt as the motive. This incident does not have a communal aspect. (Translated by Azra Ali.) (This report first appeared on logicallyfacts.com, and has been republished on ABP Live as part of a special arrangement. Apart from the headline, no changes have been made in the report by ABP Live.)",The news of a Hindu family's murder is being circulated with the false claim of the crime being a communal act.
India,ABP News Bureau,https://news.abplive.com/sports/cricket/bangladesh-premier-league-2024-updated-points-table-highest-run-scorers-wicket-takers-babar-azam-1662338,"Bangladesh Premier League 2024: Updated Points Table, Highest Run Scorers, Wicket Takers","February 06, 2024, 05:28 PM",2024-02-06,6-2-2024,"Bangladesh Premier League 2024: The Bangladesh Premier League 2024 is in its 10th edition and amidst the controversy constantly looming around its matches and fixing allegations, the league continues to progress with zero hindrance and is providing fans with some spectacular moments. With the league entering its final phase of group stage and playoffs to follow, the things are spicing up in the Bangladeshi league. The updated statistics for Bangladesh Premier League 2024 are as follows:  Bangladesh Premier League 2024: Updated Points Table  1. Rangpur Riders: The Riders sit first with 10 points in 7 matches, and have won 5 and lost 2 so far. They have a net run rate of +1.462. 2. Khulna Tigers: The Tigers sit second with 8 points in 5 matches, and have won 4 and lost 1 so far. They have a net run rate of +1.023. 3. Chattogram Challengers: The Challengers sit third in the table with 8 points in 6 matches, as they have won 4 and lost 2 so far. They have a net run rate of -0.345. 4. Comilla Victorians: The Victorians sit fourth with 6 points in 5 matches, and have won 3 and lost 2 so far. They have a net run rate of +1.197. 5. Fortune Barishal: The Barishal sit fifth with 6 points in 6 matches, and have won 3 and lost 3 so far. They have a net run rate of +0.284.  6. Sylhet Strikers: The Strikers sit sixth with 2 points in 7 matches, and have won 1 and lost 6 so far. They have a net run rate of -1.535. 7. Dhaka Dominators: The Dominators are at the bottom of the table sitting with 2 points in 6 matches, and have won 1 and lost 5 so far. They have a net run rate of -1.710.  Bangladesh Premier League 2024: Highest Run Scorers  1. Babar Azam (Rangpur Riders): 251 runs in 6 innings 2. Mushfiqur Rahim (Fortunate Barishal): 228 runs in 6 innings 3. Zakir Hasan (Sylhet Strikers): 193 runs in 7 innings 4. Avishka Fernando (Chattogram Challengers): 174 runs in 6 innings 5. Mohammad Naim (Dhaka Dominators): 156 runs in 6 innings  Bangladesh Premier League 2024: Highest Wicket Takers  1. Mahedi Hasan (Rangpur Riders): 12 wickets in 7 innings 2. Shoriful Islam (Duranto Dhaka): 10 wickets in 6 innings 3. Richard Ngavara (Sylhet Strikers): 10 wickets in 6 innings 4. Tanvir Islam (Comilla Victorians): 9 wickets in 5 innings 5. Shakib Al Hasan (Rangpur Riders): 9 wickets in 6 innings","Here is the list of updated points table, highest run scorers and wicket takers from Bangladesh Premier League 2024. Read below."
India,PTI,https://news.abplive.com/sports/football/can-not-expect-national-team-to-do-wwell-in-afc-asian-cup-when-best-isl-clubs-are-losing-to-bangladesh-malaysia-igor-stimac-1661835,"Can't Expect National Team To Do Well In AFC Asian Cup When Best ISL Clubs Are Losing To Bangladesh, Malaysia: Stimac","February 04, 2024, 06:58 PM",2024-02-04,4-2-2024,"New Delhi: India football head coach Igor Stimac feels the national team cannot be expected to shine in tournaments like the Asian Cup until the best clubs of the country keep losing to sides from Bangladesh and Maldives. In the report he submitted to the All India Football Federation (AIFF), Stimac said the national team's performance in the Asian Cup in Doha, where it suffered three losses, was ""disappointing but not unexpected"". ""I'm truly realistic person ...and for now we should be happy and satisfied when continuously participating at the AFC Asian Cup. The reason for saying that is very simple and logical,"" Stimac wrote in his report. ""...how to expect our NT (national team) to do well while our best ISL teams are losing heavily in AFC Champion League and suffering defeats in AFC Cup club competitions against teams from Bangladesh and Maldives?"" Stimac was spot on in his comments as Indian clubs rarely make it to the knock-out rounds of the continental level tournaments. He also said that India was the only country among the 24 participants in the Asian Cup without a single player playing in a major football league in the world. ""How we can expect more from our boys if we had never in our history qualified for the Asian Cup in U18/U20/U23? If we are so much behind others in under age groups than qualifying with senior NT is already huge achievement,"" the experienced Croatian coach said. Stimac was also critical of the AIFF administration for not providing the available tools to strengthen the national team as other countries do. ""Apart from Australia, South Korea and Japan (most of their players are playing in best European leagues), all other participating teams had average time of 27 days for preparation for the AFC Asian Cup. We had only 13 days,"" Stimac rued. ""We were the only team at the tournament without GPS equipment which made our job really difficult. Apart from that it affects the players when they see that basic training equipment is missing and we can't measure training effectiveness or neither prevent certain injuries."" He reiterated that the team was also weakened by the absence of Ashique Kuruniyan, Jeakson Singh and Anwar Ali. Another key player, Sahal Abdul Samad, was available only for the last game against Syria. ""(They) were giving our team stability in all aspects of the game (physical, technical, tactical and mental). Not having them fully fit for such important tournament was irreplaceable loss. ""Most of Bengaluru and Mohun Bagan players joined us after having terrible spell with their respective clubs prior to the AFC Asian Cup. Thinking of replacing so many of them for the Asian Cup with other ISL players was never an option."" After a gritty 0-2 defeat against Australia in the opening match, Stimac was hoping for a good show against Uzbekistan, but he was left disappointed with a 0-3 loss. ""Our best game was against Australia, which wasn't (a) surprise because we prepared twice as long for that game as for the other two. ""The match against Uzbekistan was a big disappointment personally because I was expecting that good performance against Australia would boost our confidence and have more concrete effect on boys. ""Instead of raising up in our game we became vulnerable and let in cheap goals in a similar way to Qatar game. We knew that Uzbekistan is technically excellent team that mercilessly punishes mistakes. ""We did face the problem few days prior to this game with Sandesh Jinghan suffering from fever and not feeling (well) which obviously had impact on his game."" He said after the team conceded three first-half goals, he had to ""choose the right words during the break in the locker room to avoid a real result disaster"". Stimac regretted that there has not been any meeting between him and the AIFF top brass since India won the SAFF Championships in July last year in Bengaluru.(This report has been published as part of the auto-generated syndicate wire feed. Apart from the headline, no editing has been done in the copy by ABP Live.)","In the report he submitted to the AIFF, Igor Stimac said the national team's performance in the Asian Cup in Doha, where it suffered three losses, was ""disappointing but not unexpected""."
India,ABP News Bureau,https://news.abplive.com/sports/cricket/icc-u19-world-cup-pakistan-secure-semi-final-birth-as-bangladesh-lose-thriller-by-5-runs-pak-vs-ban-under-19-world-cup-1661712,ICC U19 World Cup 2024: Pakistan Secure Semi-Final Birth As Bangladesh Lose Thriller By 5 Runs,"February 04, 2024, 08:25 AM",2024-02-04,4-2-2024,"Pakistan secured a narrow five-run victory over Bangladesh in a gripping low-scoring encounter, earning them a spot in the semi-finals of the Under-19 World Cup in South Africa. To qualify for the knockout stage in the Super Six match, Bangladesh had to successfully chase down a target of 156 in 38.1 overs, but Pakistan managed to dismiss them for 150. Consequently, Pakistan joined India as the second team from Group A in the Super Six round to advance to the semi-finals. After winning the toss and opting to bowl first, a magnificent display of bowling prowess from Bangladesh in the first innings saw Pakistan bundled out for 155 runs. Bangladesh needed to secure victory within 38.1 overs to gain a net run rate advantage over Pakistan, which would have secured their spot in the semi-finals. However, they narrowly missed the mark by five runs in a thrilling encounter in Benoni. WHAT.A.MATCH!A nail-biting five-run victory has sealed Pakistan’s #U19WorldCup 2024 semi-final spot 👏Match Highlights 🎥 pic.twitter.com/rslgvKwE2j  After being put in to bat first and navigating the initial overs, Pakistan's opening duo, Shahzaib Khan and Shamyl Hussain, initiated an aggressive batting approach. Hussain took charge of the scoring but eventually fell victim to a well-disguised delivery from Rohanat Doullah Borson, which sharply jagged in and uprooted his off stump. Despite a seemingly stable position at 50/1 by the conclusion of the first Powerplay, Bangladesh's bowling attack, led by Borson and Sheikh Jibon, mounted a strong resurgence during the middle overs and ultimately got Pakistan all-out for just 155 runs. Jibon and Borson emerged as standout performers for Bangladesh with identical and impressive figures of 4/24 each. In the second innings, Ubaid Shah mounted a comeback for Pakistan by claiming two quick wickets upfront. Maintaining the momentum, Ubaid, supported by Ali Raza and Mohammad Zeeshan, consistently took wickets, restricting Bangladesh to 127 for 9 wickets. As the situation looked challenging for Bangladesh, Rohanat Doullah Borson provided a glimmer of hope with a crucial six off Arafat Minhas. However, the optimism was short-lived, as with just 6 runs needed in 14 balls, Borson found himself stranded when his batting partner Maruf Mridha fell to Zeeshan. Unfortunately for Bangladesh, they were unable to chase the target successfully.",Pakistan secure a spot in the Under-19 World Cup 2024 semi-final by defeating Bangladesh with a narrow margin of five runs.
India,ABP News Bureau,https://news.abplive.com/sports/cricket/pakistan-u19-vs-bangladesh-u19-live-streaming-how-watch-pak-u19-vs-ban-u19-super-six-world-cup-match-1661512,Pakistan U19 Vs Bangladesh U19 Super Six Match Live Streaming: How To Watch PAK U19 vs BAN U19 World Cup Match,"February 03, 2024, 09:37 AM",2024-02-03,3-2-2024,"Pakistan U19 vs Bangladesh U19 Super Six Match live streaming, telecast, venue, match timings:Pakistan and Bangladesh are set to face off in their upcoming match of the ICC U-19 World Cup Super Six stage on Saturday (February 3) in Benoni. The outcome of PAK U19 vs BAN U19 World Cup Super Six match will determine which team claims the remaining semi-final berth and continues their pursuit for U19 World Cup glory. The victor of the Pakistan vs Bangladesh match will join powerhouse teams India, Australia, and South Africa in the battle for the U19 World Cup trophy. Pakistan has showcased remarkable performance in the tournament, emerging victorious in all four games they have played thus far. To secure a spot in the semifinals, Bangladesh requires a commanding victory over Pakistan. If they bat first, they must chase down their target within 38.3 overs or win by a margin exceeding 51 runs. Alternatively, if Bangladesh bats second, they must chase down the total with a considerable number of overs remaining to boost their net run rate advantage. Everything you need to know about Pakistan U19 vs Bangladesh U19 ICC Men's U19 Cricket World Cup 2024 Super Six Match: When will Pakistan U19 vs Bangladesh U19 World Cup 2024 Super Six match be played? Pakistan U19 vs Bangladesh U19 World Cup 2024 Super Six match will be played on February 3 (Saturday). At what time will Pakistan U19 vs Bangladesh U19 World Cup 2024 Super Six match be played? Pakistan U19 vs Bangladesh U19 World Cup 2024 Super Six match will begin at 1.30 PM IST on February 3 (Saturday). Where will Pakistan U19 vs Bangladesh U19 World Cup 2024 Super Six match be played? Pakistan U19 vs Bangladesh U19 World Cup 2024 Super Six match will be played at the Sahara Park Willowmoore Cricket Stadium. Which TV channel will telecast Pakistan U19 vs Bangladesh U19 World Cup 2024 Super Six match? Pakistan U19 vs Bangladesh U19 World Cup 2024 Super Six match will be telecast live on Star Sports Network. Where to watch Pakistan U19 vs Bangladesh U19 World Cup 2024 Super Six match live streaming for free? Pakistan U19 vs Bangladesh U19 World Cup 2024 Super Six match will be live-streamed on Disney+ Hotstar app and website. Pakistan U19 vs Bangladesh U19 - Squads Pakistan U19: Saad Baig (c), Ali Asfand, Ali Raza, Ahmad Hassan, Amir Hassan, Arfat Minhas, Azan Awais, Haroon Arshad, Khubaib Khalil, Mohammad Zeeshan, Naveed Ahmed Khan, Shahzaib Khan, Shamyl Hussain, Muhammad Riazullah and Ubaid Shah Bangladesh U19: Mahfuzur Rahman Rabby (c), Ashiqur Rahaman Shibli, Jishan Alam, Chowdhury Md Rizwan, Adil Bin Siddik, Mohammad Ashrafuzzaman Boranno, Ariful Islam, Shihab James, Ahrar Amin, Sheikh Parvez Jibon, Rafi Uzzaman Rafi, Rohanat Doullah Borson, Iqbal Hasan Emon, Wasi Siddiquee, Maruf Mridha",Pakistan U19 Vs Bangladesh U19 Live Streaming: Everything you need to know about PAK U-19 vs BAN U-19 ICC Men's U19 Cricket World Cup 2024 Super Six match.
India,ABP News Bureau,https://news.abplive.com/news/world/bangladeshi-nobel-laureate-muhammad-yunus-charged-in-new-corruption-case-1661189,"Bangladeshi Nobel Laureate Muhammad Yunus, Granted Bail In Labour Law Case, Faces Fresh Corruption Charges","February 01, 2024, 10:19 PM",2024-02-01,1-2-2024,"Bangladesh's anti-graft agency has filed a charge sheet against Nobel Laureate economist Dr Muhammad Yunus on fresh corruption charges, shortly after a court granted him bail for breaching labour laws. The Anti-Corruption Commission (ACC) accused the 83-year-old economist and 13 others of misappropriating approximately Tk 25.22 crore (USD 2.29 million) from Grameen Telecom Workers' Profit Participation Fund, according to PTI. Yunus, the chairman of Grameen Telecom, which he established as a non-profit organisation, is among the defendants, including its directors, managing director, and employees' trade union leaders. An ACC spokesman informed reporters that they had filed the charge sheet against Yunus and 13 others at the Metropolitan Senior Special Judge's Court of Dhaka. The court scheduled March 3 for an indictment hearing in the case. Law Minister Anisul Huq refuted claims of harassing Yunus, stating the government did not fabricate any false cases against him. ""Dr Yunus was warned and advised to prevent these violations, but he ignored them. So, the Labour Department filed a lawsuit,"" Huq explained. ""No one is above the law, and if someone commits a crime, they must face the law,"" he added, according to PTI. Earlier, ACC Secretary Mahmub Hossain mentioned that the proceedings against Yunus stemmed from complaints by the Department of Inspection for Factories and Establishments. The statutory graft agency filed the charge sheet after extensive investigation. Yunus, who won the Nobel Peace Prize in 2006 for his anti-poverty efforts, is confronted with over 150 other cases, including major corruption charges that could result in imprisonment if proven guilty. The economist denies all allegations. Last week, an appeals court granted bail to Yunus, who received a six-month prison sentence on January 1 for violating the country's labour laws. The court also agreed to hear an appeal against his sentence. The recent development follows concerns expressed by over 241 global leaders, including 125 Nobel laureates, regarding the ""continuous judicial harassment and potential jailing"" of Yunus in a third open letter to Prime Minister Sheikh Hasina. Irene Khan, the UN Special Rapporteur for the Promotion and Protection of the Right to Freedom of Opinion and Expression, denounced the January 1 verdict as ""a travesty of justice"". Khan emphasized that the social activist, ""who brought honour and pride to the country, is being persecuted on frivolous grounds."" The letter, signed by global leaders, including former US President Barack Obama, echoed Khan's sentiment, criticizing the rushed legal process and inconsistent application of Bangladesh's laws. Former UN Secretary-General Ban Ki-moon also reacted to the verdict, stating, ""Bangladeshis deserve a government that honours and supports -- rather than persecutes -- its most esteemed citizens"". Hasina's Awami League party secured a record fourth consecutive term in the general election held on January 7. International rights groups, including Amnesty International, condemned the verdict, while several prominent Bangladeshi civil society figures decried Yunus's exposure to legal ""harassment"". Responding to the previous global leaders' letter, Hasina proposed that experts, including lawyers, examine all documents related to Yunus and his cases to determine any wrongdoing or wrongful prosecution. The global leaders accepted her proposal in their third letter, published as a full-page advertisement in the Washington Post. The economist has been in a prolonged dispute with the incumbent government since 2008. Investigations against him were launched after Hasina's government came to power, with many attributing her anger to Yunus's announcement of forming a political party in 2007, during a military-backed government, while she was in prison. Although Yunus did not follow through on the plan, he criticized politicians in the country, alleging their sole interest was in making money.",The ACC accused the 83-year-old economist and 13 others of misappropriating approximately Tk 25.22 crore (USD 2.29 million) from Grameen Telecom Workers' Profit Participation Fund.
India,ABP News Bureau,https://news.abplive.com/sports/cricket/nepal-vs-bangladesh-u19-world-cup-2024-live-streaming-how-watch-nep-u19-vs-ban-u19-live-tv-online-1660708,"Nepal vs Bangladesh ICC U19 World Cup 2024 Live Streaming: How To Watch NEP U19 vs BAN U19 Live On TV, Online","January 31, 2024, 12:24 PM",2024-01-31,31-1-2024,"Nepal U19 vs Bangladesh U19 live streaming, telecast:The Bangladesh U-19 team secured a berth in the ICC Under-19 World Cup Super Six stage after a nail-biting victory over Afghanistan, triumphing by a mere one-wicket margin in their final league stage encounter. Throughout the league stage, the Bangladesh U-19 team faced two defeats alongside one victory. Despite these setbacks, they successfully advanced to the Super Six, concluding the league stage behind Bangladesh and New Zealand in their group. Nepal, buoyed by their recent victory against Afghanistan in a decisive match, enters the upcoming matches as a confident and determined unit. All you need to know about Nepal Under-19 vs Bangladesh Under-19 ICC U-19 World Cup 2024 match live streaming, telecast in India. When will Nepal Under-19 vs Bangladesh Under-19 ICC U-19 World Cup 2024 match be played? Nepal Under-19 vs Bangladesh Under-19 ICC U-19 World Cup 2024 match will be played on Wednesday (January 31). Where will Nepal Under-19 vs Bangladesh Under-19 ICC U-19 World Cup 2024 match be played? Nepal Under-19 vs Bangladesh Under-19 ICC U-19 World Cup 2024 match will take place at the Mangaung Oval, South Africa At what time will Nepal Under-19 vs Bangladesh Under-19 ICC U-19 World Cup 2024 match be played? Nepal Under-19 vs Bangladesh Under-19 ICC U-19 World Cup 2024 match will begin at 1:30 PM IST on Wednesday. Which TV channels will broadcast Nepal Under-19 vs Bangladesh Under-19 ICC U-19 World Cup 2024 match? Nepal Under-19 vs Bangladesh Under-19 ICC U-19 World Cup 2024 match will be broadcast live in India on the Star Sports Network. How to watch Nepal Under-19 vs Bangladesh Under-19 ICC U-19 World Cup 2024 match live streaming in India? Nepal Under-19 vs Bangladesh Under-19 ICC U-19 World Cup 2024 match live streaming in India will be available on the Disney+ Hotstar app and website. Nepal Under-19 Full Squad: Dev Khanal (c), Arjun Kumal, Aakash Tripathi, Dipak Prasad Dumre, Durgesh Gupta, Gulshan Kumar Jha, Dipesh Prasad Kandel, Bishal Bikram KC, Subhash Bhandari, Deepak Bohara, Dipak Bohara, Uttam Rangu Thapa Macar, Bipin Rawal, Tilak Raj Bhandari, Akash Chand. Bangladesh Under-19 Full Squad: Mahfuzur Rahman Rabby (c), Ashiqur Rahaman Shibli, Jishan Alam, Chowdhury Md Rizwan, Adil Bin Siddik, Mohammad Ashrafuzzaman Boranno, Ariful Islam, Shihab James, Ahrar Amin, Sheikh Parvez Jibon, Rafi Uzzaman Rafi, Rohanat Doullah Borson, Iqbal Hasan Emon, Wasi Siddiquee, Maruf Mridha.","NEP U19 vs BAN U19 Live: Check below everything you need to know about Nepal Under-19 vs Bangladesh Under-19 ICC U19 World Cup 2024 Live On TV, Online."
